latency,RSSI,filtered latency,attn1,attn2,TIMESTAMP
1,-92,1,-107374182,27,2023-04-24 16:03:25.069467
1,-94,1,-107374182,30,2023-04-24 16:03:25.275153
1,-95,1,-107374182,30,2023-04-24 16:03:25.478229
1,-94,1,-107374182,33,2023-04-24 16:03:25.661185
1,-98,1,-107374182,33,2023-04-24 16:03:25.858202
1,-98,1,-107374182,33,2023-04-24 16:03:26.041495
1,-101,1,-107374182,36,2023-04-24 16:03:26.233759
1,-101,1,-107374182,36,2023-04-24 16:03:26.407795
1,-99,1,-107374182,36,2023-04-24 16:03:26.593599
1,-101,1,-107374182,39,2023-04-24 16:03:26.779898
1,-100,1,-107374182,39,2023-04-24 16:03:26.974182
1,-100,1,-107374182,42,2023-04-24 16:03:27.145684
1,-101,1,-107374182,42,2023-04-24 16:03:27.345882
1,-102,1,-107374182,42,2023-04-24 16:03:27.518776
1,-103,1,-107374182,45,2023-04-24 16:03:27.713250
1,-102,1,-107374182,45,2023-04-24 16:03:27.895105
1,-103,1,-107374182,45,2023-04-24 16:03:28.067304
1,-106,1,-107374182,48,2023-04-24 16:03:28.241300
1,-106,1,-107374182,48,2023-04-24 16:03:28.421144
1,-105,1,-107374182,51,2023-04-24 16:03:28.630314
1,-105,1,-107374182,51,2023-04-24 16:03:28.823951
1,-105,1,-107374182,51,2023-04-24 16:03:29.009437
1,-105,1,-107374182,54,2023-04-24 16:03:29.195223
1,-105,1,-107374182,54,2023-04-24 16:03:29.383128
1,-105,1,-107374182,54,2023-04-24 16:03:29.555873
1,-105,1,-107374182,54,2023-04-24 16:03:29.764259
1,-105,1,-107374182,54,2023-04-24 16:03:29.954591
1,-105,1,-107374182,54,2023-04-24 16:03:30.130078
1,-105,1,-107374182,51,2023-04-24 16:03:30.324961
1,-105,1,-107374182,51,2023-04-24 16:03:30.505642
1,-105,1,-107374182,48,2023-04-24 16:03:30.709020
1,-105,1,-107374182,48,2023-04-24 16:03:30.885378
1,-105,1,-107374182,48,2023-04-24 16:03:31.059758
1,-103,1,-107374182,45,2023-04-24 16:03:31.236151
1,-103,1,-107374182,45,2023-04-24 16:03:31.415489
1,-102,1,-107374182,45,2023-04-24 16:03:31.609682
1,-102,1,-107374182,42,2023-04-24 16:03:31.800580
1,-101,1,-107374182,42,2023-04-24 16:03:31.983062
1,-100,1,-107374182,39,2023-04-24 16:03:32.181773
1,-99,1,-107374182,39,2023-04-24 16:03:32.381072
1,-101,1,-107374182,39,2023-04-24 16:03:32.569042
1,-97,1,-107374182,36,2023-04-24 16:03:32.742220
