latency,RSSI,filtered latency,attn1,attn2,TIMESTAMP
142,-104,2572,-107374182,45,2023-04-24 16:23:29.741622
142,-104,2977,-107374182,51,2023-04-24 16:23:30.118127
142,-104,2710,-107374182,51,2023-04-24 16:23:30.469721
142,-104,2500,-107374182,45,2023-04-24 16:23:30.837676
142,-104,2306,-107374182,39,2023-04-24 16:23:31.185676
98,-99,2305,-107374182,30,2023-04-24 16:23:31.601916
166,-92,2356,-107374182,24,2023-04-24 16:23:32.022218
209,-97,2252,-107374182,33,2023-04-24 16:23:32.439188
60,-102,2159,-107374182,39,2023-04-24 16:23:32.801920
60,-104,2550,-107374182,48,2023-04-24 16:23:33.163834
60,-104,2490,-107374182,54,2023-04-24 16:23:33.533970
60,-104,2297,-107374182,51,2023-04-24 16:23:33.892922
60,-104,2076,-107374182,42,2023-04-24 16:23:34.250413
60,-100,1915,-107374182,36,2023-04-24 16:23:34.623886
114,-94,2174,-107374182,27,2023-04-24 16:23:35.045332
195,-96,2193,-107374182,27,2023-04-24 16:23:35.466473
208,-102,2081,-107374182,33,2023-04-24 16:23:35.862250
44,-104,2150,-107374182,42,2023-04-24 16:23:36.229952
44,-104,2496,-107374182,48,2023-04-24 16:23:36.604135
44,-104,2322,-107374182,54,2023-04-24 16:23:36.939434
44,-104,2141,-107374182,48,2023-04-24 16:23:37.308610
44,-103,1936,-107374182,39,2023-04-24 16:23:37.681397
220,-103,1851,-107374182,33,2023-04-24 16:23:38.048403
177,-95,2228,-107374182,24,2023-04-24 16:23:38.499699
253,-96,2231,-107374182,30,2023-04-24 16:23:38.911332
200,-102,2094,-107374182,36,2023-04-24 16:23:39.301125
187,-103,2466,-107374182,45,2023-04-24 16:23:39.672700
187,-103,2709,-107374182,51,2023-04-24 16:23:40.051108
187,-103,2498,-107374182,51,2023-04-24 16:23:40.429656
187,-103,2304,-107374182,45,2023-04-24 16:23:40.787590
187,-102,2083,-107374182,36,2023-04-24 16:23:41.147580
78,-98,2228,-107374182,30,2023-04-24 16:23:41.562711
132,-94,2304,-107374182,24,2023-04-24 16:23:42.013452
179,-101,2222,-107374182,33,2023-04-24 16:23:42.427762
123,-104,2149,-107374182,39,2023-04-24 16:23:42.765685
123,-104,2355,-107374182,48,2023-04-24 16:23:43.103965
123,-104,2294,-107374182,54,2023-04-24 16:23:43.480140
123,-104,2073,-107374182,51,2023-04-24 16:23:43.826918
123,-104,1912,-107374182,42,2023-04-24 16:23:44.196967
123,-101,1728,-107374182,36,2023-04-24 16:23:44.568366
150,-97,1984,-107374182,27,2023-04-24 16:23:45.013503
238,-95,2060,-107374182,27,2023-04-24 16:23:45.457030
220,-102,1943,-107374182,36,2023-04-24 16:23:45.840572
173,-103,2065,-107374182,42,2023-04-24 16:23:46.164169
173,-103,2479,-107374182,48,2023-04-24 16:23:46.517852
173,-103,2351,-107374182,54,2023-04-24 16:23:46.863041
173,-103,2169,-107374182,48,2023-04-24 16:23:47.210516
173,-103,2000,-107374182,42,2023-04-24 16:23:47.562982
220,-102,1915,-107374182,33,2023-04-24 16:23:47.915499
82,-98,2113,-107374182,27,2023-04-24 16:23:48.315717
181,-97,2129,-107374182,27,2023-04-24 16:23:48.753079
157,-101,2002,-107374182,36,2023-04-24 16:23:49.153280
81,-104,2047,-107374182,42,2023-04-24 16:23:49.500342
81,-104,2170,-107374182,48,2023-04-24 16:23:49.831555
81,-104,1983,-107374182,54,2023-04-24 16:23:50.190201
81,-104,1829,-107374182,48,2023-04-24 16:23:50.535779
81,-104,1687,-107374182,42,2023-04-24 16:23:50.892928
220,-100,1583,-107374182,33,2023-04-24 16:23:51.259291
144,-97,1858,-107374182,24,2023-04-24 16:23:51.701226
219,-95,1850,-107374182,30,2023-04-24 16:23:52.139722
204,-103,1737,-107374182,36,2023-04-24 16:23:52.526721
100,-104,1944,-107374182,42,2023-04-24 16:23:52.859656
100,-104,2280,-107374182,51,2023-04-24 16:23:53.238427
100,-104,2107,-107374182,54,2023-04-24 16:23:53.601926
