latency,RSSI,filtered latency,attn1,attn2,TIMESTAMP
1,-103,1,-107374182,54,2023-04-25 11:13:32.561958
1,-103,1,-107374182,51,2023-04-25 11:13:32.857035
1,-103,1,-107374182,48,2023-04-25 11:13:33.052338
1,-103,1,-107374182,48,2023-04-25 11:13:33.267964
1,-103,1,-107374182,45,2023-04-25 11:13:33.540710
1,-103,1,-107374182,42,2023-04-25 11:13:33.756931
1,-103,1,-107374182,42,2023-04-25 11:13:33.970809
1,-103,1,-107374182,39,2023-04-25 11:13:34.181102
1,-104,1,-107374182,36,2023-04-25 11:13:34.401933
1,-102,1,-107374182,36,2023-04-25 11:13:34.621792
1,-100,1,-107374182,33,2023-04-25 11:13:34.886241
1,-97,1,-107374182,30,2023-04-25 11:13:35.130997
1,-98,1,-107374182,30,2023-04-25 11:13:35.439881
1,-96,1,-107374182,24,2023-04-25 11:13:35.807831
1,-93,1,-107374182,24,2023-04-25 11:13:36.092110
1,-94,1,-107374182,24,2023-04-25 11:13:36.443046
1,-94,1,-107374182,27,2023-04-25 11:13:36.689296
1,-100,1,-107374182,30,2023-04-25 11:13:37.018296
1,-99,1,-107374182,33,2023-04-25 11:13:37.256184
1,-100,1,-107374182,33,2023-04-25 11:13:37.489881
1,-101,1,-107374182,36,2023-04-25 11:13:37.741264
1,-102,1,-107374182,39,2023-04-25 11:13:37.973081
1,-102,1,-107374182,39,2023-04-25 11:13:38.188065
1,-103,1,-107374182,42,2023-04-25 11:13:38.418369
1,-101,1,-107374182,45,2023-04-25 11:13:38.659025
1,-102,1,-107374182,45,2023-04-25 11:13:38.881976
1,-102,1,-107374182,48,2023-04-25 11:13:39.118460
1,-102,1,-107374182,51,2023-04-25 11:13:39.332465
1,-102,1,-107374182,51,2023-04-25 11:13:39.538735
1,-102,1,-107374182,54,2023-04-25 11:13:39.766819
1,-102,1,-107374182,54,2023-04-25 11:13:40.009359
1,-102,1,-107374182,54,2023-04-25 11:13:40.215657
1,-102,1,-107374182,51,2023-04-25 11:13:40.439089
1,-102,1,-107374182,51,2023-04-25 11:13:40.662895
1,-102,1,-107374182,48,2023-04-25 11:13:40.866326
1,-102,1,-107374182,45,2023-04-25 11:13:41.071808
1,-102,1,-107374182,45,2023-04-25 11:13:41.274500
1,-103,1,-107374182,42,2023-04-25 11:13:41.513105
1,-102,1,-107374182,42,2023-04-25 11:13:41.716368
1,-104,1,-107374182,39,2023-04-25 11:13:41.963297
1,-102,1,-107374182,36,2023-04-25 11:13:42.213643
1,-101,1,-107374182,36,2023-04-25 11:13:42.461202
1,-102,1,-107374182,33,2023-04-25 11:13:42.706366
1,-97,1,-107374182,30,2023-04-25 11:13:42.927867
1,-98,1,-107374182,27,2023-04-25 11:13:43.182651
1,-93,1,-107374182,27,2023-04-25 11:13:43.410950
1,-90,1,-107374182,24,2023-04-25 11:13:43.629199
1,-92,1,-107374182,24,2023-04-25 11:13:43.856736
1,-93,1,-107374182,24,2023-04-25 11:13:44.068489
1,-95,1,-107374182,27,2023-04-25 11:13:44.307370
1,-94,1,-107374182,27,2023-04-25 11:13:44.531666
1,-99,1,-107374182,30,2023-04-25 11:13:44.771828
1,-101,1,-107374182,33,2023-04-25 11:13:45.029460
1,-99,1,-107374182,36,2023-04-25 11:13:45.285918
1,-102,1,-107374182,36,2023-04-25 11:13:45.513764
1,-103,1,-107374182,39,2023-04-25 11:13:45.746572
1,-103,1,-107374182,42,2023-04-25 11:13:45.972191
1,-103,1,-107374182,42,2023-04-25 11:13:46.210791
1,-104,1,-107374182,45,2023-04-25 11:13:46.449676
1,-104,1,-107374182,48,2023-04-25 11:13:46.731455
1,-104,1,-107374182,48,2023-04-25 11:13:46.951526
1,-104,1,-107374182,51,2023-04-25 11:13:47.175316
1,-104,1,-107374182,54,2023-04-25 11:13:47.396781
1,-104,1,-107374182,54,2023-04-25 11:13:47.598578
1,-104,1,-107374182,54,2023-04-25 11:13:47.848629
1,-104,1,-107374182,51,2023-04-25 11:13:48.089047
1,-104,1,-107374182,51,2023-04-25 11:13:48.291489
1,-104,1,-107374182,48,2023-04-25 11:13:48.609219
1,-104,1,-107374182,45,2023-04-25 11:13:48.929685
1,-103,1,-107374182,42,2023-04-25 11:13:49.244330
1,-102,1,-107374182,39,2023-04-25 11:13:49.618696
1,-102,1,-107374182,36,2023-04-25 11:13:49.919816
1,-100,1,-107374182,33,2023-04-25 11:13:50.278993
1,-98,1,-107374182,30,2023-04-25 11:13:50.611121
1,-98,1,-107374182,27,2023-04-25 11:13:50.895653
1,-95,1,-107374182,27,2023-04-25 11:13:51.196252
1,-92,1,-107374182,24,2023-04-25 11:13:51.557357
1,-93,1,-107374182,27,2023-04-25 11:13:51.919561
1,-101,1,-107374182,30,2023-04-25 11:13:52.372068
1,-101,1,-107374182,33,2023-04-25 11:13:52.897841
1,-103,1,-107374182,39,2023-04-25 11:13:53.369868
1,-103,1,-107374182,42,2023-04-25 11:13:53.841672
1,-103,1,-107374182,45,2023-04-25 11:13:54.295496
1,-103,1,-107374182,48,2023-04-25 11:13:54.639550
1,-103,1,-107374182,51,2023-04-25 11:13:54.880351
1,-103,1,-107374182,54,2023-04-25 11:13:55.166458
1,-103,1,-107374182,54,2023-04-25 11:13:55.459051
1,-103,1,-107374182,54,2023-04-25 11:13:55.744632
1,-103,1,-107374182,51,2023-04-25 11:13:56.098312
1,-103,1,-107374182,48,2023-04-25 11:13:56.376240
1,-103,1,-107374182,45,2023-04-25 11:13:56.753820
1,-103,1,-107374182,42,2023-04-25 11:13:57.097844
1,-104,1,-107374182,36,2023-04-25 11:13:57.568473
1,-99,1,-107374182,33,2023-04-25 11:13:58.129813
1,-99,1,-107374182,30,2023-04-25 11:13:58.625049
1,-93,1,-107374182,24,2023-04-25 11:13:59.159552
1,-93,1,-107374182,24,2023-04-25 11:13:59.548541
1,-96,1,-107374182,27,2023-04-25 11:13:59.959900
1,-100,1,-107374182,33,2023-04-25 11:14:00.423608
1,-104,1,-107374182,36,2023-04-25 11:14:00.956733
1,-102,1,-107374182,42,2023-04-25 11:14:01.475138
1,-102,1,-107374182,45,2023-04-25 11:14:01.799514
1,-102,1,-107374182,45,2023-04-25 11:14:02.049954
1,-102,1,-107374182,48,2023-04-25 11:14:02.345753
1,-102,1,-107374182,51,2023-04-25 11:14:02.671522
1,-102,1,-107374182,54,2023-04-25 11:14:03.087561
1,-102,1,-107374182,51,2023-04-25 11:14:03.587443
1,-102,1,-107374182,48,2023-04-25 11:14:04.009388
1,-102,1,-107374182,45,2023-04-25 11:14:04.428502
1,-102,1,-107374182,42,2023-04-25 11:14:04.930444
1,-102,1,-107374182,36,2023-04-25 11:14:05.445739
1,-99,1,-107374182,30,2023-04-25 11:14:06.007153
1,-95,1,-107374182,27,2023-04-25 11:14:06.412212
1,-93,1,-107374182,24,2023-04-25 11:14:06.929769
1,-94,1,-107374182,24,2023-04-25 11:14:07.218529
1,-95,1,-107374182,27,2023-04-25 11:14:07.592396
1,-99,1,-107374182,30,2023-04-25 11:14:07.893783
1,-100,1,-107374182,33,2023-04-25 11:14:08.147121
1,-100,1,-107374182,36,2023-04-25 11:14:08.420563
1,-103,1,-107374182,39,2023-04-25 11:14:08.739832
1,-101,1,-107374182,39,2023-04-25 11:14:09.013624
1,-102,1,-107374182,42,2023-04-25 11:14:09.307191
1,-102,1,-107374182,45,2023-04-25 11:14:09.703284
1,-102,1,-107374182,48,2023-04-25 11:14:10.070247
1,-102,1,-107374182,51,2023-04-25 11:14:10.348940
1,-102,1,-107374182,54,2023-04-25 11:14:10.605878
1,-102,1,-107374182,54,2023-04-25 11:14:10.883497
1,-102,1,-107374182,54,2023-04-25 11:14:11.170306
1,-102,1,-107374182,51,2023-04-25 11:14:11.418579
1,-102,1,-107374182,48,2023-04-25 11:14:11.649318
1,-102,1,-107374182,48,2023-04-25 11:14:11.891816
1,-102,1,-107374182,45,2023-04-25 11:14:12.234440
1,-103,1,-107374182,42,2023-04-25 11:14:12.584411
1,-102,1,-107374182,36,2023-04-25 11:14:12.991117
1,-104,1,-107374182,36,2023-04-25 11:14:13.212351
1,-98,1,-107374182,33,2023-04-25 11:14:13.451326
1,-99,1,-107374182,30,2023-04-25 11:14:13.676335
1,-98,1,-107374182,30,2023-04-25 11:14:13.905559
1,-94,1,-107374182,27,2023-04-25 11:14:14.126596
1,-95,1,-107374182,24,2023-04-25 11:14:14.339902
1,-93,1,-107374182,24,2023-04-25 11:14:14.558428
1,-91,1,-107374182,24,2023-04-25 11:14:14.784186
1,-92,1,-107374182,24,2023-04-25 11:14:15.000931
1,-93,1,-107374182,27,2023-04-25 11:14:15.252069
1,-96,1,-107374182,30,2023-04-25 11:14:15.497290
1,-100,1,-107374182,33,2023-04-25 11:14:15.822456
1,-100,1,-107374182,36,2023-04-25 11:14:16.104106
1,-103,1,-107374182,36,2023-04-25 11:14:16.362210
1,-102,1,-107374182,39,2023-04-25 11:14:16.608182
1,-104,1,-107374182,42,2023-04-25 11:14:16.856046
1,-104,1,-107374182,42,2023-04-25 11:14:17.104548
1,-105,1,-107374182,45,2023-04-25 11:14:17.338441
1,-105,1,-107374182,48,2023-04-25 11:14:17.588346
1,-105,1,-107374182,51,2023-04-25 11:14:17.842182
1,-105,1,-107374182,51,2023-04-25 11:14:18.139647
1,-105,1,-107374182,54,2023-04-25 11:14:18.383405
1,-105,1,-107374182,54,2023-04-25 11:14:18.623866
