latency,RSSI,filtered latency,attn1,attn2,TIMESTAMP
1,-100,1,-107374182,39,2023-04-24 15:53:13.529272
1,-99,1,-107374182,42,2023-04-24 15:53:13.739505
1,-102,1,-107374182,42,2023-04-24 15:53:13.894023
1,-102,1,-107374182,42,2023-04-24 15:53:14.065508
1,-104,1,-107374182,45,2023-04-24 15:53:14.262789
1,-104,1,-107374182,48,2023-04-24 15:53:14.441785
1,-104,1,-107374182,48,2023-04-24 15:53:14.625959
1,-104,1,-107374182,51,2023-04-24 15:53:14.798284
1,-104,1,-107374182,51,2023-04-24 15:53:14.971564
1,-104,1,-107374182,54,2023-04-24 15:53:15.174182
1,-104,1,-107374182,54,2023-04-24 15:53:15.346216
1,-104,1,-107374182,54,2023-04-24 15:53:15.534970
1,-104,1,-107374182,54,2023-04-24 15:53:15.717559
1,-104,1,-107374182,51,2023-04-24 15:53:15.906981
1,-104,1,-107374182,51,2023-04-24 15:53:16.079547
1,-104,1,-107374182,48,2023-04-24 15:53:16.250118
1,-104,1,-107374182,48,2023-04-24 15:53:16.438612
1,-103,1,-107374182,45,2023-04-24 15:53:16.629990
1,-103,1,-107374182,45,2023-04-24 15:53:16.821626
1,-103,1,-107374182,42,2023-04-24 15:53:17.006782
1,-101,1,-107374182,42,2023-04-24 15:53:17.191917
1,-99,1,-107374182,39,2023-04-24 15:53:17.395132
1,-98,1,-107374182,36,2023-04-24 15:53:17.582746
1,-97,1,-107374182,36,2023-04-24 15:53:17.756006
1,-99,1,-107374182,33,2023-04-24 15:53:17.942515
1,-95,1,-107374182,33,2023-04-24 15:53:18.130504
1,-93,1,-107374182,30,2023-04-24 15:53:18.317611
1,-93,1,-107374182,30,2023-04-24 15:53:18.491260
1,-90,1,-107374182,27,2023-04-24 15:53:18.674720
1,-90,1,-107374182,27,2023-04-24 15:53:18.863699
1,-86,1,-107374182,24,2023-04-24 15:53:19.035392
1,-87,1,-107374182,24,2023-04-24 15:53:19.226881
1,-86,1,-107374182,24,2023-04-24 15:53:19.396148
1,-86,1,-107374182,24,2023-04-24 15:53:19.582233
1,-89,1,-107374182,27,2023-04-24 15:53:19.767436
1,-89,1,-107374182,27,2023-04-24 15:53:19.957464
1,-93,1,-107374182,30,2023-04-24 15:53:20.126619
1,-92,1,-107374182,30,2023-04-24 15:53:20.316832
1,-95,1,-107374182,33,2023-04-24 15:53:20.499350
1,-96,1,-107374182,33,2023-04-24 15:53:20.691008
1,-98,1,-107374182,36,2023-04-24 15:53:20.896675
1,-99,1,-107374182,36,2023-04-24 15:53:21.066504
1,-101,1,-107374182,39,2023-04-24 15:53:21.255420
1,-99,1,-107374182,42,2023-04-24 15:53:21.427063
1,-101,1,-107374182,42,2023-04-24 15:53:21.599126
1,-102,1,-107374182,42,2023-04-24 15:53:21.770064
1,-101,1,-107374182,45,2023-04-24 15:53:21.929955
1,-104,1,-107374182,45,2023-04-24 15:53:22.101083
1,-105,1,-107374182,48,2023-04-24 15:53:22.269891
1,-105,1,-107374182,48,2023-04-24 15:53:22.460212
1,-105,1,-107374182,51,2023-04-24 15:53:22.632501
1,-105,1,-107374182,51,2023-04-24 15:53:22.821849
1,-105,1,-107374182,54,2023-04-24 15:53:22.991635
1,-105,1,-107374182,54,2023-04-24 15:53:23.173527
1,-105,1,-107374182,54,2023-04-24 15:53:23.347661
1,-105,1,-107374182,51,2023-04-24 15:53:23.541405
1,-105,1,-107374182,51,2023-04-24 15:53:23.726818
1,-105,1,-107374182,48,2023-04-24 15:53:23.897479
1,-105,1,-107374182,48,2023-04-24 15:53:24.095310
1,-105,1,-107374182,45,2023-04-24 15:53:24.261115
1,-103,1,-107374182,45,2023-04-24 15:53:24.430281
1,-104,1,-107374182,42,2023-04-24 15:53:24.601771
1,-102,1,-107374182,42,2023-04-24 15:53:24.775487
1,-103,1,-107374182,39,2023-04-24 15:53:24.949402
1,-100,1,-107374182,39,2023-04-24 15:53:25.141219
1,-100,1,-107374182,36,2023-04-24 15:53:25.310532
1,-98,1,-107374182,36,2023-04-24 15:53:25.495262
1,-97,1,-107374182,33,2023-04-24 15:53:25.684812
1,-95,1,-107374182,33,2023-04-24 15:53:25.856801
1,-93,1,-107374182,30,2023-04-24 15:53:26.077313
1,-93,1,-107374182,30,2023-04-24 15:53:26.275309
1,-90,1,-107374182,27,2023-04-24 15:53:26.451884
1,-90,1,-107374182,27,2023-04-24 15:53:26.670757
1,-87,1,-107374182,24,2023-04-24 15:53:26.856430
1,-88,1,-107374182,24,2023-04-24 15:53:27.028697
1,-87,1,-107374182,24,2023-04-24 15:53:27.199884
1,-87,1,-107374182,24,2023-04-24 15:53:27.387525
1,-90,1,-107374182,27,2023-04-24 15:53:27.572448
1,-90,1,-107374182,30,2023-04-24 15:53:27.762300
1,-92,1,-107374182,30,2023-04-24 15:53:27.948060
1,-93,1,-107374182,33,2023-04-24 15:53:28.141514
1,-94,1,-107374182,33,2023-04-24 15:53:28.324905
1,-96,1,-107374182,36,2023-04-24 15:53:28.514438
1,-97,1,-107374182,36,2023-04-24 15:53:28.712814
1,-99,1,-107374182,39,2023-04-24 15:53:28.885982
1,-98,1,-107374182,39,2023-04-24 15:53:29.057248
1,-102,1,-107374182,42,2023-04-24 15:53:29.266594
1,-103,1,-107374182,42,2023-04-24 15:53:29.455179
1,-102,1,-107374182,45,2023-04-24 15:53:29.641533
1,-104,1,-107374182,48,2023-04-24 15:53:29.834664
1,-103,1,-107374182,48,2023-04-24 15:53:30.024087
1,-103,1,-107374182,51,2023-04-24 15:53:30.193681
1,-103,1,-107374182,51,2023-04-24 15:53:30.365642
1,-103,1,-107374182,54,2023-04-24 15:53:30.569634
1,-103,1,-107374182,54,2023-04-24 15:53:30.759415
1,-103,1,-107374182,54,2023-04-24 15:53:30.934606
1,-103,1,-107374182,54,2023-04-24 15:53:31.115365
1,-103,1,-107374182,51,2023-04-24 15:53:31.319167
1,-103,1,-107374182,51,2023-04-24 15:53:31.518771
1,-103,1,-107374182,48,2023-04-24 15:53:31.711300
1,-103,1,-107374182,48,2023-04-24 15:53:31.915141
1,-103,1,-107374182,45,2023-04-24 15:53:32.082516
1,-103,1,-107374182,45,2023-04-24 15:53:32.271796
1,-101,1,-107374182,42,2023-04-24 15:53:32.446124
1,-102,1,-107374182,42,2023-04-24 15:53:32.645543
1,-100,1,-107374182,39,2023-04-24 15:53:32.832783
1,-101,1,-107374182,36,2023-04-24 15:53:33.023397
1,-97,1,-107374182,36,2023-04-24 15:53:33.195329
1,-97,1,-107374182,33,2023-04-24 15:53:33.366934
1,-95,1,-107374182,33,2023-04-24 15:53:33.558428
1,-92,1,-107374182,30,2023-04-24 15:53:33.747287
1,-93,1,-107374182,30,2023-04-24 15:53:33.944307
1,-91,1,-107374182,27,2023-04-24 15:53:34.128254
1,-90,1,-107374182,27,2023-04-24 15:53:34.293763
1,-88,1,-107374182,24,2023-04-24 15:53:34.472273
1,-87,1,-107374182,24,2023-04-24 15:53:34.642315
1,-87,1,-107374182,24,2023-04-24 15:53:34.829528
1,-86,1,-107374182,24,2023-04-24 15:53:35.015444
1,-88,1,-107374182,27,2023-04-24 15:53:35.198935
1,-89,1,-107374182,27,2023-04-24 15:53:35.406687
1,-92,1,-107374182,30,2023-04-24 15:53:35.580463
1,-92,1,-107374182,30,2023-04-24 15:53:35.753470
1,-95,1,-107374182,33,2023-04-24 15:53:35.944147
1,-95,1,-107374182,33,2023-04-24 15:53:36.117123
1,-98,1,-107374182,36,2023-04-24 15:53:36.294654
1,-99,1,-107374182,36,2023-04-24 15:53:36.471642
1,-99,1,-107374182,39,2023-04-24 15:53:36.666566
1,-100,1,-107374182,42,2023-04-24 15:53:36.875140
1,-100,1,-107374182,42,2023-04-24 15:53:37.075191
1,-103,1,-107374182,45,2023-04-24 15:53:37.262425
1,-105,1,-107374182,45,2023-04-24 15:53:37.436587
1,-104,1,-107374182,48,2023-04-24 15:53:37.609741
1,-104,1,-107374182,48,2023-04-24 15:53:37.781666
1,-104,1,-107374182,51,2023-04-24 15:53:37.953452
1,-104,1,-107374182,51,2023-04-24 15:53:38.143199
1,-104,1,-107374182,54,2023-04-24 15:53:38.332118
1,-104,1,-107374182,54,2023-04-24 15:53:38.505004
1,-104,1,-107374182,54,2023-04-24 15:53:38.698915
1,-104,1,-107374182,54,2023-04-24 15:53:38.866094
1,-104,1,-107374182,51,2023-04-24 15:53:39.053455
1,-104,1,-107374182,51,2023-04-24 15:53:39.226090
1,-104,1,-107374182,48,2023-04-24 15:53:39.427828
1,-104,1,-107374182,48,2023-04-24 15:53:39.604817
1,-104,1,-107374182,45,2023-04-24 15:53:39.777073
1,-103,1,-107374182,45,2023-04-24 15:53:39.952967
1,-101,1,-107374182,42,2023-04-24 15:53:40.156336
1,-101,1,-107374182,39,2023-04-24 15:53:40.359807
1,-102,1,-107374182,39,2023-04-24 15:53:40.571052
1,-98,1,-107374182,36,2023-04-24 15:53:40.769268
1,-97,1,-107374182,36,2023-04-24 15:53:40.954994
1,-95,1,-107374182,33,2023-04-24 15:53:41.134298
1,-95,1,-107374182,33,2023-04-24 15:53:41.356731
1,-93,1,-107374182,30,2023-04-24 15:53:41.533216
1,-92,1,-107374182,30,2023-04-24 15:53:41.708612
1,-92,1,-107374182,27,2023-04-24 15:53:41.894504
1,-91,1,-107374182,27,2023-04-24 15:53:42.102170
1,-89,1,-107374182,24,2023-04-24 15:53:42.290650
1,-90,1,-107374182,24,2023-04-24 15:53:42.490088
1,-90,1,-107374182,24,2023-04-24 15:53:42.676485
1,-91,1,-107374182,27,2023-04-24 15:53:42.856131
1,-91,1,-107374182,27,2023-04-24 15:53:43.053578
1,-95,1,-107374182,30,2023-04-24 15:53:43.246053
1,-94,1,-107374182,30,2023-04-24 15:53:43.465865
1,-96,1,-107374182,33,2023-04-24 15:53:43.655860
1,-98,1,-107374182,33,2023-04-24 15:53:43.854578
1,-101,1,-107374182,36,2023-04-24 15:53:44.061954
1,-101,1,-107374182,39,2023-04-24 15:53:44.235012
1,-99,1,-107374182,39,2023-04-24 15:53:44.406747
1,-102,1,-107374182,42,2023-04-24 15:53:44.593854
1,-102,1,-107374182,42,2023-04-24 15:53:44.764304
1,-102,1,-107374182,45,2023-04-24 15:53:44.938278
1,-102,1,-107374182,45,2023-04-24 15:53:45.109962
1,-104,1,-107374182,48,2023-04-24 15:53:45.295912
1,-104,1,-107374182,48,2023-04-24 15:53:45.470408
1,-103,1,-107374182,51,2023-04-24 15:53:45.674939
1,-103,1,-107374182,51,2023-04-24 15:53:45.850855
1,-103,1,-107374182,54,2023-04-24 15:53:46.031959
1,-103,1,-107374182,54,2023-04-24 15:53:46.220780
1,-103,1,-107374182,54,2023-04-24 15:53:46.394205
1,-103,1,-107374182,54,2023-04-24 15:53:46.585210
1,-103,1,-107374182,51,2023-04-24 15:53:46.757128
1,-103,1,-107374182,51,2023-04-24 15:53:46.957438
1,-103,1,-107374182,48,2023-04-24 15:53:47.129756
1,-103,1,-107374182,48,2023-04-24 15:53:47.304160
1,-101,1,-107374182,45,2023-04-24 15:53:47.480060
1,-103,1,-107374182,45,2023-04-24 15:53:47.691186
1,-102,1,-107374182,42,2023-04-24 15:53:47.887874
1,-102,1,-107374182,39,2023-04-24 15:53:48.075831
1,-100,1,-107374182,39,2023-04-24 15:53:48.298716
1,-98,1,-107374182,36,2023-04-24 15:53:48.499018
1,-99,1,-107374182,36,2023-04-24 15:53:48.687318
1,-97,1,-107374182,33,2023-04-24 15:53:48.874710
1,-95,1,-107374182,33,2023-04-24 15:53:49.062051
1,-92,1,-107374182,30,2023-04-24 15:53:49.277641
1,-93,1,-107374182,27,2023-04-24 15:53:49.469895
1,-90,1,-107374182,27,2023-04-24 15:53:49.641926
1,-90,1,-107374182,24,2023-04-24 15:53:49.830449
1,-86,1,-107374182,24,2023-04-24 15:53:50.048414
1,-87,1,-107374182,24,2023-04-24 15:53:50.235578
1,-87,1,-107374182,24,2023-04-24 15:53:50.409260
1,-90,1,-107374182,27,2023-04-24 15:53:50.599841
1,-89,1,-107374182,27,2023-04-24 15:53:50.800319
1,-92,1,-107374182,30,2023-04-24 15:53:51.003576
1,-93,1,-107374182,30,2023-04-24 15:53:51.191844
1,-95,1,-107374182,33,2023-04-24 15:53:51.376449
