latency,RSSI,filtered latency,attn1,attn2,TIMESTAMP
1,-101,1,-107374182,39,2023-04-25 16:36:47.321484
1,-101,1,-107374182,42,2023-04-25 16:36:47.575567
1,-101,1,-107374182,42,2023-04-25 16:36:47.765340
1,-101,1,-107374182,42,2023-04-25 16:36:47.968340
1,-101,1,-107374182,45,2023-04-25 16:36:48.161797
1,-102,1,-107374182,45,2023-04-25 16:36:48.369422
1,-102,1,-107374182,48,2023-04-25 16:36:48.611336
1,-102,1,-107374182,48,2023-04-25 16:36:48.797353
1,-102,1,-107374182,48,2023-04-25 16:36:49.019563
1,-102,1,-107374182,51,2023-04-25 16:36:49.223260
1,-102,1,-107374182,51,2023-04-25 16:36:49.491116
1,-102,1,-107374182,54,2023-04-25 16:36:49.715951
1,-102,1,-107374182,54,2023-04-25 16:36:49.942638
1,-102,1,-107374182,54,2023-04-25 16:36:50.167172
1,-102,1,-107374182,54,2023-04-25 16:36:50.408764
1,-102,1,-107374182,51,2023-04-25 16:36:50.647656
1,-102,1,-107374182,51,2023-04-25 16:36:50.861456
1,-102,1,-107374182,48,2023-04-25 16:36:51.078662
1,-103,1,-107374182,48,2023-04-25 16:36:51.278815
1,-103,1,-107374182,45,2023-04-25 16:36:51.544684
1,-103,1,-107374182,45,2023-04-25 16:36:51.774528
1,-102,1,-107374182,45,2023-04-25 16:36:52.021060
1,-101,1,-107374182,42,2023-04-25 16:36:52.366813
1,-100,1,-107374182,39,2023-04-25 16:36:52.589397
1,-101,1,-107374182,39,2023-04-25 16:36:52.813019
1,-100,1,-107374182,36,2023-04-25 16:36:53.037808
1,-98,1,-107374182,36,2023-04-25 16:36:53.250660
1,-99,1,-107374182,36,2023-04-25 16:36:53.458449
1,-95,1,-107374182,33,2023-04-25 16:36:53.680390
1,-95,1,-107374182,33,2023-04-25 16:36:53.913430
1,-93,1,-107374182,30,2023-04-25 16:36:54.142269
1,-92,1,-107374182,30,2023-04-25 16:36:54.356619
1,-91,1,-107374182,27,2023-04-25 16:36:54.610948
1,-91,1,-107374182,27,2023-04-25 16:36:54.830737
1,-89,1,-107374182,24,2023-04-25 16:36:55.072865
1,-87,1,-107374182,24,2023-04-25 16:36:55.306830
1,-88,1,-107374182,24,2023-04-25 16:36:55.541598
1,-87,1,-107374182,24,2023-04-25 16:36:55.796091
1,-88,1,-107374182,27,2023-04-25 16:36:56.041858
1,-91,1,-107374182,27,2023-04-25 16:36:56.338873
1,-91,1,-107374182,30,2023-04-25 16:36:56.581873
1,-95,1,-107374182,30,2023-04-25 16:36:56.823858
1,-96,1,-107374182,33,2023-04-25 16:36:57.050594
1,-97,1,-107374182,33,2023-04-25 16:36:57.267562
1,-97,1,-107374182,33,2023-04-25 16:36:57.467009
1,-99,1,-107374182,36,2023-04-25 16:36:57.725612
1,-97,1,-107374182,36,2023-04-25 16:36:57.942461
1,-102,1,-107374182,39,2023-04-25 16:36:58.149318
1,-101,1,-107374182,39,2023-04-25 16:36:58.382249
1,-101,1,-107374182,42,2023-04-25 16:36:58.709240
1,-103,1,-107374182,42,2023-04-25 16:36:58.949634
1,-101,1,-107374182,45,2023-04-25 16:36:59.224460
1,-103,1,-107374182,45,2023-04-25 16:36:59.467188
1,-103,1,-107374182,48,2023-04-25 16:36:59.681575
1,-103,1,-107374182,48,2023-04-25 16:36:59.886775
1,-103,1,-107374182,51,2023-04-25 16:37:00.078046
1,-103,1,-107374182,51,2023-04-25 16:37:00.296761
1,-103,1,-107374182,54,2023-04-25 16:37:00.562139
1,-105,1,-107374182,54,2023-04-25 16:37:00.790443
1,-105,1,-107374182,54,2023-04-25 16:37:01.008789
1,-105,1,-107374182,54,2023-04-25 16:37:01.256931
1,-105,1,-107374182,54,2023-04-25 16:37:01.483551
1,-105,1,-107374182,51,2023-04-25 16:37:01.744389
1,-105,1,-107374182,51,2023-04-25 16:37:01.942180
1,-105,1,-107374182,48,2023-04-25 16:37:02.162890
1,-105,1,-107374182,48,2023-04-25 16:37:02.463838
1,-102,1,-107374182,45,2023-04-25 16:37:02.717706
1,-101,1,-107374182,45,2023-04-25 16:37:02.961131
1,-101,1,-107374182,42,2023-04-25 16:37:03.193583
1,-101,1,-107374182,42,2023-04-25 16:37:03.429301
1,-101,1,-107374182,39,2023-04-25 16:37:03.666782
1,-100,1,-107374182,39,2023-04-25 16:37:03.967815
1,-97,1,-107374182,36,2023-04-25 16:37:04.180403
1,-98,1,-107374182,36,2023-04-25 16:37:04.425959
1,-95,1,-107374182,33,2023-04-25 16:37:04.677211
1,-95,1,-107374182,33,2023-04-25 16:37:04.951790
1,-94,1,-107374182,30,2023-04-25 16:37:05.199376
1,-93,1,-107374182,30,2023-04-25 16:37:05.431808
1,-92,1,-107374182,27,2023-04-25 16:37:05.659832
1,-90,1,-107374182,27,2023-04-25 16:37:05.921385
1,-89,1,-107374182,24,2023-04-25 16:37:06.169559
1,-89,1,-107374182,24,2023-04-25 16:37:06.409807
1,-89,1,-107374182,24,2023-04-25 16:37:06.625462
1,-88,1,-107374182,24,2023-04-25 16:37:06.835763
1,-89,1,-107374182,24,2023-04-25 16:37:07.023635
1,-91,1,-107374182,27,2023-04-25 16:37:07.251966
1,-92,1,-107374182,27,2023-04-25 16:37:07.534595
1,-94,1,-107374182,30,2023-04-25 16:37:07.761087
1,-93,1,-107374182,30,2023-04-25 16:37:07.945248
1,-97,1,-107374182,33,2023-04-25 16:37:08.197329
1,-97,1,-107374182,33,2023-04-25 16:37:08.423513
1,-99,1,-107374182,36,2023-04-25 16:37:08.669650
1,-97,1,-107374182,36,2023-04-25 16:37:08.900031
1,-100,1,-107374182,39,2023-04-25 16:37:09.140656
1,-100,1,-107374182,39,2023-04-25 16:37:09.354277
1,-101,1,-107374182,42,2023-04-25 16:37:09.681830
1,-102,1,-107374182,42,2023-04-25 16:37:09.956946
1,-103,1,-107374182,45,2023-04-25 16:37:10.174163
1,-104,1,-107374182,45,2023-04-25 16:37:10.506845
1,-104,1,-107374182,48,2023-04-25 16:37:10.721126
1,-104,1,-107374182,48,2023-04-25 16:37:10.932713
1,-103,1,-107374182,51,2023-04-25 16:37:11.131897
1,-103,1,-107374182,51,2023-04-25 16:37:11.336752
1,-103,1,-107374182,54,2023-04-25 16:37:11.573721
1,-103,1,-107374182,54,2023-04-25 16:37:11.803656
1,-103,1,-107374182,54,2023-04-25 16:37:12.036798
1,-103,1,-107374182,54,2023-04-25 16:37:12.248180
1,-103,1,-107374182,54,2023-04-25 16:37:12.473504
1,-103,1,-107374182,51,2023-04-25 16:37:12.746771
1,-103,1,-107374182,51,2023-04-25 16:37:12.979988
1,-104,1,-107374182,48,2023-04-25 16:37:13.191155
1,-104,1,-107374182,48,2023-04-25 16:37:13.410403
1,-104,1,-107374182,45,2023-04-25 16:37:13.659612
1,-103,1,-107374182,45,2023-04-25 16:37:13.944554
1,-101,1,-107374182,42,2023-04-25 16:37:14.224100
1,-102,1,-107374182,42,2023-04-25 16:37:14.494839
1,-99,1,-107374182,39,2023-04-25 16:37:14.743801
1,-98,1,-107374182,39,2023-04-25 16:37:15.023331
1,-99,1,-107374182,36,2023-04-25 16:37:15.334196
1,-96,1,-107374182,33,2023-04-25 16:37:15.636535
1,-97,1,-107374182,33,2023-04-25 16:37:15.890602
1,-93,1,-107374182,30,2023-04-25 16:37:16.170265
1,-93,1,-107374182,30,2023-04-25 16:37:16.439536
1,-91,1,-107374182,27,2023-04-25 16:37:16.694764
1,-92,1,-107374182,27,2023-04-25 16:37:16.928426
1,-88,1,-107374182,24,2023-04-25 16:37:17.156596
1,-90,1,-107374182,24,2023-04-25 16:37:17.509781
1,-89,1,-107374182,24,2023-04-25 16:37:17.766167
1,-89,1,-107374182,24,2023-04-25 16:37:18.004309
1,-91,1,-107374182,27,2023-04-25 16:37:18.235133
1,-92,1,-107374182,27,2023-04-25 16:37:18.496474
1,-92,1,-107374182,30,2023-04-25 16:37:18.782255
1,-93,1,-107374182,30,2023-04-25 16:37:18.999387
1,-94,1,-107374182,33,2023-04-25 16:37:19.216547
1,-95,1,-107374182,33,2023-04-25 16:37:19.486039
1,-98,1,-107374182,36,2023-04-25 16:37:19.752434
1,-99,1,-107374182,36,2023-04-25 16:37:19.987406
1,-99,1,-107374182,39,2023-04-25 16:37:20.219464
1,-101,1,-107374182,39,2023-04-25 16:37:20.427561
1,-100,1,-107374182,42,2023-04-25 16:37:20.680990
1,-102,1,-107374182,42,2023-04-25 16:37:20.946062
1,-103,1,-107374182,45,2023-04-25 16:37:21.208339
1,-101,1,-107374182,45,2023-04-25 16:37:21.504716
1,-103,1,-107374182,48,2023-04-25 16:37:21.736705
1,-103,1,-107374182,48,2023-04-25 16:37:21.964208
1,-103,1,-107374182,51,2023-04-25 16:37:22.235068
1,-103,1,-107374182,54,2023-04-25 16:37:22.568510
1,-103,1,-107374182,54,2023-04-25 16:37:22.826552
1,-103,1,-107374182,54,2023-04-25 16:37:23.021748
1,-103,1,-107374182,54,2023-04-25 16:37:23.251633
1,-103,1,-107374182,54,2023-04-25 16:37:23.488827
1,-103,1,-107374182,51,2023-04-25 16:37:23.713974
1,-103,1,-107374182,51,2023-04-25 16:37:23.962170
1,-103,1,-107374182,48,2023-04-25 16:37:24.185827
