latency,RSSI,filtered latency,attn1,attn2,TIMESTAMP
1,-104,1,-107374182,39,2023-04-25 12:51:27.715010
1,-102,1,-107374182,39,2023-04-25 12:51:27.900692
1,-102,1,-107374182,39,2023-04-25 12:51:28.044044
1,-102,1,-107374182,36,2023-04-25 12:51:28.237268
1,-102,1,-107374182,36,2023-04-25 12:51:28.431658
1,-102,1,-107374182,36,2023-04-25 12:51:28.602971
1,-101,1,-107374182,33,2023-04-25 12:51:28.829744
1,-100,1,-107374182,33,2023-04-25 12:51:29.012216
1,-97,1,-107374182,30,2023-04-25 12:51:29.175448
1,-98,1,-107374182,30,2023-04-25 12:51:29.367249
1,-96,1,-107374182,30,2023-04-25 12:51:29.567331
1,-96,1,-107374182,27,2023-04-25 12:51:29.782804
1,-95,1,-107374182,27,2023-04-25 12:51:29.983055
1,-94,1,-107374182,24,2023-04-25 12:51:30.149681
1,-90,1,-107374182,24,2023-04-25 12:51:30.367469
1,-91,1,-107374182,24,2023-04-25 12:51:30.517417
1,-93,1,-107374182,24,2023-04-25 12:51:30.767957
1,-93,1,-107374182,24,2023-04-25 12:51:30.983876
1,-94,1,-107374182,27,2023-04-25 12:51:31.168284
1,-95,1,-107374182,27,2023-04-25 12:51:31.368510
1,-96,1,-107374182,27,2023-04-25 12:51:31.525943
1,-99,1,-107374182,30,2023-04-25 12:51:31.741982
1,-99,1,-107374182,30,2023-04-25 12:51:31.900370
1,-99,1,-107374182,30,2023-04-25 12:51:32.101098
1,-99,1,-107374182,33,2023-04-25 12:51:32.301705
1,-100,1,-107374182,33,2023-04-25 12:51:32.470635
1,-99,1,-107374182,36,2023-04-25 12:51:32.649833
1,-103,1,-107374182,36,2023-04-25 12:51:32.818736
1,-103,1,-107374182,36,2023-04-25 12:51:32.987674
1,-101,1,-107374182,36,2023-04-25 12:51:33.129696
1,-102,1,-107374182,39,2023-04-25 12:51:33.313754
1,-101,1,-107374182,39,2023-04-25 12:51:33.503979
1,-104,1,-107374182,42,2023-04-25 12:51:33.731917
1,-102,1,-107374182,42,2023-04-25 12:51:33.905267
1,-102,1,-107374182,42,2023-04-25 12:51:34.089429
1,-101,1,-107374182,45,2023-04-25 12:51:34.273952
1,-101,1,-107374182,45,2023-04-25 12:51:34.437917
1,-102,1,-107374182,45,2023-04-25 12:51:34.609601
1,-102,1,-107374182,48,2023-04-25 12:51:34.805306
1,-102,1,-107374182,48,2023-04-25 12:51:34.989893
1,-102,1,-107374182,51,2023-04-25 12:51:35.136984
1,-102,1,-107374182,51,2023-04-25 12:51:35.311517
1,-102,1,-107374182,51,2023-04-25 12:51:35.517170
1,-102,1,-107374182,54,2023-04-25 12:51:35.706196
1,-102,1,-107374182,54,2023-04-25 12:51:35.906161
1,-102,1,-107374182,54,2023-04-25 12:51:36.111293
1,-102,1,-107374182,54,2023-04-25 12:51:36.275033
1,-102,1,-107374182,54,2023-04-25 12:51:36.432966
1,-102,1,-107374182,54,2023-04-25 12:51:36.608164
1,-102,1,-107374182,51,2023-04-25 12:51:36.807815
1,-102,1,-107374182,51,2023-04-25 12:51:36.976095
1,-102,1,-107374182,48,2023-04-25 12:51:37.177237
1,-102,1,-107374182,48,2023-04-25 12:51:37.337139
1,-102,1,-107374182,48,2023-04-25 12:51:37.503758
1,-102,1,-107374182,45,2023-04-25 12:51:37.692330
1,-102,1,-107374182,45,2023-04-25 12:51:37.877507
1,-102,1,-107374182,45,2023-04-25 12:51:38.050560
1,-103,1,-107374182,42,2023-04-25 12:51:38.235085
1,-102,1,-107374182,42,2023-04-25 12:51:38.409386
1,-102,1,-107374182,42,2023-04-25 12:51:38.578812
1,-102,1,-107374182,39,2023-04-25 12:51:38.779204
1,-101,1,-107374182,39,2023-04-25 12:51:38.979809
1,-102,1,-107374182,36,2023-04-25 12:51:39.180439
1,-102,1,-107374182,36,2023-04-25 12:51:39.344717
1,-102,1,-107374182,36,2023-04-25 12:51:39.559703
1,-99,1,-107374182,33,2023-04-25 12:51:39.743706
1,-102,1,-107374182,33,2023-04-25 12:51:39.944465
1,-100,1,-107374182,30,2023-04-25 12:51:40.165295
1,-99,1,-107374182,30,2023-04-25 12:51:40.342664
1,-95,1,-107374182,30,2023-04-25 12:51:40.546499
1,-94,1,-107374182,27,2023-04-25 12:51:40.725572
1,-95,1,-107374182,27,2023-04-25 12:51:40.941771
1,-94,1,-107374182,27,2023-04-25 12:51:41.123710
1,-93,1,-107374182,24,2023-04-25 12:51:41.299018
1,-93,1,-107374182,24,2023-04-25 12:51:41.487083
1,-94,1,-107374182,24,2023-04-25 12:51:41.657699
1,-93,1,-107374182,24,2023-04-25 12:51:41.820082
1,-93,1,-107374182,24,2023-04-25 12:51:41.999741
1,-96,1,-107374182,27,2023-04-25 12:51:42.215882
1,-95,1,-107374182,27,2023-04-25 12:51:42.384835
1,-95,1,-107374182,27,2023-04-25 12:51:42.569847
1,-99,1,-107374182,30,2023-04-25 12:51:42.774106
1,-97,1,-107374182,30,2023-04-25 12:51:42.965515
1,-99,1,-107374182,33,2023-04-25 12:51:43.186341
1,-101,1,-107374182,33,2023-04-25 12:51:43.366218
1,-99,1,-107374182,33,2023-04-25 12:51:43.551739
1,-100,1,-107374182,36,2023-04-25 12:51:43.714251
1,-103,1,-107374182,36,2023-04-25 12:51:43.887396
1,-104,1,-107374182,36,2023-04-25 12:51:44.051764
1,-102,1,-107374182,39,2023-04-25 12:51:44.218963
1,-102,1,-107374182,39,2023-04-25 12:51:44.419557
1,-101,1,-107374182,39,2023-04-25 12:51:44.604255
1,-104,1,-107374182,42,2023-04-25 12:51:44.768277
1,-103,1,-107374182,42,2023-04-25 12:51:44.953789
1,-104,1,-107374182,42,2023-04-25 12:51:45.123081
1,-104,1,-107374182,45,2023-04-25 12:51:45.289895
1,-104,1,-107374182,45,2023-04-25 12:51:45.457941
1,-104,1,-107374182,45,2023-04-25 12:51:45.647158
1,-104,1,-107374182,48,2023-04-25 12:51:45.800846
1,-104,1,-107374182,48,2023-04-25 12:51:45.983951
1,-104,1,-107374182,48,2023-04-25 12:51:46.141757
1,-104,1,-107374182,51,2023-04-25 12:51:46.342875
1,-104,1,-107374182,51,2023-04-25 12:51:46.537648
1,-104,1,-107374182,54,2023-04-25 12:51:46.707165
1,-104,1,-107374182,54,2023-04-25 12:51:46.895195
1,-104,1,-107374182,54,2023-04-25 12:51:47.071548
1,-104,1,-107374182,54,2023-04-25 12:51:47.260460
1,-104,1,-107374182,54,2023-04-25 12:51:47.432279
1,-104,1,-107374182,54,2023-04-25 12:51:47.592305
1,-104,1,-107374182,51,2023-04-25 12:51:47.786026
1,-104,1,-107374182,51,2023-04-25 12:51:47.976160
1,-104,1,-107374182,48,2023-04-25 12:51:48.194110
1,-104,1,-107374182,48,2023-04-25 12:51:48.393559
1,-104,1,-107374182,48,2023-04-25 12:51:48.572940
1,-104,1,-107374182,45,2023-04-25 12:51:48.762286
1,-104,1,-107374182,45,2023-04-25 12:51:48.927180
1,-104,1,-107374182,45,2023-04-25 12:51:49.111209
1,-103,1,-107374182,42,2023-04-25 12:51:49.311369
1,-103,1,-107374182,42,2023-04-25 12:51:49.529750
1,-100,1,-107374182,39,2023-04-25 12:51:49.744807
1,-103,1,-107374182,39,2023-04-25 12:51:49.897289
1,-104,1,-107374182,39,2023-04-25 12:51:50.077027
1,-101,1,-107374182,36,2023-04-25 12:51:50.267578
1,-101,1,-107374182,36,2023-04-25 12:51:50.446413
1,-102,1,-107374182,36,2023-04-25 12:51:50.630521
1,-97,1,-107374182,33,2023-04-25 12:51:50.814925
1,-101,1,-107374182,33,2023-04-25 12:51:50.999112
1,-98,1,-107374182,30,2023-04-25 12:51:51.178972
1,-98,1,-107374182,30,2023-04-25 12:51:51.380181
1,-100,1,-107374182,30,2023-04-25 12:51:51.583433
1,-97,1,-107374182,27,2023-04-25 12:51:51.731250
1,-95,1,-107374182,27,2023-04-25 12:51:51.915831
1,-95,1,-107374182,27,2023-04-25 12:51:52.100444
1,-93,1,-107374182,24,2023-04-25 12:51:52.289632
1,-94,1,-107374182,24,2023-04-25 12:51:52.500917
1,-94,1,-107374182,24,2023-04-25 12:51:52.700977
1,-93,1,-107374182,24,2023-04-25 12:51:52.900866
1,-91,1,-107374182,24,2023-04-25 12:51:53.073708
1,-94,1,-107374182,27,2023-04-25 12:51:53.259174
1,-94,1,-107374182,27,2023-04-25 12:51:53.459255
1,-95,1,-107374182,27,2023-04-25 12:51:53.627958
1,-96,1,-107374182,30,2023-04-25 12:51:53.838550
1,-98,1,-107374182,30,2023-04-25 12:51:54.032950
1,-102,1,-107374182,33,2023-04-25 12:51:54.249158
1,-100,1,-107374182,33,2023-04-25 12:51:54.433777
1,-99,1,-107374182,33,2023-04-25 12:51:54.634053
1,-100,1,-107374182,36,2023-04-25 12:51:54.833658
1,-101,1,-107374182,36,2023-04-25 12:51:55.033435
1,-101,1,-107374182,39,2023-04-25 12:51:55.247517
1,-102,1,-107374182,39,2023-04-25 12:51:55.390488
1,-102,1,-107374182,39,2023-04-25 12:51:55.559497
1,-103,1,-107374182,42,2023-04-25 12:51:55.703221
1,-104,1,-107374182,42,2023-04-25 12:51:55.881633
1,-103,1,-107374182,42,2023-04-25 12:51:56.061504
1,-102,1,-107374182,45,2023-04-25 12:51:56.204972
1,-102,1,-107374182,45,2023-04-25 12:51:56.374179
1,-102,1,-107374182,45,2023-04-25 12:51:56.567819
1,-102,1,-107374182,48,2023-04-25 12:51:56.750041
1,-102,1,-107374182,48,2023-04-25 12:51:56.970090
1,-102,1,-107374182,48,2023-04-25 12:51:57.143784
1,-102,1,-107374182,51,2023-04-25 12:51:57.301212
1,-102,1,-107374182,51,2023-04-25 12:51:57.479628
1,-102,1,-107374182,54,2023-04-25 12:51:57.669917
1,-102,1,-107374182,54,2023-04-25 12:51:57.824643
1,-102,1,-107374182,54,2023-04-25 12:51:57.966978
1,-102,1,-107374182,54,2023-04-25 12:51:58.146048
1,-102,1,-107374182,54,2023-04-25 12:51:58.309833
1,-102,1,-107374182,54,2023-04-25 12:51:58.492437
1,-102,1,-107374182,51,2023-04-25 12:51:58.670698
1,-102,1,-107374182,51,2023-04-25 12:51:58.874218
1,-102,1,-107374182,51,2023-04-25 12:51:59.027469
1,-102,1,-107374182,48,2023-04-25 12:51:59.185969
1,-102,1,-107374182,48,2023-04-25 12:51:59.380892
1,-102,1,-107374182,48,2023-04-25 12:51:59.554179
1,-102,1,-107374182,45,2023-04-25 12:51:59.727062
1,-102,1,-107374182,45,2023-04-25 12:51:59.957306
1,-102,1,-107374182,45,2023-04-25 12:52:00.116752
1,-104,1,-107374182,42,2023-04-25 12:52:00.285407
1,-103,1,-107374182,42,2023-04-25 12:52:00.475314
1,-102,1,-107374182,42,2023-04-25 12:52:00.656613
1,-104,1,-107374182,39,2023-04-25 12:52:00.856389
1,-103,1,-107374182,39,2023-04-25 12:52:01.027403
1,-103,1,-107374182,36,2023-04-25 12:52:01.211557
1,-102,1,-107374182,36,2023-04-25 12:52:01.404476
1,-101,1,-107374182,36,2023-04-25 12:52:01.612220
1,-99,1,-107374182,33,2023-04-25 12:52:01.811971
1,-99,1,-107374182,33,2023-04-25 12:52:01.984961
1,-98,1,-107374182,33,2023-04-25 12:52:02.174627
1,-97,1,-107374182,30,2023-04-25 12:52:02.359853
1,-96,1,-107374182,30,2023-04-25 12:52:02.528900
1,-94,1,-107374182,27,2023-04-25 12:52:02.739797
1,-97,1,-107374182,27,2023-04-25 12:52:02.966276
1,-96,1,-107374182,27,2023-04-25 12:52:03.144801
1,-93,1,-107374182,24,2023-04-25 12:52:03.330138
1,-94,1,-107374182,24,2023-04-25 12:52:03.498613
1,-92,1,-107374182,24,2023-04-25 12:52:03.715010
1,-92,1,-107374182,24,2023-04-25 12:52:03.915487
1,-94,1,-107374182,24,2023-04-25 12:52:04.094205
1,-95,1,-107374182,27,2023-04-25 12:52:04.318861
1,-94,1,-107374182,27,2023-04-25 12:52:04.516048
1,-97,1,-107374182,30,2023-04-25 12:52:04.710615
1,-97,1,-107374182,30,2023-04-25 12:52:04.895022
1,-95,1,-107374182,30,2023-04-25 12:52:05.117140
1,-99,1,-107374182,33,2023-04-25 12:52:05.295854
1,-101,1,-107374182,33,2023-04-25 12:52:05.500750
1,-100,1,-107374182,36,2023-04-25 12:52:05.695462
1,-102,1,-107374182,36,2023-04-25 12:52:05.873635
1,-100,1,-107374182,36,2023-04-25 12:52:06.048986
1,-102,1,-107374182,39,2023-04-25 12:52:06.249028
1,-103,1,-107374182,39,2023-04-25 12:52:06.433881
1,-102,1,-107374182,39,2023-04-25 12:52:06.595849
1,-103,1,-107374182,42,2023-04-25 12:52:06.765831
1,-104,1,-107374182,42,2023-04-25 12:52:06.970943
1,-103,1,-107374182,42,2023-04-25 12:52:07.150138
1,-103,1,-107374182,45,2023-04-25 12:52:07.320573
1,-103,1,-107374182,45,2023-04-25 12:52:07.487174
1,-103,1,-107374182,48,2023-04-25 12:52:07.666019
1,-103,1,-107374182,48,2023-04-25 12:52:07.850408
