latency,RSSI,TIMESTAMP,Drop?
260,-89,0.0,0
253,-97,0.3466340000013588,0
173,-104,0.6283540000003995,0
90,-102,0.9140189999961876,0
256,-92,1.1952909999963595,1
265,-96,1.4859450000003562,0
233,-100,1.7723249999980908,0
155,-103,2.0491970000002766,0
185,-99,2.3775319999986095,0
279,-93,2.6760829999984708,0
264,-96,2.989758999996411,0
231,-104,3.3033079999950132,0
47,-99,3.638813999998092,0
250,-92,3.9616659999956028,0
291,-94,4.275558000001183,0
290,-102,4.561307999996643,0
44,-104,4.841813999999431,0
210,-96,5.144230999998399,0
296,-91,5.456904999999097,0
299,-98,5.75497699999687,0
251,-104,6.0548799999960465,0
35116,-100,6.381008999996993,0
280,-93,6.683766999994987,1
285,-93,6.975325999999768,0
237,-101,7.264734999997017,0
93,-104,7.547367999999551,0
192,-99,7.872589999999036,0
269,-92,8.191551999996591,0
271,-98,8.48141300000134,0
276,-102,8.79905499999586,0
32,-102,9.163504999996803,0
291,-89,9.538296999999147,0
283,-97,9.872189999994589,0
251,-103,10.15189499999542,0
4,-101,10.468787999998312,0
273,-97,10.7882879999961,0
293,-94,11.11283099999855,0
288,-103,11.416292999994766,0
92,-103,11.710156000001007,0
247,-98,12.01171500000055,1
282,-91,12.342719000000216,0
290,-98,12.66128999999637,0
194,-105,12.974066999995557,0
30,-98,13.28991600000154,0
288,-92,13.566302999999607,0
293,-92,13.861894999994547,0
291,-101,14.15755199999694,0
114,-103,14.430293999997957,0
250,-96,14.760365999994974,1
296,-91,15.063710999995237,0
297,-97,15.357146999995166,0
196,-103,15.658279999996012,0
1,-102,15.958005000000412,1
251,-93,16.26320599999599,0
248,-94,16.552551000000676,0
268,-102,16.83817299999646,0
136,-104,17.119550999996136,0
176,-96,17.444689999996626,1
264,-92,17.7496869999959,0
267,-97,18.04146100000071,0
268,-102,18.34990000000107,0
11,-104,18.699400999998034,1
292,-91,19.0257500000007,0
284,-93,19.32263399999647,0
271,-100,19.636138999994728,0
71,-103,19.941412000000128,0
204,-96,20.251211999995576,1
273,-89,20.53857799999969,0
276,-97,20.83088399999542,0
231,-102,21.12959399999818,0
31,-102,21.43823500000144,0
254,-93,21.759660999996413,0
291,-94,22.06764100000146,0
275,-102,22.38582899999892,0
65,-104,22.70035199999984,0
251,-95,23.003208999994968,0
285,-90,23.315609999997832,0
278,-101,23.631311999997706,0
163,-104,23.9418399999995,0
136,-102,24.291167999996105,0
257,-94,24.602372000001196,0
284,-100,24.921385000001465,0
238,-101,25.222000999994634,0
23,-101,25.550264999998035,0
193,-93,25.881798999995226,0
298,-98,26.192412999997032,0
292,-103,26.519477999994706,0
58,-105,26.80235199999879,0
34870,-94,27.13061899999593,1
168,-93,27.4610079999984,0
286,-100,27.792210999999952,0
130,-103,28.079534999997122,0
34939,-99,28.415813999999955,0
126,-91,28.75380099999893,0
274,-98,29.099365999994916,0
211,-106,29.379688000000897,0
35045,-99,29.733358999998018,1
117,-93,30.087382999998226,1
254,-98,30.45325199999934,0
209,-103,30.744431999999506,0
35002,-101,31.09842099999514,1
109,-91,31.44210999999632,1
249,-97,31.794970999995712,0
233,-102,32.098557999997865,0
35077,-101,32.407234999998764,0
106,-92,32.78182399999787,1
240,-96,33.111604999998235,0
255,-103,33.44488199999614,0
35076,-100,33.78359400000045,0
133,-92,34.14002999999502,1
275,-99,34.50208600000042,0
268,-104,34.81253799999831,0
35102,-101,35.14547499999753,0
133,-92,35.50373299999774,1
278,-98,35.87919400000101,0
248,-102,36.22528899999452,0
35070,-100,36.552850000000035,1
144,-92,36.95954399999755,0
293,-101,37.322526999996626,0
186,-104,37.63133899999957,0
35037,-99,37.97926300000108,0
182,-90,38.3550499999983,0
300,-100,38.714893999997,0
158,-103,39.02446699999564,0
34993,-99,39.39494900000136,1
168,-89,39.760997999997926,0
296,-101,40.105358000000706,0
129,-104,40.39932199999748,0
34978,-98,40.743375999998534,1
169,-89,41.08562499999971,0
284,-100,41.482969999997295,0
118,-103,41.807057999998506,0
34881,-99,42.17871300000115,1
211,-97,42.569854000001214,0
283,-100,42.925962000001164,0
44,-103,43.26843699999881,0
69,-94,43.64673899999616,1
228,-95,44.01170899999852,0
262,-101,44.37950499999715,0
35071,-101,44.7254879999964,0
129,-91,45.104716000001645,0
256,-98,45.49513699999807,0
217,-103,45.826218999995035,0
35059,-99,46.18906900000002,1
176,-92,46.57498199999827,0
282,-101,46.939183999995294,0
136,-103,47.282726999997976,0
34907,-97,47.624329999998736,1
140,-91,47.99741999999969,0
267,-102,48.3752170000007,0
44,-104,48.705512000000454,0
34824,-97,49.08063199999742,1
218,-97,49.49273099999846,0
265,-103,49.85972200000106,0
35052,-99,50.231926000000385,1
121,-93,50.66714800000045,0
295,-100,51.04974299999594,0
136,-103,51.39539800000057,0
34899,-98,51.78376700000081,1
210,-95,52.17041099999915,0
273,-100,52.515949000000546,0
27,-103,52.85844199999701,0
27,-93,53.25153599999612,1
241,-97,53.64052299999457,0
263,-104,54.006751000000804,0
35046,-98,54.391138999999384,1
146,-89,54.76225599999452,0
308,-98,55.146263999995426,0
173,-103,55.49403599999641,0
35116,-95,55.888811999997415,1
223,-95,56.292224999997416,0
314,-102,56.649929999999586,0
10,-102,56.995946999995795,0
133,-92,57.41080199999851,0
288,-96,57.79487599999993,0
235,-103,58.15440899999521,0
35018,-101,58.529240999996546,1
177,-89,58.92285699999775,0
284,-98,59.28386299999693,0
95,-103,59.62687400000141,0
34850,-96,60.047726999997394,0
240,-94,60.44389599999704,0
279,-103,60.805411000001186,0
35119,-102,61.18993799999589,1
168,-91,61.58127099999547,0
281,-99,61.9890779999987,0
176,-102,62.33937000000151,0
2,-94,62.77466399999685,1
234,-93,63.16518299999734,0
280,-102,63.51147900000069,0
12,-100,63.87103399999614,1
126,-92,64.29276599999866,0
260,-99,64.69886599999882,0
165,-103,65.05012699999497,0
34925,-96,65.42129299999942,1
184,-91,65.83896899999672,0
282,-100,66.22375399999873,0
5,-102,66.59494599999744,1
106,-91,67.01697799999965,0
240,-98,67.42230399999971,0
149,-105,67.7868329999983,0
34934,-99,68.15559099999518,1
178,-90,68.5789769999974,0
270,-101,68.96247399999993,0
37,-102,69.34333399999741,1
106,-92,69.80478199999925,0
297,-101,70.23389099999622,0
115,-103,70.5928070000009,0
34853,-96,71.01356099999975,1
218,-95,71.41633899999579,0
266,-102,71.80609099999856,0
35035,-101,72.1785779999991,1
155,-92,72.58045399999537,0
306,-101,72.96045900000172,0
163,-104,73.29688599999645,0
30,-95,73.7276239999992,1
225,-94,74.1286340000006,0
292,-102,74.5066749999969,0
5,-100,74.91182899999694,1
135,-90,75.32673200000136,0
287,-97,75.75086499999452,0
113,-102,76.10750499999995,1
12,-93,76.53304899999785,0
275,-97,76.94687899999553,0
246,-103,77.30819299999712,0
35011,-100,77.70904799999698,1
163,-91,78.10798599999544,0
276,-103,78.51404899999761,0
38,-103,78.87787699999899,0
34788,-94,79.26943599999504,1
247,-95,79.68554900000163,0
216,-103,80.06390899999678,0
34996,-98,80.4603949999946,1
179,-92,80.85155400000076,0
293,-100,81.25864000000001,0
78,-102,81.60628599999472,0
108,-94,82.0579660000003,0
255,-98,82.49450300000171,0
199,-103,82.85409799999616,0
34973,-96,83.23889100000088,1
222,-94,83.69136900000012,0
276,-103,84.08195799999521,0
35072,-102,84.45305099999678,1
156,-93,84.88117499999498,0
295,-99,85.31981899999664,0
82,-104,85.69485599999462,0
34842,-95,86.11709100000007,1
218,-96,86.53303500000038,0
216,-103,86.92422399999487,0
34943,-99,87.33858699999837,1
175,-92,87.75795400000061,0
288,-100,88.18345699999918,0
35122,-101,88.57772299999488,1
132,-94,89.03620999999839,0
301,-101,89.44340199999715,0
52,-105,89.8427159999992,1
95,-91,90.31290299999819,0
283,-98,90.7328869999983,0
152,-104,91.12578699999722,0
34880,-94,91.59288899999956,1
260,-96,92.04819699999643,0
202,-103,92.43895099999645,0
