dropout,return,DROPOUT TIMESTAMP,RETURN TIMESTAMP
1, ,2023-03-20 14:45:20.778203, 
 ,1, ,2023-03-20 14:45:21.690826
2, ,2023-03-20 14:45:35.995013, 
 ,2, ,2023-03-20 14:45:36.431727
3, ,2023-03-20 14:45:50.546920, 
 ,3, ,2023-03-20 14:45:51.198496
4, ,2023-03-20 14:46:05.580771, 
 ,4, ,2023-03-20 14:46:06.007676
5, ,2023-03-20 14:46:19.941088, 
 ,5, ,2023-03-20 14:46:20.993349
6, ,2023-03-20 14:46:34.802144, 
 ,6, ,2023-03-20 14:46:35.339365
7, ,2023-03-20 14:46:49.409636, 
 ,7, ,2023-03-20 14:46:50.104945
