latency,RSSI,attn1,attn2,TIMESTAMP
150,-43,-107374182,-107374182,2023-03-14 10:39:31.093379
145,-43,-107374182,-107374182,2023-03-14 10:39:31.248088
151,-44,-107374182,-107374182,2023-03-14 10:39:31.372592
151,-44,-107374182,-107374182,2023-03-14 10:39:31.482376
138,-44,-107374182,-107374182,2023-03-14 10:39:31.610673
146,-44,-107374182,-107374182,2023-03-14 10:39:31.748102
150,-44,-107374182,-107374182,2023-03-14 10:39:31.886938
151,-43,-107374182,-107374182,2023-03-14 10:39:32.011323
140,-44,-107374182,-107374182,2023-03-14 10:39:32.136722
151,-44,-107374182,-107374182,2023-03-14 10:39:32.262617
151,-44,-107374182,-107374182,2023-03-14 10:39:32.390036
142,-44,-107374182,-107374182,2023-03-14 10:39:32.536436
138,-44,-107374182,-107374182,2023-03-14 10:39:32.657565
151,-43,-107374182,-107374182,2023-03-14 10:39:32.798495
151,-44,-107374182,-107374182,2023-03-14 10:39:32.922584
151,-42,-107374182,-107374182,2023-03-14 10:39:33.061239
151,-41,-107374182,-107374182,2023-03-14 10:39:33.202096
150,-41,-107374182,-107374182,2023-03-14 10:39:33.343243
150,-41,-107374182,-107374182,2023-03-14 10:39:33.466405
151,-42,-107374182,-107374182,2023-03-14 10:39:33.608994
151,-42,-107374182,-107374182,2023-03-14 10:39:33.733374
150,-43,-107374182,-107374182,2023-03-14 10:39:33.873870
151,-42,-107374182,-107374182,2023-03-14 10:39:34.001768
151,-42,-107374182,-107374182,2023-03-14 10:39:34.141227
146,-42,-107374182,-107374182,2023-03-14 10:39:34.282036
151,-43,-107374182,-107374182,2023-03-14 10:39:34.408448
142,-44,-107374182,-107374182,2023-03-14 10:39:34.548056
150,-44,-107374182,-107374182,2023-03-14 10:39:34.691337
151,-44,-107374182,-107374182,2023-03-14 10:39:34.829085
151,-43,-107374182,-107374182,2023-03-14 10:39:34.956714
152,-43,-107374182,-107374182,2023-03-14 10:39:35.077836
150,-43,-107374182,-107374182,2023-03-14 10:39:35.203465
151,-43,-107374182,-107374182,2023-03-14 10:39:35.329090
143,-43,-107374182,-107374182,2023-03-14 10:39:35.455067
151,-43,-107374182,-107374182,2023-03-14 10:39:35.580137
150,-43,-107374182,-107374182,2023-03-14 10:39:35.722380
150,-44,-107374182,-107374182,2023-03-14 10:39:35.845022
151,-43,-107374182,-107374182,2023-03-14 10:39:35.967883
150,-43,-107374182,-107374182,2023-03-14 10:39:36.109649
139,-43,-107374182,-107374182,2023-03-14 10:39:36.234876
151,-43,-107374182,-107374182,2023-03-14 10:39:36.361069
150,-43,-107374182,-107374182,2023-03-14 10:39:36.485607
152,-43,-107374182,-107374182,2023-03-14 10:39:36.610994
138,-44,-107374182,-107374182,2023-03-14 10:39:36.738869
150,-43,-107374182,-107374182,2023-03-14 10:39:36.864592
149,-44,-107374182,-107374182,2023-03-14 10:39:37.004303
148,-43,-107374182,-107374182,2023-03-14 10:39:37.129561
148,-43,-107374182,-107374182,2023-03-14 10:39:37.271030
151,-43,-107374182,-107374182,2023-03-14 10:39:37.392206
151,-43,-107374182,-107374182,2023-03-14 10:39:37.533230
150,-43,-107374182,-107374182,2023-03-14 10:39:37.657785
150,-43,-107374182,-107374182,2023-03-14 10:39:37.797612
151,-43,-107374182,-107374182,2023-03-14 10:39:37.924321
144,-43,-107374182,-107374182,2023-03-14 10:39:38.065424
