dropout,return,DROPOUT TIMESTAMP,RETURN TIMESTAMP
1, ,2023-03-28 16:04:27.654857, 
2, ,2023-03-28 16:04:29.285947, 
3, ,2023-03-28 16:04:31.233962, 
 ,1, ,2023-03-28 16:04:31.454910
4, ,2023-03-28 16:05:21.941091, 
 ,2, ,2023-03-28 16:05:22.436050
5, ,2023-03-28 16:05:22.926192, 
 ,3, ,2023-03-28 16:05:23.265350
6, ,2023-03-28 16:05:23.760196, 
 ,4, ,2023-03-28 16:05:24.076065
7, ,2023-03-28 16:05:24.571252, 
 ,5, ,2023-03-28 16:05:24.960646
8, ,2023-03-28 16:05:25.415841, 
 ,6, ,2023-03-28 16:05:25.686776
9, ,2023-03-28 16:05:26.067465, 
 ,7, ,2023-03-28 16:05:26.435875
10, ,2023-03-28 16:05:26.905468, 
 ,8, ,2023-03-28 16:05:27.438613
11, ,2023-03-28 16:05:28.272779, 
 ,9, ,2023-03-28 16:05:28.768665
12, ,2023-03-28 16:05:29.466234, 
 ,10, ,2023-03-28 16:05:30.012011
13, ,2023-03-28 16:05:30.428999, 
 ,11, ,2023-03-28 16:05:31.086759
14, ,2023-03-28 16:05:31.621438, 
 ,12, ,2023-03-28 16:05:32.328433
15, ,2023-03-28 16:05:33.007361, 
 ,13, ,2023-03-28 16:05:33.573053
16, ,2023-03-28 16:05:34.373933, 
 ,14, ,2023-03-28 16:05:34.911881
17, ,2023-03-28 16:05:35.967922, 
18, ,2023-03-28 16:05:47.016073, 
 ,15, ,2023-03-28 16:05:47.383518
19, ,2023-03-28 16:05:47.747208, 
 ,16, ,2023-03-28 16:05:48.177384
20, ,2023-03-28 16:05:48.617810, 
 ,17, ,2023-03-28 16:05:49.083338
21, ,2023-03-28 16:05:49.435477, 
 ,18, ,2023-03-28 16:05:49.938646
22, ,2023-03-28 16:05:50.431166, 
 ,19, ,2023-03-28 16:05:50.884722
23, ,2023-03-28 16:05:51.206657, 
 ,20, ,2023-03-28 16:05:51.892041
24, ,2023-03-28 16:05:52.408477, 
 ,21, ,2023-03-28 16:05:52.825784
25, ,2023-03-28 16:05:53.072819, 
 ,22, ,2023-03-28 16:05:53.590184
26, ,2023-03-28 16:05:53.867002, 
 ,23, ,2023-03-28 16:05:54.320862
27, ,2023-03-28 16:05:54.568848, 
 ,24, ,2023-03-28 16:05:55.137435
28, ,2023-03-28 16:05:55.576631, 
 ,25, ,2023-03-28 16:05:56.098920
29, ,2023-03-28 16:05:56.617444, 
 ,26, ,2023-03-28 16:05:56.953607
30, ,2023-03-28 16:05:57.535582, 
 ,27, ,2023-03-28 16:05:57.941256
31, ,2023-03-28 16:05:59.454709, 
 ,28, ,2023-03-28 16:05:59.992441
32, ,2023-03-28 16:07:20.363531, 
 ,29, ,2023-03-28 16:07:21.040217
33, ,2023-03-28 16:07:21.436704, 
 ,30, ,2023-03-28 16:07:21.875604
34, ,2023-03-28 16:07:23.063436, 
 ,31, ,2023-03-28 16:07:24.002889
35, ,2023-03-28 16:07:24.521024, 
 ,32, ,2023-03-28 16:07:25.525049
36, ,2023-03-28 16:07:26.347116, 
 ,33, ,2023-03-28 16:07:26.963531
37, ,2023-03-28 16:07:28.166607, 
38, ,2023-03-28 16:07:59.854693, 
 ,34, ,2023-03-28 16:08:00.700481
39, ,2023-03-28 16:08:01.617829, 
 ,35, ,2023-03-28 16:08:02.446179
40, ,2023-03-28 16:08:02.956857, 
 ,36, ,2023-03-28 16:08:04.534593
41, ,2023-03-28 16:08:05.488946, 
 ,37, ,2023-03-28 16:08:05.954059
