latency,RSSI,attn1,attn2,TIMESTAMP
229,-97,-107374182,45,2023-03-28 16:04:02.646235
236,-98,-107374182,45,2023-03-28 16:04:02.941039
238,-97,-107374182,45,2023-03-28 16:04:03.130495
235,-97,-107374182,45,2023-03-28 16:04:03.404420
220,-98,-107374182,45,2023-03-28 16:04:03.590248
240,-97,-107374182,45,2023-03-28 16:04:03.773768
237,-98,-107374182,45,2023-03-28 16:04:03.974013
233,-98,-107374182,45,2023-03-28 16:04:04.174178
237,-97,-107374182,44,2023-03-28 16:04:04.374921
222,-98,-107374182,44,2023-03-28 16:04:04.606457
240,-96,-107374182,44,2023-03-28 16:04:04.807181
236,-97,-107374182,44,2023-03-28 16:04:05.043619
234,-97,-107374182,44,2023-03-28 16:04:05.258278
224,-98,-107374182,44,2023-03-28 16:04:05.508828
241,-97,-107374182,44,2023-03-28 16:04:05.725038
222,-96,-107374182,44,2023-03-28 16:04:05.934029
232,-97,-107374182,44,2023-03-28 16:04:06.112697
244,-97,-107374182,44,2023-03-28 16:04:06.330341
239,-98,-107374182,44,2023-03-28 16:04:06.530557
244,-97,-107374182,44,2023-03-28 16:04:06.744647
241,-97,-107374182,44,2023-03-28 16:04:06.958301
241,-98,-107374182,44,2023-03-28 16:04:07.180099
227,-97,-107374182,44,2023-03-28 16:04:07.398040
230,-97,-107374182,44,2023-03-28 16:04:07.603415
225,-97,-107374182,44,2023-03-28 16:04:07.824668
237,-97,-107374182,44,2023-03-28 16:04:08.064264
240,-97,-107374182,44,2023-03-28 16:04:08.281811
209,-97,-107374182,44,2023-03-28 16:04:08.515251
236,-96,-107374182,44,2023-03-28 16:04:08.708634
236,-97,-107374182,44,2023-03-28 16:04:08.935669
238,-96,-107374182,44,2023-03-28 16:04:09.162248
234,-97,-107374182,44,2023-03-28 16:04:09.369070
225,-97,-107374182,44,2023-03-28 16:04:09.585217
233,-97,-107374182,44,2023-03-28 16:04:09.846564
233,-98,-107374182,44,2023-03-28 16:04:10.038239
234,-97,-107374182,44,2023-03-28 16:04:10.291830
240,-97,-107374182,44,2023-03-28 16:04:10.538995
236,-96,-107374182,44,2023-03-28 16:04:10.813490
226,-96,-107374182,44,2023-03-28 16:04:11.055859
66,-97,-107374182,43,2023-03-28 16:04:11.724128
108,-96,-107374182,43,2023-03-28 16:04:11.899645
27,-97,-107374182,43,2023-03-28 16:04:12.104475
150,-96,-107374182,43,2023-03-28 16:04:12.326783
84,-96,-107374182,43,2023-03-28 16:04:12.507593
165,-96,-107374182,43,2023-03-28 16:04:12.690997
111,-96,-107374182,43,2023-03-28 16:04:12.870667
51,-96,-107374182,43,2023-03-28 16:04:13.060687
23,-95,-107374182,43,2023-03-28 16:04:13.243560
161,-96,-107374182,43,2023-03-28 16:04:13.446464
83,-97,-107374182,43,2023-03-28 16:04:13.623930
150,-96,-107374182,43,2023-03-28 16:04:13.792389
121,-98,-107374182,43,2023-03-28 16:04:13.955452
102,-96,-107374182,43,2023-03-28 16:04:14.116880
56,-95,-107374182,43,2023-03-28 16:04:14.287598
122,-96,-107374182,43,2023-03-28 16:04:14.457336
26,-97,-107374182,43,2023-03-28 16:04:14.624843
88,-96,-107374182,43,2023-03-28 16:04:14.772246
45,-95,-107374182,43,2023-03-28 16:04:14.947092
218,-95,-107374182,43,2023-03-28 16:04:15.100289
283,-97,-107374182,43,2023-03-28 16:04:15.279067
