dropout,return,DROPOUT TIMESTAMP,RETURN TIMESTAMP
1, ,2023-03-28 15:54:29.326153, 
 ,1, ,2023-03-28 15:54:30.219180
2, ,2023-03-28 15:54:30.723360, 
 ,2, ,2023-03-28 15:54:31.134260
3, ,2023-03-28 15:54:32.927062, 
 ,3, ,2023-03-28 15:54:33.586309
4, ,2023-03-28 15:54:34.229232, 
 ,4, ,2023-03-28 15:54:34.695108
5, ,2023-03-28 15:54:35.248673, 
 ,5, ,2023-03-28 15:54:35.724104
6, ,2023-03-28 15:54:36.056466, 
 ,6, ,2023-03-28 15:54:36.429275
7, ,2023-03-28 15:54:36.882068, 
 ,7, ,2023-03-28 15:54:37.237663
8, ,2023-03-28 15:54:37.574949, 
 ,8, ,2023-03-28 15:54:37.905110
9, ,2023-03-28 15:54:38.161970, 
 ,9, ,2023-03-28 15:54:38.444692
10, ,2023-03-28 15:54:38.687097, 
 ,10, ,2023-03-28 15:54:38.982933
11, ,2023-03-28 15:54:39.362294, 
 ,11, ,2023-03-28 15:54:39.671427
12, ,2023-03-28 15:54:40.005736, 
 ,12, ,2023-03-28 15:54:40.381562
13, ,2023-03-28 15:54:40.665993, 
 ,13, ,2023-03-28 15:54:41.010474
14, ,2023-03-28 15:54:41.320739, 
 ,14, ,2023-03-28 15:54:42.381880
15, ,2023-03-28 15:54:43.168426, 
 ,15, ,2023-03-28 15:54:44.585907
16, ,2023-03-28 15:54:44.795049, 
 ,16, ,2023-03-28 15:54:46.435144
17, ,2023-03-28 15:54:46.782612, 
 ,17, ,2023-03-28 15:55:15.544945
18, ,2023-03-28 15:55:15.815195, 
 ,18, ,2023-03-28 15:55:19.742790
19, ,2023-03-28 15:55:19.929523, 
 ,19, ,2023-03-28 15:55:20.962054
20, ,2023-03-28 15:55:21.463238, 
 ,20, ,2023-03-28 15:55:22.559820
21, ,2023-03-28 15:55:23.086121, 
 ,21, ,2023-03-28 15:55:23.902644
22, ,2023-03-28 15:55:24.333553, 
 ,22, ,2023-03-28 15:55:24.958762
23, ,2023-03-28 15:55:25.423796, 
 ,23, ,2023-03-28 15:55:26.177683
24, ,2023-03-28 15:55:26.560596, 
 ,24, ,2023-03-28 15:55:27.504828
25, ,2023-03-28 15:55:27.820169, 
 ,25, ,2023-03-28 15:55:28.463293
26, ,2023-03-28 15:55:28.888638, 
 ,26, ,2023-03-28 15:55:30.287040
27, ,2023-03-28 15:55:30.652226, 
 ,27, ,2023-03-28 15:55:31.286218
28, ,2023-03-28 15:55:31.700879, 
 ,28, ,2023-03-28 15:55:32.481901
29, ,2023-03-28 15:55:33.584187, 
 ,29, ,2023-03-28 15:55:34.032956
30, ,2023-03-28 15:55:34.574650, 
 ,30, ,2023-03-28 15:55:35.329796
31, ,2023-03-28 15:55:36.876489, 
 ,31, ,2023-03-28 15:55:37.483303
