latency,RSSI,attn1,attn2,TIMESTAMP
212,-99,-107374182,44,2023-03-28 15:53:13.932103
224,-97,-107374182,44,2023-03-28 15:53:14.130894
227,-97,-107374182,44,2023-03-28 15:53:14.300889
228,-98,-107374182,44,2023-03-28 15:53:14.490959
205,-97,-107374182,44,2023-03-28 15:53:14.690522
223,-97,-107374182,44,2023-03-28 15:53:14.875527
212,-98,-107374182,44,2023-03-28 15:53:15.086655
227,-97,-107374182,44,2023-03-28 15:53:15.281491
226,-97,-107374182,44,2023-03-28 15:53:15.460952
222,-97,-107374182,44,2023-03-28 15:53:15.667019
226,-98,-107374182,44,2023-03-28 15:53:15.883236
216,-97,-107374182,44,2023-03-28 15:53:16.123012
217,-98,-107374182,44,2023-03-28 15:53:16.332880
220,-97,-107374182,44,2023-03-28 15:53:16.511660
226,-97,-107374182,44,2023-03-28 15:53:16.707160
219,-97,-107374182,44,2023-03-28 15:53:16.909585
218,-97,-107374182,44,2023-03-28 15:53:17.094204
223,-97,-107374182,44,2023-03-28 15:53:17.292698
216,-97,-107374182,44,2023-03-28 15:53:17.510555
223,-96,-107374182,44,2023-03-28 15:53:17.699730
224,-96,-107374182,44,2023-03-28 15:53:17.947556
220,-96,-107374182,44,2023-03-28 15:53:18.114767
222,-96,-107374182,44,2023-03-28 15:53:18.296013
222,-97,-107374182,44,2023-03-28 15:53:18.490632
226,-98,-107374182,44,2023-03-28 15:53:18.664708
221,-97,-107374182,44,2023-03-28 15:53:18.858662
229,-97,-107374182,44,2023-03-28 15:53:19.084005
215,-96,-107374182,44,2023-03-28 15:53:19.251880
229,-97,-107374182,44,2023-03-28 15:53:19.429120
215,-96,-107374182,44,2023-03-28 15:53:19.596838
228,-97,-107374182,44,2023-03-28 15:53:19.777256
212,-96,-107374182,44,2023-03-28 15:53:19.970921
228,-96,-107374182,44,2023-03-28 15:53:20.140495
225,-96,-107374182,43,2023-03-28 15:53:20.336180
228,-98,-107374182,43,2023-03-28 15:53:20.574042
226,-96,-107374182,43,2023-03-28 15:53:20.758768
226,-97,-107374182,43,2023-03-28 15:53:20.954111
224,-96,-107374182,43,2023-03-28 15:53:21.153303
221,-97,-107374182,43,2023-03-28 15:53:21.338105
226,-96,-107374182,43,2023-03-28 15:53:21.514276
206,-97,-107374182,43,2023-03-28 15:53:21.703310
215,-97,-107374182,43,2023-03-28 15:53:21.898272
221,-97,-107374182,43,2023-03-28 15:53:22.100598
201,-97,-107374182,43,2023-03-28 15:53:22.335762
220,-97,-107374182,43,2023-03-28 15:53:22.538119
216,-97,-107374182,43,2023-03-28 15:53:22.773209
221,-96,-107374182,43,2023-03-28 15:53:22.990234
220,-96,-107374182,43,2023-03-28 15:53:23.239597
219,-97,-107374182,43,2023-03-28 15:53:23.432332
221,-97,-107374182,43,2023-03-28 15:53:23.621943
218,-97,-107374182,43,2023-03-28 15:53:23.823373
221,-95,-107374182,43,2023-03-28 15:53:24.062883
219,-96,-107374182,43,2023-03-28 15:53:24.277440
222,-95,-107374182,43,2023-03-28 15:53:24.503647
221,-96,-107374182,43,2023-03-28 15:53:24.714941
