latency,RSSI,Filtered Latency,TIMESTAMP,Drop?
299,-99,6849,0.0,0
235,-95,6444,0.517403000005288,0
62,-95,6195,0.9322319999992033,0
131,-103,6014,1.335836999998719,1
349,-101,6502,1.7645919999995385,0
273,-97,6936,2.1967960000038147,0
117,-95,6576,2.642188999998325,0
204,-103,6311,3.0287890000035986,0
136,-103,6082,3.4514370000033523,0
349,-94,6111,3.8775580000001355,0
132,-96,7214,4.283374999999069,0
240,-102,6998,4.6480330000049435,0
187,-99,6698,5.053383999998914,0
342,-97,6496,5.520366000004287,1
228,-97,7103,6.01332199999888,0
261,-106,6726,6.370483999999124,0
178,-103,6549,6.783062000002246,1
345,-94,6420,7.215029999999388,0
242,-96,6929,7.7067559999995865,0
75,-96,6582,8.220900000000256,0
166,-104,6389,8.678676000003179,0
314,-102,6616,9.125905000000785,0
265,-102,6647,9.560818000005384,0
180,-101,6378,10.077971999999136,0
345,-93,6180,10.566134000000602,1
324,-101,6718,10.942396999998891,0
271,-103,6495,11.367860999998811,0
173,-100,6352,11.796705000000657,0
345,-94,6260,12.252311000003829,1
206,-94,6779,12.706676000001607,0
294,-103,6456,13.111525000000256,0
244,-104,6135,13.528275000004214,0
162,-94,5873,13.93235700000514,1
277,-98,5715,14.405501000001095,0
294,-100,6477,14.883110000002489,0
231,-102,6481,15.247059000001173,0
177,-98,6254,15.691617000004044,0
347,-92,6052,16.117253000003984,1
347,-101,6761,16.52267099999881,0
267,-103,6833,16.93719399999827,0
205,-99,6507,17.365559999998368,0
144,-96,6177,17.76982500000304,0
138,-105,5855,18.13318000000436,1
345,-102,6125,18.499586000005365,0
274,-92,7027,18.92673400000058,0
266,-100,6721,19.35145800000464,0
185,-105,6524,19.73406999999861,0
346,-93,6651,20.120073999998567,1
268,-99,7270,20.544816000001447,0
290,-104,6867,20.939174999999523,0
219,-101,6677,21.344913000000815,0
149,-94,6388,21.779824000004737,1
144,-98,6091,22.21549700000469,0
341,-105,6633,22.60915599999862,0
265,-102,6820,23.06322999999975,0
219,-95,6526,23.518533000002208,0
158,-94,6158,23.95433200000116,1
146,-101,5874,24.349895999999717,1
322,-102,6237,24.725568000001658,0
262,-97,6421,25.171046000003116,0
141,-94,6172,25.636535000005097,0
185,-101,5935,26.101386000002094,0
330,-103,6259,26.534158000002208,0
291,-102,6189,26.967476999998325,0
222,-93,5941,27.363163000001805,0
41,-96,5653,27.765344999999797,0
147,-104,5359,28.171267000005173,1
342,-99,5450,28.57581300000311,1
229,-94,6167,28.9825090000013,0
240,-104,6021,29.409663999998884,0
166,-103,5777,29.825587999999698,0
342,-96,5805,30.22088000000076,1
240,-98,6338,30.606157000001986,0
290,-102,5999,30.990514000004623,0
235,-100,5800,31.376841000004788,0
127,-94,5605,31.792463000005228,1
148,-103,5403,32.197174000000814,0
347,-103,5962,32.591957000004186,0
284,-98,6498,33.038533999999345,0
216,-92,6132,33.462696000002325,0
220,-103,5910,33.84956200000306,0
176,-103,5700,34.27585700000054,1
347,-99,5864,34.70173900000373,0
201,-96,6587,35.12743600000249,0
266,-102,6299,35.491799000003084,0
173,-100,6102,35.88584100000298,0
311,-96,5869,36.30082699999912,1
308,-102,6008,36.68817900000431,0
221,-104,5949,37.09126600000309,0
161,-95,5765,37.50014799999917,1
330,-99,5587,37.90609499999846,1
329,-103,6241,38.2688879999987,0
270,-98,6500,38.65730800000165,0
157,-94,6252,39.0614790000036,0
167,-102,6014,39.48757399999886,0
310,-104,6386,39.86215700000321,0
260,-96,6570,40.294182000005094,0
154,-95,6282,40.710697000002256,0
