latency,RSSI,filtered latency,TIMESTAMP,Drop?
274,-93,7064,0.0,0
197,-93,6700,0.48285000000032596,0
183,-102,6429,0.8465230000001611,0
145,-102,6172,1.2308459999985644,1
320,-98,6153,1.6754320000036387,1
118,-97,6505,2.060068999999203,0
226,-103,6239,2.4333800000022165,0
168,-102,5976,2.865694000000076,0
350,-96,5926,3.3308450000040466,1
158,-95,6752,3.732895000001008,0
275,-102,6654,4.137023000002955,0
186,-98,6536,4.502033999997366,0
265,-95,6387,4.8944330000013,1
344,-103,6878,5.320325000000594,0
298,-101,6777,5.6945899999991525,0
239,-92,6461,6.098637000002782,0
232,-103,6165,6.463298000002396,0
159,-102,5920,6.847237000001769,1
346,-95,5861,7.251068999998097,1
117,-97,6559,7.694579000002705,0
229,-103,6481,8.099866999997175,0
171,-99,6253,8.483134000001883,0
329,-95,6022,8.917382999999973,1
148,-98,6298,9.3107600000003,0
238,-103,6105,9.685806000001321,0
160,-98,5977,10.07996699999785,0
244,-97,5848,10.477444000003743,1
328,-103,6696,10.859434999998484,0
290,-99,6869,11.24663999999757,0
163,-93,6632,11.661028000002261,0
223,-102,6345,12.045791000004101,1
175,-103,6048,12.47079500000109,1
346,-99,5957,12.915981999998621,0
268,-93,6140,13.36139700000058,0
239,-102,5876,13.776702000002842,0
183,-104,5711,14.20074900000327,0
344,-100,5788,14.63612799999828,1
270,-94,6137,15.121882999999798,0
185,-95,5810,15.566560999999638,0
203,-103,5530,15.979549000003317,1
123,-104,5378,16.384013000002597,1
346,-95,5499,16.779355999999098,0
145,-98,6404,17.163902000000235,0
272,-105,6237,17.578288999997312,0
174,-100,6120,17.944416999998793,0
283,-96,5923,18.3388580000028,1
329,-102,6400,18.753450000003795,0
280,-103,6404,19.219923999997263,0
221,-98,6043,19.649896000002627,0
143,-94,5778,20.0547430000006,1
136,-106,5572,20.40863199999876,0
339,-100,5869,20.782201000001805,0
205,-93,6492,21.176714000001084,0
249,-101,6279,21.61127800000395,0
244,-102,5949,21.985812999999325,1
187,-96,5718,22.391518000003998,1
225,-99,5511,22.785775999996986,1
329,-104,5967,23.17127299999993,0
300,-101,5994,23.582548999998835,0
207,-94,5828,24.027007999997295,0
207,-98,5650,24.44198399999732,0
342,-104,5901,24.808610000000044,1
263,-99,6036,25.192469000001438,0
62,-99,5883,25.594827000000805,0
169,-102,5739,25.959015000000363,0
345,-101,5948,26.345438999996986,1
238,-96,6591,26.760403000000224,0
273,-104,6280,27.124276000002283,0
202,-100,6123,27.48862999999983,0
319,-96,5945,27.873619999998482,1
343,-103,6389,28.267909000001964,0
256,-103,6413,28.677503999999317,0
199,-93,6128,29.064754999999423,0
187,-100,5862,29.48181399999885,0
337,-103,6365,29.876093999999284,0
268,-97,6676,30.26637099999789,0
164,-98,6388,30.666376000001037,0
183,-104,6140,31.073591000000306,0
331,-106,6500,31.524614000001748,0
254,-98,6783,31.959108000002743,0
140,-94,6526,32.35272000000259,0
