latency,RSSI,TIMESTAMP,Drop?
0,-100,0.0,0
321,-102,0.27369899999757763,0
273,-94,0.48678300000028685,0
232,-105,0.7401479999971343,0
37,-92,0.9808199999970384,0
150,-101,1.208149999998568,1
142,-100,1.4568409999992582,1
348,-98,1.6797809999989113,0
345,-103,1.904538999995566,0
279,-92,2.1659099999960745,0
269,-104,2.390832999997656,0
137,-99,2.6314520000014454,0
227,-101,2.8761319999975967,0
208,-102,3.109820999998192,0
350,-96,3.3403419999958714,1
336,-103,3.586223999998765,0
293,-93,3.828563999995822,0
282,-104,4.061311999997997,0
66,-99,4.29144400000223,0
194,-101,4.5364039999985835,0
180,-103,4.768730999996478,0
133,-94,5.021383999999671,1
118,-104,5.265277999998943,1
345,-95,5.478262999997241,1
341,-101,5.739206999998714,0
162,-98,5.983843000001798,0
284,-99,6.206199000000197,0
277,-104,6.449644000000262,0
226,-95,6.692522999997891,0
205,-104,6.929645999996865,0
126,-96,7.15808300000208,0
154,-102,7.361388999997871,1
155,-100,7.566608000000997,1
345,-97,7.809953999996651,0
312,-104,8.032075999995868,0
222,-94,8.264827999999397,0
262,-102,8.497965000002296,0
265,-101,8.731684999998834,0
202,-98,8.973210999996809,0
191,-102,9.205599000000802,0
131,-93,9.459061000001384,1
100,-103,9.71172800000204,1
323,-94,9.952158000000054,1
345,-102,10.157118999995873,0
322,-103,10.38021899999876,0
259,-98,10.622909999998228,0
255,-103,10.844926999998279,0
39,-91,11.085419999995793,0
127,-102,11.34057500000199,0
230,-96,11.624259999996866,0
348,-102,11.886927999999898,1
227,-95,12.230810000000929,0
279,-103,12.513893999996071,0
162,-96,12.737766999998712,0
218,-102,12.960411000000022,0
29,-98,13.203284999995958,0
145,-94,13.468016999999236,1
135,-106,13.698808000001009,1
349,-93,13.930884000001242,1
331,-103,14.177031999999599,0
184,-96,14.428550999997242,0
279,-100,14.661135000002105,0
59,-97,14.923719999998866,0
187,-99,15.15402599999652,0
184,-102,15.396484999997483,0
348,-92,15.641713999997592,1
344,-103,15.86433599999873,1
215,-94,16.115765999995347,0
260,-102,16.35081199999695,0
269,-99,16.57113599999866,0
174,-100,16.81409999999596,0
165,-105,17.070066000000224,0
346,-94,17.31068299999606,1
332,-104,17.553454000000784,0
154,-93,17.808493999997154,0
226,-103,18.029600000001665,0
51,-101,18.27607700000226,0
179,-95,18.52891599999566,0
153,-105,18.742034999995667,0
348,-93,18.97492599999532,1
348,-103,19.21710499999608,0
243,-93,19.48847999999998,0
280,-103,19.743201999997837,0
62,-98,19.996790999997756,0
190,-102,20.209429000002274,0
152,-103,20.4397439999957,1
351,-94,20.664842999998655,1
325,-102,20.88799399999698,0
199,-93,21.140063999999256,0
289,-100,21.3706600000005,0
288,-100,21.594963999996253,0
240,-100,21.835911000001943,0
237,-102,22.07074399999692,1
158,-95,22.3018929999962,1
165,-104,22.52713699999731,1
220,-97,22.788713000001735,1
347,-97,23.003922999996576,0
335,-102,23.227427999998326,0
275,-92,23.470314999998664,0
263,-103,23.703569999997853,0
175,-96,23.93684299999586,0
202,-101,24.177795999996306,0
193,-102,24.40202699999645,0
146,-99,24.685123999995994,1
8,-103,24.918470999997226,1
343,-95,25.139603999996325,0
340,-103,25.36172799999622,0
220,-97,25.607964999995602,0
300,-102,25.859560999997484,0
147,-101,26.102756000000227,0
248,-96,26.34589099999721,0
233,-103,26.566478000000643,0
180,-91,26.80905899999925,0
176,-103,27.031691999996838,1
250,-94,27.295084999997925,1
327,-101,27.549151999999594,0
339,-101,27.79176899999584,0
258,-100,28.035390999997617,0
218,-103,28.27919799999654,0
179,-94,28.53516600000148,0
177,-103,28.78342700000212,0
340,-91,29.056272000001627,1
342,-103,29.288095999996585,0
211,-92,29.55386400000134,0
285,-105,29.784064999999828,0
284,-98,30.03749699999753,0
200,-98,30.2811870000005,0
186,-103,30.52393299999676,0
133,-94,30.776841999999306,1
110,-102,30.999531000001298,1
306,-94,31.242617999996583,0
338,-105,31.5049050000016,0
190,-95,31.787687999996706,0
277,-102,32.09012599999551,0
72,-92,32.35209799999575,0
169,-102,32.58494999999675,0
220,-98,32.88957900000241,1
349,-104,33.150157999996736,0
178,-96,33.44275100000232,0
294,-101,33.70538700000179,0
33,-99,33.9679049999977,0
166,-99,34.19896699999663,0
158,-102,34.444375999999465,1
349,-95,34.68675499999517,1
350,-101,34.95036199999595,0
266,-94,35.1953979999962,0
266,-103,35.43868099999963,0
101,-99,35.691383999997925,0
209,-102,35.91210100000171,0
207,-102,36.154773000002024,1
150,-98,36.39751199999591,1
142,-103,36.6017589999974,0
347,-93,36.89288899999519,0
339,-102,37.14513699999952,0
214,-94,37.38828199999989,0
274,-102,37.66208100000222,0
64,-94,37.95803899999737,0
151,-104,38.202422000002116,0
220,-100,38.45014999999694,1
308,-101,38.75341599999956,1
138,-101,38.987137999996776,0
234,-100,39.22533300000214,0
217,-102,39.46640900000057,0
160,-95,39.72864599999593,0
157,-104,39.96144800000184,0
348,-96,40.203975999997056,1
349,-103,40.44638599999598,0
182,-97,40.71935099999973,0
288,-103,40.9520909999992,0
285,-99,41.222725999999966,0
178,-99,41.47861099999864,0
149,-104,41.71103199999925,1
350,-93,41.96358799999871,1
349,-103,42.186578000000736,0
244,-93,42.429479999998875,0
296,-103,42.67934399999649,0
108,-100,42.923415999997815,0
209,-103,43.17627199999697,0
203,-101,43.43736499999795,1
355,-96,43.66127299999789,1
331,-102,43.93413499999588,0
299,-93,44.18813599999703,0
279,-103,44.428945999999996,0
175,-94,44.662320999996155,0
239,-101,44.89550600000075,0
235,-97,45.17891099999542,1
125,-103,45.45225099999516,0
104,-101,45.69387099999585,0
349,-100,45.96847500000149,0
340,-102,46.2037530000016,0
290,-95,46.46740999999747,0
291,-102,46.7202529999995,0
232,-91,46.951773000000685,0
227,-103,47.176848999995855,0
70,-94,47.440301000002364,1
166,-98,47.68259299999772,1
167,-99,47.92838599999959,1
347,-98,48.17285799999809,1
340,-103,48.4362770000007,0
273,-94,48.699853999998595,0
266,-102,48.963199999998324,0
221,-92,49.22638300000108,0
221,-103,49.50923999999941,0
