latency,RSSI,TIMESTAMP,Drop?
301,-97,0.0,0
70,-101,0.2528789999996661,0
195,-98,0.4359119999935501,0
106,-95,0.636832999996841,1
150,-90,0.8391339999943739,0
219,-86,1.0211969999945723,0
208,-92,1.2238499999948544,0
207,-96,1.4301899999991292,0
180,-97,1.6081889999986743,0
153,-102,1.811039999993227,0
10,-101,1.993332999998529,1
202,-96,2.216019999999844,1
189,-92,2.418316999996023,0
261,-88,2.62098299999343,0
290,-89,2.8239249999969616,0
295,-94,3.0266409999967436,0
282,-96,3.2292189999934635,0
248,-99,3.43214799999987,1
152,-99,3.634740999994392,1
134,-100,3.8463940000001458,1
73,-95,4.040758999995887,0
148,-89,4.223078999995778,0
189,-83,4.425597999994352,0
192,-92,4.627951999995275,0
183,-98,4.830370999996376,0
140,-98,5.01303299999563,1
30,-102,5.195458999995026,1
220,-99,5.378131999998004,1
111,-95,5.581135999993421,0
114,-91,5.763057999996818,0
199,-89,5.965438999999606,0
209,-90,6.167525999997451,0
185,-90,6.370335999999952,0
194,-98,6.572495999993407,1
145,-102,6.775270999998611,1
78,-100,6.957596999993257,1
142,-96,7.169693999996525,0
118,-91,7.381753999994544,0
202,-86,7.584229999993113,0
221,-91,7.78693999999814,0
218,-92,7.989289999997709,0
206,-98,8.192557999995188,1
153,-98,8.374135999998543,1
35,-100,8.555846999995993,1
200,-95,8.778172999998787,1
203,-95,8.98024599999917,1
305,-90,9.162305999998352,0
306,-90,9.365157000000181,0
304,-91,9.547909999993863,0
295,-93,9.750891999996384,0
285,-98,9.932850999997754,0
231,-100,10.135309999997844,1
2,-97,10.338463000000047,1
221,-92,10.540781999996398,1
278,-92,10.742836999997962,0
341,-87,10.94525099999737,0
337,-86,11.12826700000005,0
335,-90,11.31098199999542,0
315,-95,11.492923999998311,0
316,-98,11.67551299999468,1
264,-100,11.857304999997723,1
98,-98,12.039734999998473,1
69,-96,12.221710999998322,1
121,-88,12.424717999994755,0
192,-85,12.606212999999116,0
188,-87,12.80884099999821,0
188,-93,12.991229999999632,0
185,-95,13.193271999996796,1
148,-99,13.395719999993162,1
220,-98,13.598181999994267,1
119,-97,13.800826999999117,1
99,-91,13.982566999999108,0
214,-88,14.175262999997358,0
222,-86,14.378209999995306,0
226,-89,14.580000999994809,0
227,-93,14.782319999998435,0
