latency,RSSI,TIMESTAMP,Drop?
,,,
335,-104,0,0
,,,
325,-96,0.287777,0
,,,
352,-93,0.508684,0
,,,
346,-101,0.731253,0
,,,
335,-103,0.954706,0
,,,
335,-102,1.158944,0
,,,
217,-98,1.382051,1
,,,
337,-94,1.623346,0
,,,
336,-98,1.848582,0
,,,
316,-102,2.079968,0
,,,
320,-104,2.295696,1
,,,
232,-99,2.527666,1
,,,
351,-93,2.764003,0
,,,
351,-95,3.008739,0
,,,
350,-102,3.221828,0
,,,
328,-103,3.465686,1
,,,
233,-100,3.699035,1
,,,
350,-94,3.938981,0
,,,
349,-95,4.146672,0
,,,
346,-100,4.378266,0
,,,
343,-102,4.613851,1
,,,
3,-101,4.836796,1
,,,
345,-96,5.080354,1
,,,
349,-95,5.3079,0
,,,
349,-100,5.539678,0
,,,
341,-103,5.772644,0
,,,
341,-102,6.015808,1
,,,
340,-98,6.240948,0
,,,
352,-94,6.470611,0
,,,
350,-100,6.710849,0
,,,
346,-104,6.953359,0
,,,
346,-103,7.236645,1
,,,
300,-95,7.519984,0
,,,
299,-96,7.804856,0
,,,
298,-103,8.026795,0
,,,
292,-104,8.270268,1
,,,
220,-100,8.532367,1
,,,
314,-91,8.806325,0
,,,
316,-99,9.120715,0
,,,
316,-103,9.410446,0
,,,
316,-101,9.663997,1
,,,
349,-95,9.936123,0
,,,
350,-94,10.169499,0
,,,
350,-102,10.393437,0
,,,
269,-103,10.647851,1
,,,
269,-102,10.871603,1
,,,
335,-95,11.098755,1
,,,
339,-94,11.349133,0
,,,
339,-101,11.586371,0
,,,
335,-102,11.797298,0
,,,
335,-103,12.008886,1
,,,
299,-98,12.233029,0
,,,
349,-95,12.459202,0
,,,
346,-100,12.691763,0
,,,
341,-102,12.905928,0
,,,
341,-104,13.11984,1
,,,
279,-103,13.370899,1
,,,
350,-93,13.606788,0
,,,
348,-97,13.840537,0
,,,
332,-102,14.083744,0
,,,
324,-104,14.345404,1
,,,
188,-100,14.58126,0
,,,
302,-90,14.827011,0
,,,
295,-98,15.050629,0
,,,
292,-104,15.30446,0
,,,
294,-104,15.544984,1
,,,
285,-102,15.790143,1
,,,
349,-95,16.033514,0
,,,
348,-100,16.278646,0
,,,
300,-102,16.502653,0
,,,
300,-103,16.736636,1
,,,
279,-99,16.988596,1
,,,
349,-91,17.245674,1
,,,
349,-98,17.49978,0
,,,
341,-104,17.733511,0
,,,
341,-102,17.937721,1
,,,
282,-98,18.168915,1
,,,
349,-91,18.411183,0
,,,
349,-98,18.666777,0
,,,
344,-101,18.919665,0
,,,
271,-104,19.183318,1
,,,
297,-99,19.446342,1
,,,
348,-94,19.749851,0
,,,
347,-101,19.992228,0
,,,
350,-104,20.264394,0
,,,
350,-100,20.529832,1
,,,
350,-93,20.763227,0
,,,
350,-97,21.035033,0
,,,
340,-101,21.251429,0
,,,
335,-104,21.49356,1
,,,
220,-98,21.756333,1
,,,
350,-91,21.999647,1
,,,
350,-99,22.22161,0
,,,
326,-102,22.504326,0
,,,
326,-104,22.747249,1
,,,
348,-97,23.059933,0
,,,
350,-92,23.354404,0
,,,
347,-101,23.648712,0
,,,
277,-103,23.902417,1
,,,
220,-100,24.235066,1
,,,
311,-92,24.548918,0
,,,
311,-104,24.884277,0
,,,
290,-103,25.18812,1
,,,
255,-96,25.452705,0
,,,
325,-93,25.73658,0
,,,
325,-104,26.011805,0
,,,
196,-103,26.294152,1
,,,
229,-99,26.557639,1
,,,
347,-92,26.849032,0
,,,
345,-98,27.07638,0
,,,
338,-102,27.308775,1
,,,
338,-101,27.561851,1
,,,
314,-100,27.862156,1
,,,
347,-97,28.150426,0
,,,
344,-102,28.462249,0
,,,
335,-102,28.756913,1
,,,
228,-97,29.050789,0
,,,
315,-94,29.364407,0
,,,
295,-102,29.636989,0
,,,
305,-103,29.920117,1
,,,
196,-99,30.162302,1
,,,
317,-92,30.41504,0
,,,
316,-96,30.678154,0
,,,
245,-105,30.93111,1
,,,
245,-102,31.142937,1
,,,
286,-97,31.365378,1
,,,
350,-94,31.587119,0
,,,
350,-97,31.859791,0
,,,
336,-103,32.099102,0
,,,
336,-103,32.349674,1
,,,
270,-97,32.649943,0
,,,
350,-94,32.897695,0
,,,
349,-99,33.131886,0
,,,
332,-104,33.404918,1
,,,
332,-102,33.645297,1
,,,
280,-99,33.921239,1
,,,
320,-98,34.18456,0
,,,
312,-101,34.417984,0
,,,
311,-103,34.659933,1
,,,
226,-102,34.903362,1
,,,
311,-94,35.136732,0
,,,
313,-96,35.418209,0
,,,
309,-100,35.652622,0
,,,
313,-103,35.89566,1
,,,
235,-102,36.153189,1
,,,
341,-95,36.411879,0
,,,
340,-101,36.685233,0
,,,
305,-104,36.925206,0
,,,
305,-103,37.170242,1
,,,
309,-98,37.443122,0
,,,
349,-94,37.706462,0
,,,
347,-100,37.949102,0
,,,
345,-104,38.232637,1
,,,
220,-100,38.486581,1
,,,
340,-95,38.753617,0
,,,
340,-95,39.001992,0
,,,
339,-102,39.268445,0
,,,
331,-102,39.5319,1
,,,
260,-100,39.79465,0
,,,
350,-94,40.105639,0
,,,
350,-100,40.37819,0
,,,
346,-104,40.669794,1
,,,
267,-100,40.992521,1
,,,
350,-93,41.266346,0
,,,
351,-99,41.518808,0
,,,
342,-103,41.750844,0
,,,
342,-104,41.984711,1
,,,
347,-99,42.235537,1
,,,
348,-92,42.489026,0
,,,
347,-101,42.751971,0
,,,
322,-104,43.002858,1
,,,
322,-102,43.248517,1
,,,
329,-96,43.500727,1
,,,
328,-98,43.773358,0
,,,
317,-102,44.045752,0
,,,
300,-104,44.308548,0
,,,
265,-97,44.631244,0
,,,
352,-92,44.904333,0
,,,
349,-100,45.166593,0
,,,
267,-102,45.429418,1
,,,
220,-101,45.703256,1
,,,
331,-91,45.975656,0
,,,
333,-99,46.238141,0
,,,
289,-104,46.46089,0
,,,
289,-103,46.724067,1
,,,
263,-99,46.986416,1
,,,
348,-92,47.293141,0
