latency,RSSI,filtered latency,TIMESTAMP,Drop?
0,-93,0,0.0,0
0,-104,0,0.26656399999774294,0
0,-103,0,0.5120199999946635,0
0,-97,0,0.7427069999976084,1
0,-91,0,0.9873119999974733,1
0,-99,0,1.228036999993492,0
0,-105,0,1.4526299999997718,0
0,-104,0,1.6626599999945029,1
0,-99,0,1.9176559999978053,1
0,-92,0,2.160286999998789,0
0,-96,0,2.4235999999946216,0
0,-103,0,2.645928999998432,0
0,-103,0,2.8683919999966747,1
0,-98,0,3.1495209999993676,1
0,-91,0,3.3924689999985276,0
0,-98,0,3.6282789999968372,0
0,-102,0,3.850483999995049,0
0,-104,0,4.080942999993567,1
0,-99,0,4.305067999994208,1
0,-93,0,4.576106000000436,1
0,-98,0,4.8085099999952945,0
0,-102,0,5.032764999996289,0
0,-103,0,5.2752979999931995,1
0,-99,0,5.517263999994611,1
0,-93,0,5.737278999993578,0
0,-96,0,5.9822539999950095,0
0,-103,0,6.225054999995336,0
0,-104,0,6.447328999995079,1
0,-100,0,6.68834099999367,1
0,-94,0,6.941139999995357,0
0,-96,0,7.143484999993234,0
0,-102,0,7.355429999995977,0
0,-105,0,7.569568999999319,1
0,-101,0,7.821604999997362,1
0,-95,0,8.051368000000366,1
0,-93,0,8.293562999999267,0
0,-102,0,8.549321999998938,0
0,-103,0,8.78153399999428,0
0,-101,0,9.022414999999455,1
0,-94,0,9.284929999994347,0
0,-95,0,9.509225999994669,0
0,-101,0,9.781824999998207,0
0,-103,0,10.033787999993365,1
0,-99,0,10.2590299999938,1
0,-95,0,10.48967999999877,1
0,-95,0,10.731568999995943,0
0,-103,0,10.964469999998983,0
0,-103,0,11.179024999997637,0
0,-102,0,11.421102999993309,1
0,-96,0,11.65348599999561,0
0,-93,0,11.883954999997513,0
0,-101,0,12.138218000000052,0
0,-102,0,12.381068999995477,1
0,-100,0,12.622415999998339,1
0,-96,0,12.864577000000281,1
0,-92,0,13.099023999995552,0
0,-98,0,13.331433999999717,0
0,-105,0,13.57454599999619,1
0,-103,0,13.837202999995498,1
0,-94,0,14.09922099999676,0
0,-96,0,14.382424999996147,0
0,-104,0,14.602747999997518,0
0,-105,0,14.826780999996117,1
0,-97,0,15.109956999993301,1
0,-92,0,15.341885999994702,0
0,-96,0,15.584874000000127,0
0,-102,0,15.8371679999982,0
0,-104,0,16.06970999999612,1
0,-98,0,16.361059999995632,1
0,-92,0,16.644799999994575,0
0,-100,0,16.95083199999499,0
0,-103,0,17.21157399999356,1
0,-98,0,17.5022570000001,1
0,-92,0,17.778723999996146,0
0,-97,0,18.0316429999948,0
0,-104,0,18.26202899999771,0
0,-106,0,18.484081999995396,1
0,-98,0,18.739164999999048,1
0,-93,0,18.97248899999977,0
0,-97,0,19.215846999999485,0
0,-102,0,19.438014999999723,0
0,-102,0,19.701130999994348,1
0,-96,0,19.95205100000021,1
0,-92,0,20.215628999998444,0
0,-101,0,20.42035699999542,0
0,-102,0,20.653503999994427,0
0,-102,0,20.886752999998862,1
0,-100,0,21.139203999999154,1
0,-96,0,21.350332999994862,0
0,-100,0,21.58605899999384,0
0,-101,0,21.798817999995663,0
0,-102,0,22.030268999995315,1
0,-102,0,22.26418399999966,1
0,-96,0,22.469085999997333,0
0,-93,0,22.702180000000226,0
0,-99,0,22.932380999998713,0
0,-103,0,23.146437999996124,1
0,-103,0,23.366902999994636,1
0,-100,0,23.600774999998976,1
0,-93,0,23.815256999994745,0
0,-100,0,24.047936999995727,0
0,-103,0,24.278215999998793,1
0,-103,0,24.502927999994427,1
0,-98,0,24.766114999998535,0
0,-91,0,25.006374999997206,0
0,-99,0,25.24836199999845,0
0,-103,0,25.462487999997393,0
0,-103,0,25.685030999993614,1
0,-99,0,25.92719099999522,1
0,-94,0,26.168290999994497,0
0,-97,0,26.402494999994815,0
0,-103,0,26.6441679999989,0
0,-103,0,26.857191999995848,1
0,-99,0,27.10711199999787,1
0,-93,0,27.331192999998166,1
0,-98,0,27.56304199999431,0
0,-101,0,27.762839999995776,0
0,-103,0,28.007287999993423,1
0,-102,0,28.21933299999364,1
0,-95,0,28.46030299999984,0
0,-95,0,28.684992999995302,0
0,-102,0,28.927779999998165,0
0,-103,0,29.150345999994897,0
0,-103,0,29.382802000000083,1
0,-96,0,29.643562999997812,0
0,-93,0,29.858452000000398,0
0,-100,0,30.10075899999356,0
