latency,RSSI,attn1,attn2,TIMESTAMP
148,-68,-107374182,0,2023-03-13 13:52:59.813128
150,-68,-107374182,0,2023-03-13 13:53:00.153635
148,-68,-107374182,0,2023-03-13 13:53:00.398327
148,-68,-107374182,0,2023-03-13 13:53:00.634435
151,-68,-107374182,0,2023-03-13 13:53:00.881261
148,-68,-107374182,0,2023-03-13 13:53:01.123183
151,-68,-107374182,0,2023-03-13 13:53:01.413399
140,-68,-107374182,0,2023-03-13 13:53:01.627731
149,-69,-107374182,0,2023-03-13 13:53:01.817654
151,-68,-107374182,0,2023-03-13 13:53:02.072462
151,-69,-107374182,0,2023-03-13 13:53:02.349375
149,-68,-107374182,0,2023-03-13 13:53:02.614389
149,-69,-107374182,0,2023-03-13 13:53:02.815723
150,-67,-107374182,0,2023-03-13 13:53:03.060765
151,-69,-107374182,0,2023-03-13 13:53:03.349493
151,-68,-107374182,0,2023-03-13 13:53:03.585245
149,-69,-107374182,0,2023-03-13 13:53:03.937896
151,-67,-107374182,0,2023-03-13 13:53:04.364949
145,-68,-107374182,0,2023-03-13 13:53:04.764006
135,-69,-107374182,0,2023-03-13 13:53:05.180764
149,-68,-107374182,0,2023-03-13 13:53:05.521317
149,-66,-107374182,0,2023-03-13 13:53:05.895643
151,-69,-107374182,0,2023-03-13 13:53:06.286153
119,-68,-107374182,0,2023-03-13 13:53:06.628404
143,-69,-107374182,0,2023-03-13 13:53:07.008877
150,-67,-107374182,0,2023-03-13 13:53:07.374827
149,-69,-107374182,0,2023-03-13 13:53:07.765499
150,-68,-107374182,0,2023-03-13 13:53:08.145179
149,-68,-107374182,0,2023-03-13 13:53:08.526539
149,-69,-107374182,0,2023-03-13 13:53:08.925159
148,-67,-107374182,0,2023-03-13 13:53:09.294908
149,-69,-107374182,0,2023-03-13 13:53:09.659182
