dropout,TIMESTAMP
1,2023-03-13 16:58:38.449810
2,2023-03-13 16:58:53.086143
3,2023-03-13 16:59:08.151164
4,2023-03-13 16:59:22.383428
5,2023-03-13 16:59:37.423441
6,2023-03-13 16:59:52.118389
7,2023-03-13 16:59:57.224562
8,2023-03-13 17:00:06.407598
9,2023-03-13 17:00:21.382185
10,2023-03-13 17:00:36.222223
11,2023-03-13 17:00:50.897656
12,2023-03-13 17:01:06.382895
13,2023-03-13 17:01:20.193411
14,2023-03-13 17:01:35.125295
15,2023-03-13 17:01:49.783521
16,2023-03-13 17:02:04.459084
17,2023-03-13 17:02:18.994690
18,2023-03-13 17:02:34.057621
19,2023-03-13 17:02:48.527162
20,2023-03-13 17:03:03.381894
