dropout,return,DROPOUT TIMESTAMP,RETURN TIMESTAMP
1, ,2023-03-15 14:46:59.762115
 ,1, ,2023-03-15 14:47:03.642788
2, ,2023-03-15 14:47:13.887810
 ,2, ,2023-03-15 14:47:18.162722
3, ,2023-03-15 14:47:28.715845
 ,3, ,2023-03-15 14:47:32.933266
4, ,2023-03-15 14:47:43.345784
 ,4, ,2023-03-15 14:47:47.682635
5, ,2023-03-15 14:47:57.948447
 ,5, ,2023-03-15 14:48:02.796178
6, ,2023-03-15 14:48:12.669402
 ,6, ,2023-03-15 14:48:17.491232
7, ,2023-03-15 14:48:27.434467
 ,7, ,2023-03-15 14:48:32.109296
8, ,2023-03-15 14:48:42.298214
 ,8, ,2023-03-15 14:48:46.783052
9, ,2023-03-15 14:48:57.066390
 ,9, ,2023-03-15 14:49:01.264439
10, ,2023-03-15 14:49:11.508086
 ,10, ,2023-03-15 14:49:15.970787
11, ,2023-03-15 14:49:26.096412
 ,11, ,2023-03-15 14:49:31.328662
12, ,2023-03-15 14:49:40.850328
 ,12, ,2023-03-15 14:49:45.900846
13, ,2023-03-15 14:49:55.941211
 ,13, ,2023-03-15 14:50:00.441057
14, ,2023-03-15 14:50:10.592114
 ,14, ,2023-03-15 14:50:14.542993
15, ,2023-03-15 14:50:25.514573
 ,15, ,2023-03-15 14:50:29.864948
16, ,2023-03-15 14:50:39.889242
 ,16, ,2023-03-15 14:50:44.635962
17, ,2023-03-15 14:50:54.374104
 ,17, ,2023-03-15 14:50:59.296439
18, ,2023-03-15 14:51:09.408310
 ,18, ,2023-03-15 14:51:13.933971
19, ,2023-03-15 14:51:24.157666
 ,19, ,2023-03-15 14:51:28.260102
20, ,2023-03-15 14:51:38.848671
 ,20, ,2023-03-15 14:51:42.997681
21, ,2023-03-15 14:51:53.570007
 ,21, ,2023-03-15 14:51:57.962123
22, ,2023-03-15 14:52:08.116677
 ,22, ,2023-03-15 14:52:12.825204
23, ,2023-03-15 14:52:23.083279
 ,23, ,2023-03-15 14:52:27.395597
24, ,2023-03-15 14:52:37.772790
 ,24, ,2023-03-15 14:52:42.296985
25, ,2023-03-15 14:52:52.570841
 ,25, ,2023-03-15 14:52:56.858124
26, ,2023-03-15 14:53:07.096577
 ,26, ,2023-03-15 14:53:11.271645
27, ,2023-03-15 14:53:21.616730
 ,27, ,2023-03-15 14:53:26.245503
28, ,2023-03-15 14:53:36.517981
 ,28, ,2023-03-15 14:53:40.727570
29, ,2023-03-15 14:53:51.166377
 ,29, ,2023-03-15 14:53:55.438857
30, ,2023-03-15 14:54:06.052844
 ,30, ,2023-03-15 14:54:10.121692
31, ,2023-03-15 14:54:20.751512
 ,31, ,2023-03-15 14:54:25.208204
32, ,2023-03-15 14:54:35.320683
 ,32, ,2023-03-15 14:54:39.828472
33, ,2023-03-15 14:54:50.124186
 ,33, ,2023-03-15 14:54:54.534467
