dropout,return,DROPOUT TIMESTAMP,RETURN TIMESTAMP
1, ,2023-05-17 17:10:03.429177, 
 ,1, ,2023-05-17 17:10:04.076435
2, ,2023-05-17 17:10:06.281013, 
 ,2, ,2023-05-17 17:10:06.768638
3, ,2023-05-17 17:10:08.541640, 
 ,3, ,2023-05-17 17:10:08.925150
4, ,2023-05-17 17:10:11.495398, 
 ,4, ,2023-05-17 17:10:12.121959
5, ,2023-05-17 17:10:14.205211, 
 ,5, ,2023-05-17 17:10:14.892944
6, ,2023-05-17 17:10:16.835101, 
 ,6, ,2023-05-17 17:10:17.433087
7, ,2023-05-17 17:10:19.354893, 
 ,7, ,2023-05-17 17:10:20.550991
8, ,2023-05-17 17:10:22.555318, 
 ,8, ,2023-05-17 17:10:23.122627
9, ,2023-05-17 17:10:25.325267, 
 ,9, ,2023-05-17 17:10:26.197390
10, ,2023-05-17 17:10:28.079704, 
 ,10, ,2023-05-17 17:10:28.685697
11, ,2023-05-17 17:10:30.364685, 
 ,11, ,2023-05-17 17:10:31.257530
12, ,2023-05-17 17:10:33.557667, 
 ,12, ,2023-05-17 17:10:34.143960
13, ,2023-05-17 17:10:36.322411, 
 ,13, ,2023-05-17 17:10:36.950213
14, ,2023-05-17 17:10:39.082749, 
 ,14, ,2023-05-17 17:10:39.609005
15, ,2023-05-17 17:10:41.917435, 
 ,15, ,2023-05-17 17:10:42.626052
16, ,2023-05-17 17:10:44.810272, 
 ,16, ,2023-05-17 17:10:45.458163
17, ,2023-05-17 17:10:47.330797, 
 ,17, ,2023-05-17 17:10:47.896518
18, ,2023-05-17 17:10:49.694731, 
 ,18, ,2023-05-17 17:10:50.381494
19, ,2023-05-17 17:10:52.830623, 
 ,19, ,2023-05-17 17:10:53.330307
20, ,2023-05-17 17:10:55.516176, 
 ,20, ,2023-05-17 17:10:56.124294
21, ,2023-05-17 17:10:58.616346, 
 ,21, ,2023-05-17 17:10:59.243263
22, ,2023-05-17 17:11:01.173987, 
 ,22, ,2023-05-17 17:11:01.820136
23, ,2023-05-17 17:11:03.883535, 
 ,23, ,2023-05-17 17:11:04.470203
24, ,2023-05-17 17:11:06.823219, 
 ,24, ,2023-05-17 17:11:07.533449
25, ,2023-05-17 17:11:09.252231, 
 ,25, ,2023-05-17 17:11:09.777079
26, ,2023-05-17 17:11:12.165214, 
 ,26, ,2023-05-17 17:11:12.752885
27, ,2023-05-17 17:11:14.097986, 
 ,27, ,2023-05-17 17:11:14.481238
28, ,2023-05-17 17:11:15.249994, 
 ,28, ,2023-05-17 17:11:15.491819
29, ,2023-05-17 17:11:17.586830, 
 ,29, ,2023-05-17 17:11:17.969278
30, ,2023-05-17 17:11:20.527146, 
 ,30, ,2023-05-17 17:11:21.314372
31, ,2023-05-17 17:11:23.590164, 
 ,31, ,2023-05-17 17:11:24.216095
32, ,2023-05-17 17:11:26.095003, 
 ,32, ,2023-05-17 17:11:26.823137
33, ,2023-05-17 17:11:28.783239, 
 ,33, ,2023-05-17 17:11:29.511199
34, ,2023-05-17 17:11:31.613654, 
 ,34, ,2023-05-17 17:11:32.198181
35, ,2023-05-17 17:11:34.228692, 
 ,35, ,2023-05-17 17:11:34.935411
36, ,2023-05-17 17:11:36.847488, 
 ,36, ,2023-05-17 17:11:37.636773
37, ,2023-05-17 17:11:39.478295, 
 ,37, ,2023-05-17 17:11:40.508743
38, ,2023-05-17 17:11:42.630042, 
 ,38, ,2023-05-17 17:11:43.276325
39, ,2023-05-17 17:11:45.116182, 
 ,39, ,2023-05-17 17:11:45.984770
40, ,2023-05-17 17:11:48.157568, 
 ,40, ,2023-05-17 17:11:48.886394
41, ,2023-05-17 17:11:50.726255, 
 ,41, ,2023-05-17 17:11:51.655225
42, ,2023-05-17 17:11:53.738452, 
 ,42, ,2023-05-17 17:11:54.404501
43, ,2023-05-17 17:11:56.283234, 
 ,43, ,2023-05-17 17:11:56.848918
44, ,2023-05-17 17:11:59.072961, 
 ,44, ,2023-05-17 17:11:59.659289
45, ,2023-05-17 17:12:02.091333, 
 ,45, ,2023-05-17 17:12:02.778016
46, ,2023-05-17 17:12:04.838571, 
 ,46, ,2023-05-17 17:12:05.262693
47, ,2023-05-17 17:12:07.486777, 
 ,47, ,2023-05-17 17:12:07.749370
48, ,2023-05-17 17:12:10.346691, 
 ,48, ,2023-05-17 17:12:10.771110
49, ,2023-05-17 17:12:12.793336, 
 ,49, ,2023-05-17 17:12:13.055461
50, ,2023-05-17 17:12:13.621388, 
 ,50, ,2023-05-17 17:12:13.843297
51, ,2023-05-17 17:12:15.823308, 
 ,51, ,2023-05-17 17:12:16.166828
52, ,2023-05-17 17:12:18.498235, 
 ,52, ,2023-05-17 17:12:18.740357
53, ,2023-05-17 17:12:21.538882, 
 ,53, ,2023-05-17 17:12:21.821439
54, ,2023-05-17 17:12:24.034624, 
 ,54, ,2023-05-17 17:12:24.378703
55, ,2023-05-17 17:12:26.722729, 
 ,55, ,2023-05-17 17:12:26.985744
56, ,2023-05-17 17:12:29.614949, 
 ,56, ,2023-05-17 17:12:29.918098
57, ,2023-05-17 17:12:32.282216, 
 ,57, ,2023-05-17 17:12:32.474250
58, ,2023-05-17 17:12:35.040794, 
 ,58, ,2023-05-17 17:12:35.465264
