latency,RSSI,attn1,attn2,TIMESTAMP
436,-60,48,20,2023-03-09 11:28:46.617334
161,-90,38,20,2023-03-09 11:28:46.833249
443,-87,34,20,2023-03-09 11:28:47.014722
442,-83,28,20,2023-03-09 11:28:47.189038
445,-79,24,20,2023-03-09 11:28:47.361595
437,-75,20,20,2023-03-09 11:28:47.534567
446,-76,22,20,2023-03-09 11:28:47.708040
442,-83,26,20,2023-03-09 11:28:47.877299
439,-83,30,20,2023-03-09 11:28:48.033316
442,-86,34,20,2023-03-09 11:28:48.204176
444,-90,40,20,2023-03-09 11:28:48.377677
446,-92,42,20,2023-03-09 11:28:48.533818
446,-97,48,20,2023-03-09 11:28:48.712525
384,-104,52,20,2023-03-09 11:28:48.901248
384,-103,56,20,2023-03-09 11:28:49.076726
384,-103,60,20,2023-03-09 11:28:49.247629
246,-58,0,20,2023-03-09 11:28:49.436302
150,-63,60,20,2023-03-09 11:28:49.588921
150,-63,56,20,2023-03-09 11:28:49.761442
150,-63,52,20,2023-03-09 11:28:49.922621
150,-63,48,20,2023-03-09 11:28:50.093469
150,-73,44,20,2023-03-09 11:28:50.251729
150,-97,40,20,2023-03-09 11:28:50.423482
440,-87,36,20,2023-03-09 11:28:50.601285
445,-84,32,20,2023-03-09 11:28:50.752233
448,-81,28,20,2023-03-09 11:28:50.905486
448,-77,24,20,2023-03-09 11:28:51.079942
449,-72,20,20,2023-03-09 11:28:51.239195
449,-78,22,20,2023-03-09 11:28:51.409132
449,-81,26,20,2023-03-09 11:28:51.575801
440,-85,30,20,2023-03-09 11:28:51.750934
446,-85,36,20,2023-03-09 11:28:51.916924
446,-88,40,20,2023-03-09 11:28:52.083057
436,-92,44,20,2023-03-09 11:28:52.237865
448,-98,48,20,2023-03-09 11:28:52.408074
372,-102,52,20,2023-03-09 11:28:52.565255
372,-104,56,20,2023-03-09 11:28:52.724017
372,-106,60,20,2023-03-09 11:28:52.891043
372,-54,0,20,2023-03-09 11:28:53.081349
451,-62,62,20,2023-03-09 11:28:53.236756
150,-62,58,20,2023-03-09 11:28:53.393425
150,-62,54,20,2023-03-09 11:28:53.572164
150,-62,50,20,2023-03-09 11:28:53.753453
150,-72,46,20,2023-03-09 11:28:53.906484
150,-98,40,20,2023-03-09 11:28:54.084786
352,-89,36,20,2023-03-09 11:28:54.258436
427,-85,32,20,2023-03-09 11:28:54.415291
442,-81,28,20,2023-03-09 11:28:54.608273
444,-77,24,20,2023-03-09 11:28:54.773444
431,-73,20,20,2023-03-09 11:28:54.958576
444,-75,24,20,2023-03-09 11:28:55.131531
439,-78,28,20,2023-03-09 11:28:55.287293
399,-81,32,20,2023-03-09 11:28:55.468769
427,-86,36,20,2023-03-09 11:28:55.631057
442,-90,40,20,2023-03-09 11:28:55.788957
442,-92,44,20,2023-03-09 11:28:55.957830
436,-98,48,20,2023-03-09 11:28:56.130389
388,-101,52,20,2023-03-09 11:28:56.287022
388,-103,56,20,2023-03-09 11:28:56.451289
388,-103,60,20,2023-03-09 11:28:56.600510
388,-60,0,20,2023-03-09 11:28:56.753480
449,-61,62,20,2023-03-09 11:28:56.913602
150,-61,58,20,2023-03-09 11:28:57.095285
150,-61,54,20,2023-03-09 11:28:57.254943
150,-61,50,20,2023-03-09 11:28:57.410670
150,-71,46,20,2023-03-09 11:28:57.569997
150,-98,42,20,2023-03-09 11:28:57.745517
357,-89,36,20,2023-03-09 11:28:57.925028
154,-85,32,20,2023-03-09 11:28:58.097646
155,-82,28,20,2023-03-09 11:28:58.253932
156,-79,24,20,2023-03-09 11:28:58.410675
156,-76,20,20,2023-03-09 11:28:58.601369
155,-76,22,20,2023-03-09 11:28:58.786054
147,-80,26,20,2023-03-09 11:28:58.963833
152,-84,32,20,2023-03-09 11:28:59.135524
138,-87,36,20,2023-03-09 11:28:59.290036
132,-92,40,20,2023-03-09 11:28:59.448503
130,-95,44,20,2023-03-09 11:28:59.635437
97,-102,48,20,2023-03-09 11:28:59.787609
62,-103,52,20,2023-03-09 11:28:59.950235
62,-103,56,20,2023-03-09 11:29:00.134401
62,-103,60,20,2023-03-09 11:29:00.313266
62,-59,0,20,2023-03-09 11:29:00.478523
430,-62,62,20,2023-03-09 11:29:00.634898
430,-62,58,20,2023-03-09 11:29:00.797457
430,-62,54,20,2023-03-09 11:29:00.953840
430,-62,50,20,2023-03-09 11:29:01.130869
430,-73,46,20,2023-03-09 11:29:01.275101
430,-81,42,20,2023-03-09 11:29:01.451186
188,-91,36,20,2023-03-09 11:29:01.638754
426,-86,32,20,2023-03-09 11:29:01.840005
437,-81,28,20,2023-03-09 11:29:02.000392
436,-78,24,20,2023-03-09 11:29:02.156152
436,-73,20,20,2023-03-09 11:29:02.311605
432,-77,22,20,2023-03-09 11:29:02.469682
430,-83,26,20,2023-03-09 11:29:02.627265
433,-82,30,20,2023-03-09 11:29:02.800626
431,-84,34,20,2023-03-09 11:29:02.955954
435,-89,38,20,2023-03-09 11:29:03.113864
435,-92,42,20,2023-03-09 11:29:03.273355
435,-96,46,20,2023-03-09 11:29:03.444753
396,-101,50,20,2023-03-09 11:29:03.603388
369,-104,54,20,2023-03-09 11:29:03.760376
369,-105,58,20,2023-03-09 11:29:03.924100
369,-105,62,20,2023-03-09 11:29:04.092067
322,-59,62,20,2023-03-09 11:29:04.265787
431,-62,60,20,2023-03-09 11:29:04.420188
431,-62,56,20,2023-03-09 11:29:04.581098
431,-62,50,20,2023-03-09 11:29:04.759958
431,-73,46,20,2023-03-09 11:29:04.921692
431,-94,42,20,2023-03-09 11:29:05.094336
301,-90,38,20,2023-03-09 11:29:05.279056
449,-86,34,20,2023-03-09 11:29:05.463420
448,-82,28,20,2023-03-09 11:29:05.624971
447,-79,24,20,2023-03-09 11:29:05.798375
448,-75,20,20,2023-03-09 11:29:05.953929
448,-72,22,20,2023-03-09 11:29:06.107940
150,-76,26,20,2023-03-09 11:29:06.267234
148,-80,30,20,2023-03-09 11:29:06.436042
150,-84,34,20,2023-03-09 11:29:06.620419
152,-88,38,20,2023-03-09 11:29:06.802014
154,-94,44,20,2023-03-09 11:29:07.016464
152,-99,48,20,2023-03-09 11:29:07.202186
130,-102,52,20,2023-03-09 11:29:07.365926
130,-105,56,20,2023-03-09 11:29:07.545894
130,-105,62,20,2023-03-09 11:29:07.705748
130,-58,0,20,2023-03-09 11:29:07.881031
431,-62,60,20,2023-03-09 11:29:08.034738
431,-62,56,20,2023-03-09 11:29:08.209761
431,-62,52,20,2023-03-09 11:29:08.363458
431,-73,48,20,2023-03-09 11:29:08.519980
431,-79,46,20,2023-03-09 11:29:08.674300
150,-98,40,20,2023-03-09 11:29:08.846623
338,-89,36,20,2023-03-09 11:29:09.024351
150,-86,32,20,2023-03-09 11:29:09.203177
151,-81,28,20,2023-03-09 11:29:09.374959
146,-78,24,20,2023-03-09 11:29:09.556128
140,-73,20,20,2023-03-09 11:29:09.760960
144,-81,26,20,2023-03-09 11:29:09.962853
147,-81,30,20,2023-03-09 11:29:10.152564
149,-84,34,20,2023-03-09 11:29:10.325506
150,-89,38,20,2023-03-09 11:29:10.495857
150,-92,42,20,2023-03-09 11:29:10.665874
150,-96,48,20,2023-03-09 11:29:10.858396
65,-103,52,20,2023-03-09 11:29:11.047196
65,-105,56,20,2023-03-09 11:29:11.215020
65,-105,60,20,2023-03-09 11:29:11.381196
65,-60,0,20,2023-03-09 11:29:11.576875
440,-63,60,20,2023-03-09 11:29:11.746416
440,-63,56,20,2023-03-09 11:29:11.914086
440,-63,52,20,2023-03-09 11:29:12.101579
440,-73,48,20,2023-03-09 11:29:12.278824
440,-97,42,20,2023-03-09 11:29:12.451313
189,-93,38,20,2023-03-09 11:29:12.640549
424,-92,34,20,2023-03-09 11:29:12.818470
424,-84,30,20,2023-03-09 11:29:12.985694
424,-80,26,20,2023-03-09 11:29:13.157925
424,-77,22,20,2023-03-09 11:29:13.321898
416,-75,22,20,2023-03-09 11:29:13.488832
420,-80,26,20,2023-03-09 11:29:13.673379
421,-83,30,20,2023-03-09 11:29:13.844801
423,-85,34,20,2023-03-09 11:29:14.006237
412,-89,38,20,2023-03-09 11:29:14.172537
424,-93,42,20,2023-03-09 11:29:14.352354
422,-96,46,20,2023-03-09 11:29:14.521439
373,-102,52,20,2023-03-09 11:29:14.705593
373,-104,56,20,2023-03-09 11:29:14.871710
373,-104,60,20,2023-03-09 11:29:15.035816
373,-104,0,20,2023-03-09 11:29:15.203956
431,-61,62,20,2023-03-09 11:29:15.378480
441,-61,58,20,2023-03-09 11:29:15.545248
441,-61,54,20,2023-03-09 11:29:15.719318
441,-61,50,20,2023-03-09 11:29:15.892897
441,-73,44,20,2023-03-09 11:29:16.068145
441,-98,40,20,2023-03-09 11:29:16.268112
418,-88,36,20,2023-03-09 11:29:16.450119
150,-84,32,20,2023-03-09 11:29:16.618027
138,-80,26,20,2023-03-09 11:29:16.803028
149,-75,22,20,2023-03-09 11:29:16.986342
146,-72,20,20,2023-03-09 11:29:17.170063
144,-76,24,20,2023-03-09 11:29:17.332378
142,-80,30,20,2023-03-09 11:29:17.498781
147,-83,34,20,2023-03-09 11:29:17.698711
150,-88,38,20,2023-03-09 11:29:17.881503
