latency,RSSI,filtered latency,attn1,attn2,TIMESTAMP
324,-77,48,-107374182,0,2023-05-02 14:23:43.728375
323,-76,48,-107374182,0,2023-05-02 14:23:44.098996
330,-76,48,-107374182,0,2023-05-02 14:23:44.415828
332,-76,48,-107374182,0,2023-05-02 14:23:44.754945
336,-77,48,-107374182,0,2023-05-02 14:23:45.033169
334,-77,48,-107374182,0,2023-05-02 14:23:45.405120
326,-74,48,-107374182,0,2023-05-02 14:23:45.708654
334,-78,48,-107374182,0,2023-05-02 14:23:46.042282
322,-76,48,-107374182,0,2023-05-02 14:23:46.350368
326,-79,48,-107374182,0,2023-05-02 14:23:46.644943
321,-77,48,-107374182,0,2023-05-02 14:23:46.978660
321,-78,48,-107374182,0,2023-05-02 14:23:47.319423
329,-79,48,-107374182,0,2023-05-02 14:23:47.619745
329,-76,48,-107374182,0,2023-05-02 14:23:47.929790
323,-77,48,-107374182,0,2023-05-02 14:23:48.274276
