latency,RSSI,latency var.,attn1,attn2,TIMESTAMP
33575,-101,2030,-107374182,30,2023-05-10 15:10:00.114672
261,-98,2831,-107374182,28,2023-05-10 15:10:00.552538
297,-97,3449,-107374182,24,2023-05-10 15:10:00.921069
296,-95,3142,-107374182,22,2023-05-10 15:10:01.330759
282,-93,2801,-107374182,20,2023-05-10 15:10:01.734324
259,-94,2596,-107374182,20,2023-05-10 15:10:02.104182
268,-95,2317,-107374182,24,2023-05-10 15:10:02.578946
279,-97,2070,-107374182,28,2023-05-10 15:10:03.045468
283,-101,1886,-107374182,30,2023-05-10 15:10:03.448358
250,-100,1722,-107374182,32,2023-05-10 15:10:03.833069
256,-103,1558,-107374182,36,2023-05-10 15:10:04.325762
34988,-104,1929,-107374182,38,2023-05-10 15:10:04.736059
34568,-104,2411,-107374182,36,2023-05-10 15:10:05.158701
34168,-103,2179,-107374182,34,2023-05-10 15:10:05.540241
33783,-101,2010,-107374182,32,2023-05-10 15:10:05.920150
181,-100,1937,-107374182,28,2023-05-10 15:10:06.377884
256,-96,2964,-107374182,26,2023-05-10 15:10:06.768975
255,-94,3001,-107374182,24,2023-05-10 15:10:07.151909
277,-92,2728,-107374182,20,2023-05-10 15:10:07.518143
266,-91,2528,-107374182,20,2023-05-10 15:10:07.907867
275,-93,2300,-107374182,22,2023-05-10 15:10:08.301228
270,-93,2094,-107374182,26,2023-05-10 15:10:08.747053
251,-99,1875,-107374182,28,2023-05-10 15:10:09.181070
277,-100,1719,-107374182,30,2023-05-10 15:10:09.598595
275,-102,1577,-107374182,34,2023-05-10 15:10:10.019049
73,-104,1659,-107374182,36,2023-05-10 15:10:10.434101
34764,-105,2600,-107374182,38,2023-05-10 15:10:10.879864
34383,-105,2532,-107374182,36,2023-05-10 15:10:11.247340
34002,-102,2289,-107374182,34,2023-05-10 15:10:11.647390
33575,-99,2069,-107374182,30,2023-05-10 15:10:12.083198
290,-99,2101,-107374182,28,2023-05-10 15:10:12.455540
263,-96,3137,-107374182,26,2023-05-10 15:10:12.863619
273,-94,3000,-107374182,22,2023-05-10 15:10:13.251895
277,-92,2727,-107374182,20,2023-05-10 15:10:13.639586
289,-93,2480,-107374182,20,2023-05-10 15:10:14.056597
244,-95,2259,-107374182,24,2023-05-10 15:10:14.481131
264,-100,2030,-107374182,26,2023-05-10 15:10:14.932116
283,-102,1822,-107374182,30,2023-05-10 15:10:15.388726
262,-100,1669,-107374182,32,2023-05-10 15:10:15.805372
198,-100,1563,-107374182,36,2023-05-10 15:10:16.245903
35085,-103,1670,-107374182,38,2023-05-10 15:10:16.615745
34705,-101,2345,-107374182,38,2023-05-10 15:10:16.991389
34305,-104,2160,-107374182,36,2023-05-10 15:10:17.408303
33869,-101,1913,-107374182,32,2023-05-10 15:10:17.837926
102,-102,1776,-107374182,30,2023-05-10 15:10:18.295760
278,-99,2974,-107374182,26,2023-05-10 15:10:18.697228
276,-97,3015,-107374182,24,2023-05-10 15:10:19.086782
267,-92,2741,-107374182,22,2023-05-10 15:10:19.540522
295,-93,2492,-107374182,20,2023-05-10 15:10:19.957780
271,-94,2184,-107374182,24,2023-05-10 15:10:20.484102
284,-96,1953,-107374182,26,2023-05-10 15:10:20.971916
278,-98,1780,-107374182,30,2023-05-10 15:10:21.355293
