RSSI,latency var.,attn1,attn2,TIMESTAMP
-100,1997,-107374182,26,2023-05-10 15:20:30.782687
-96,2891,-107374182,24,2023-05-10 15:20:31.040129
-94,2912,-107374182,22,2023-05-10 15:20:31.289805
-95,2698,-107374182,20,2023-05-10 15:20:31.564578
-92,2549,-107374182,20,2023-05-10 15:20:31.844370
-92,2408,-107374182,20,2023-05-10 15:20:32.076509
-96,2233,-107374182,22,2023-05-10 15:20:32.347527
-96,2111,-107374182,24,2023-05-10 15:20:32.606350
-98,1959,-107374182,26,2023-05-10 15:20:32.865309
-101,1853,-107374182,28,2023-05-10 15:20:33.123496
-99,1753,-107374182,30,2023-05-10 15:20:33.388798
-100,1629,-107374182,32,2023-05-10 15:20:33.643406
-100,1543,-107374182,32,2023-05-10 15:20:33.882984
-102,1506,-107374182,34,2023-05-10 15:20:34.135419
-105,1751,-107374182,36,2023-05-10 15:20:34.371112
-106,2225,-107374182,38,2023-05-10 15:20:34.607191
-104,2350,-107374182,38,2023-05-10 15:20:34.877416
-105,2223,-107374182,38,2023-05-10 15:20:35.120172
-104,2092,-107374182,36,2023-05-10 15:20:35.343067
-102,1969,-107374182,34,2023-05-10 15:20:35.611464
-103,1816,-107374182,32,2023-05-10 15:20:35.863366
-101,1709,-107374182,30,2023-05-10 15:20:36.136429
-99,1596,-107374182,28,2023-05-10 15:20:36.394226
-98,2041,-107374182,26,2023-05-10 15:20:36.635435
-98,2770,-107374182,26,2023-05-10 15:20:36.861423
-95,3030,-107374182,24,2023-05-10 15:20:37.166287
-96,2809,-107374182,22,2023-05-10 15:20:37.411912
-92,2653,-107374182,20,2023-05-10 15:20:37.663403
-94,2459,-107374182,20,2023-05-10 15:20:37.951366
-95,2324,-107374182,22,2023-05-10 15:20:38.177622
-97,2196,-107374182,24,2023-05-10 15:20:38.438550
-95,2038,-107374182,26,2023-05-10 15:20:38.727501
-98,1892,-107374182,26,2023-05-10 15:20:39.012786
-99,1790,-107374182,28,2023-05-10 15:20:39.261353
-101,1694,-107374182,30,2023-05-10 15:20:39.515564
-103,1574,-107374182,32,2023-05-10 15:20:39.799174
-104,1501,-107374182,34,2023-05-10 15:20:40.066177
-102,1810,-107374182,36,2023-05-10 15:20:40.343565
-106,2327,-107374182,38,2023-05-10 15:20:40.626772
-103,2436,-107374182,38,2023-05-10 15:20:40.902838
-104,2249,-107374182,36,2023-05-10 15:20:41.167125
-104,2116,-107374182,34,2023-05-10 15:20:41.427467
-102,1992,-107374182,34,2023-05-10 15:20:41.678969
-103,1837,-107374182,32,2023-05-10 15:20:41.954288
-100,1695,-107374182,30,2023-05-10 15:20:42.290227
-99,1835,-107374182,28,2023-05-10 15:20:42.547978
-98,2823,-107374182,26,2023-05-10 15:20:42.862570
-94,2997,-107374182,24,2023-05-10 15:20:43.130172
-95,2776,-107374182,22,2023-05-10 15:20:43.379760
-93,2622,-107374182,20,2023-05-10 15:20:43.646208
-91,2431,-107374182,20,2023-05-10 15:20:43.934675
-92,2297,-107374182,22,2023-05-10 15:20:44.177170
-93,2131,-107374182,24,2023-05-10 15:20:44.472925
-97,2015,-107374182,26,2023-05-10 15:20:44.729096
-96,1870,-107374182,26,2023-05-10 15:20:45.009560
-99,1769,-107374182,28,2023-05-10 15:20:45.295504
-100,1644,-107374182,30,2023-05-10 15:20:45.596096
-101,1529,-107374182,32,2023-05-10 15:20:45.885499
-104,1493,-107374182,34,2023-05-10 15:20:46.132511
-103,2059,-107374182,36,2023-05-10 15:20:46.384578
-105,2499,-107374182,38,2023-05-10 15:20:46.644722
-106,2425,-107374182,38,2023-05-10 15:20:46.910605
-106,2283,-107374182,36,2023-05-10 15:20:47.222830
-102,2105,-107374182,34,2023-05-10 15:20:47.502332
-104,1942,-107374182,32,2023-05-10 15:20:47.788066
-103,1828,-107374182,30,2023-05-10 15:20:48.032403
-100,1686,-107374182,30,2023-05-10 15:20:48.310097
-99,1740,-107374182,28,2023-05-10 15:20:48.584091
-95,2660,-107374182,26,2023-05-10 15:20:48.850706
-99,3011,-107374182,24,2023-05-10 15:20:49.138299
-95,2802,-107374182,22,2023-05-10 15:20:49.411165
-92,2596,-107374182,20,2023-05-10 15:20:49.688040
-93,2453,-107374182,20,2023-05-10 15:20:49.983772
-96,2274,-107374182,22,2023-05-10 15:20:50.267592
-99,2110,-107374182,24,2023-05-10 15:20:50.546416
-96,1995,-107374182,26,2023-05-10 15:20:50.810025
-98,1852,-107374182,28,2023-05-10 15:20:51.093820
-102,1752,-107374182,30,2023-05-10 15:20:51.359051
-101,1628,-107374182,32,2023-05-10 15:20:51.635855
-102,1516,-107374182,34,2023-05-10 15:20:51.953300
-102,1575,-107374182,34,2023-05-10 15:20:52.199805
-105,2069,-107374182,36,2023-05-10 15:20:52.448351
-103,2541,-107374182,38,2023-05-10 15:20:52.738566
-105,2379,-107374182,38,2023-05-10 15:20:52.997240
-105,2239,-107374182,36,2023-05-10 15:20:53.281738
-103,2108,-107374182,34,2023-05-10 15:20:53.516511
-102,1984,-107374182,32,2023-05-10 15:20:53.776741
-103,1830,-107374182,30,2023-05-10 15:20:54.076485
-101,1688,-107374182,28,2023-05-10 15:20:54.352290
-101,1866,-107374182,26,2023-05-10 15:20:54.645719
-96,2513,-107374182,26,2023-05-10 15:20:54.900352
-97,2871,-107374182,24,2023-05-10 15:20:55.176801
-92,2718,-107374182,22,2023-05-10 15:20:55.463545
-92,2519,-107374182,20,2023-05-10 15:20:55.739000
-91,2380,-107374182,20,2023-05-10 15:20:55.983510
-96,2249,-107374182,22,2023-05-10 15:20:56.229473
-94,2087,-107374182,24,2023-05-10 15:20:56.476652
-94,1973,-107374182,24,2023-05-10 15:20:56.707599
-97,1866,-107374182,26,2023-05-10 15:20:56.993895
-100,1734,-107374182,28,2023-05-10 15:20:57.245810
-100,1641,-107374182,30,2023-05-10 15:20:57.486977
-101,1553,-107374182,32,2023-05-10 15:20:57.751786
-102,1459,-107374182,34,2023-05-10 15:20:58.010161
-102,1568,-107374182,36,2023-05-10 15:20:58.254954
-103,2100,-107374182,36,2023-05-10 15:20:58.510686
-106,2523,-107374182,38,2023-05-10 15:20:58.786149
-103,2394,-107374182,38,2023-05-10 15:20:59.063194
-103,2208,-107374182,36,2023-05-10 15:20:59.309533
-102,2078,-107374182,34,2023-05-10 15:20:59.545570
-101,1956,-107374182,32,2023-05-10 15:20:59.809030
-100,1804,-107374182,30,2023-05-10 15:21:00.092888
-100,1664,-107374182,28,2023-05-10 15:21:00.389172
-100,1948,-107374182,26,2023-05-10 15:21:00.644472
-99,2741,-107374182,26,2023-05-10 15:21:00.890277
-97,2962,-107374182,24,2023-05-10 15:21:01.188352
-93,2744,-107374182,22,2023-05-10 15:21:01.464182
-93,2543,-107374182,20,2023-05-10 15:21:01.748793
-91,2403,-107374182,20,2023-05-10 15:21:02.033082
-94,2228,-107374182,22,2023-05-10 15:21:02.299718
