raw latency,RSSI,filtered latency,attn1,attn2,TIMESTAMP
3792,-101,7190,-107374182,36,2023-05-11 14:37:37.504813
13432,-99,7144,-107374182,28,2023-05-11 14:37:37.842127
6426,-90,7470,-107374182,20,2023-05-11 14:37:38.151709
7150,-95,7261,-107374182,28,2023-05-11 14:37:38.453165
6762,-102,7356,-107374182,36,2023-05-11 14:37:38.711350
2260,-104,7111,-107374182,34,2023-05-11 14:37:38.968782
14192,-99,7298,-107374182,28,2023-05-11 14:37:39.253292
6120,-90,7546,-107374182,20,2023-05-11 14:37:39.528071
6820,-93,7322,-107374182,26,2023-05-11 14:37:39.800744
5820,-102,7357,-107374182,36,2023-05-11 14:37:40.076625
2820,-103,7107,-107374182,36,2023-05-11 14:37:40.360132
15622,-98,7426,-107374182,28,2023-05-11 14:37:40.646022
4835,-93,7603,-107374182,22,2023-05-11 14:37:40.913857
6866,-96,7454,-107374182,26,2023-05-11 14:37:41.228444
6582,-100,7516,-107374182,36,2023-05-11 14:37:41.492546
3316,-104,7194,-107374182,34,2023-05-11 14:37:41.771836
14070,-97,7479,-107374182,26,2023-05-11 14:37:42.115230
4130,-89,7518,-107374182,20,2023-05-11 14:37:42.399613
9610,-96,7485,-107374182,28,2023-05-11 14:37:42.667190
5182,-104,7476,-107374182,38,2023-05-11 14:37:42.956618
4970,-100,7154,-107374182,32,2023-05-11 14:37:43.246336
14920,-94,7610,-107374182,26,2023-05-11 14:37:43.549467
2890,-89,7551,-107374182,20,2023-05-11 14:37:43.832099
7892,-99,7420,-107374182,30,2023-05-11 14:37:44.137014
4686,-104,7344,-107374182,38,2023-05-11 14:37:44.394512
5176,-103,6991,-107374182,32,2023-05-11 14:37:44.662989
11112,-94,7462,-107374182,26,2023-05-11 14:37:44.948024
4895,-88,7373,-107374182,20,2023-05-11 14:37:45.232220
10294,-97,7530,-107374182,30,2023-05-11 14:37:45.495556
3840,-104,7439,-107374182,38,2023-05-11 14:37:45.795675
6740,-100,7135,-107374182,32,2023-05-11 14:37:46.087791
14050,-97,7622,-107374182,26,2023-05-11 14:37:46.364715
3586,-89,7502,-107374182,20,2023-05-11 14:37:46.648885
7356,-100,7430,-107374182,30,2023-05-11 14:37:46.934423
1972,-105,7281,-107374182,38,2023-05-11 14:37:47.193947
8382,-102,7148,-107374182,32,2023-05-11 14:37:47.467140
