latency,RSSI,attn1,attn2,TIMESTAMP
58,-101,-107374182,40,2023-05-16 16:17:35.231937
65,-98,-107374182,28,2023-05-16 16:17:36.411842
144,-101,-107374182,36,2023-05-16 16:17:36.724280
220,-98,-107374182,28,2023-05-16 16:17:37.580937
39,-99,-107374182,28,2023-05-16 16:17:38.067385
96,-103,-107374182,34,2023-05-16 16:17:38.973575
57,-98,-107374182,26,2023-05-16 16:17:39.297543
148,-104,-107374182,40,2023-05-16 16:17:40.232521
50,-97,-107374182,24,2023-05-16 16:17:41.294306
69,-103,-107374182,38,2023-05-16 16:17:41.779958
69,-103,-107374182,34,2023-05-16 16:17:42.205301
189,-97,-107374182,28,2023-05-16 16:17:43.034049
220,-102,-107374182,28,2023-05-16 16:17:44.154754
49,-100,-107374182,32,2023-05-16 16:17:44.830121
167,-104,-107374182,38,2023-05-16 16:17:45.324276
67,-98,-107374182,24,2023-05-16 16:17:46.060009
180,-104,-107374182,36,2023-05-16 16:17:47.038603
168,-91,-107374182,22,2023-05-16 16:17:47.887221
156,-103,-107374182,36,2023-05-16 16:17:48.374502
99,-104,-107374182,34,2023-05-16 16:17:48.878533
61,-97,-107374182,28,2023-05-16 16:17:49.684555
220,-102,-107374182,28,2023-05-16 16:17:50.769012
179,-104,-107374182,38,2023-05-16 16:17:51.963863
85,-99,-107374182,30,2023-05-16 16:17:53.092073
113,-103,-107374182,40,2023-05-16 16:17:53.503815
70,-95,-107374182,26,2023-05-16 16:17:54.599220
103,-101,-107374182,38,2023-05-16 16:17:55.076719
66,-96,-107374182,26,2023-05-16 16:17:56.232679
220,-101,-107374182,34,2023-05-16 16:17:57.181645
87,-95,-107374182,22,2023-05-16 16:17:57.574206
220,-105,-107374182,36,2023-05-16 16:17:58.731699
69,-100,-107374182,32,2023-05-16 16:17:59.816629
209,-104,-107374182,40,2023-05-16 16:18:00.230315
