latency,RSSI,TIMESTAMP,Drop?
291,-74,1687101735080898200,0
250,-81,1687101735294733900,0
254,-85,1687101735453878300,0
274,-88,1687101735612545600,0
295,-93,1687101735799525600,0
312,-97,1687101735972057900,0
323,-102,1687101736163399500,0
289,-103,1687101736352400400,0
289,-104,1687101736511291000,0
495,-55,1687101736701918100,1
497,-56,1687101736873113500,1
497,-66,1687101737029343300,1
317,-84,1687101737187458800,0
331,-76,1687101737362982000,0
331,-74,1687101737531266600,0
332,-80,1687101737704274900,0
330,-82,1687101737878665200,0
327,-86,1687101738033535800,0
328,-90,1687101738208496400,0
330,-95,1687101738381337000,0
329,-99,1687101738541195400,0
323,-103,1687101738712692100,0
323,-102,1687101738885052300,0
323,-102,1687101739055262600,0
396,-53,1687101739230287700,1
466,-53,1687101739386651800,1
466,-53,1687101739544513400,1
59,-85,1687101739730748500,0
302,-76,1687101739889076000,0
301,-74,1687101740057430300,0
301,-77,1687101740231023300,0
301,-82,1687101740416216300,0
302,-86,1687101740585826700,0
301,-90,1687101740770601500,0
302,-94,1687101740944603900,0
300,-98,1687101741115519700,0
261,-101,1687101741289756900,0
229,-105,1687101741463382200,0
229,-105,1687101741619704100,0
474,-57,1687101741807357500,1
484,-57,1687101741980388100,1
484,-84,1687101742138464300,0
321,-85,1687101742312529100,0
317,-74,1687101742487076100,0
322,-75,1687101742668867700,0
320,-80,1687101742854326100,0
323,-82,1687101743022599500,0
322,-87,1687101743192956600,0
322,-90,1687101743364527800,0
319,-95,1687101743542119200,0
319,-98,1687101743729313800,0
296,-100,1687101743896026100,0
261,-105,1687101744065486200,0
261,-105,1687101744219101300,0
459,-57,1687101744385939500,1
458,-57,1687101744539902900,1
458,-91,1687101744709752600,0
275,-85,1687101744878214000,0
282,-74,1687101745048903600,0
308,-76,1687101745215938100,0
322,-80,1687101745399375000,0
348,-83,1687101745601137900,0
355,-88,1687101745791827100,0
354,-92,1687101745964215400,0
354,-96,1687101746135841500,0
339,-99,1687101746304640400,0
343,-102,1687101746460652000,0
343,-103,1687101746618147300,0
343,-90,1687101746789452900,0
466,-56,1687101746962661600,1
466,-56,1687101747135719300,1
466,-87,1687101747326228000,0
303,-79,1687101747513887200,0
302,-74,1687101747671037700,0
302,-77,1687101747842197200,0
303,-81,1687101748018120500,0
299,-83,1687101748173745900,0
