dropout,return,DROPOUT TIMESTAMP,RETURN TIMESTAMP
1, ,1687101734412538500, 
 ,1, ,1687101734803244300
2, ,1687101736651263800, 
 ,2, ,1687101737168458300
3, ,1687101739148510000, 
 ,3, ,1687101739572516300
4, ,1687101741679119600, 
 ,4, ,1687101742087264000
5, ,1687101744322190900, 
 ,5, ,1687101744689845100
6, ,1687101746864331900, 
 ,6, ,1687101747149244900
7, ,1687101749393156000, 
 ,7, ,1687101749777378800
8, ,1687101751632812600, 
 ,8, ,1687101752071796600
9, ,1687101754465481900, 
 ,9, ,1687101754805323100
10, ,1687101757132578600, 
 ,10, ,1687101757526097300
11, ,1687101759628485800, 
 ,11, ,1687101760098278100
12, ,1687101762163220700, 
 ,12, ,1687101762473317100
13, ,1687101764567378200, 
 ,13, ,1687101764958378900
14, ,1687101767317326200, 
 ,14, ,1687101767719779500
15, ,1687101770438771200, 
 ,15, ,1687101770672572100
16, ,1687101772478637700, 
 ,16, ,1687101772743510600
17, ,1687101775260592900, 
 ,17, ,1687101775519093700
18, ,1687101777211548100, 
 ,18, ,1687101777549540400
19, ,1687101779099031900, 
 ,19, ,1687101779600992300
20, ,1687101781331255900, 
 ,20, ,1687101781611988800
21, ,1687101784177425100, 
 ,21, ,1687101784550178600
22, ,1687101787622339300, 
 ,22, ,1687101787889030600
23, ,1687101790222828500, 
 ,23, ,1687101790584955800
24, ,1687101792803420800, 
 ,24, ,1687101793303006200
25, ,1687101795350113600, 
 ,25, ,1687101795680563600
26, ,1687101797811678000, 
 ,26, ,1687101798177965900
27, ,1687101800472461600, 
 ,27, ,1687101800860743800
28, ,1687101803000583500, 
 ,28, ,1687101803330448100
29, ,1687101805457608900, 
 ,29, ,1687101805786725600
30, ,1687101808071341400, 
 ,30, ,1687101808412351000
