latency,RSSI,attn1,TIMESTAMP
291,-74,26,1687101735080898200
250,-81,32,1687101735294733900
254,-85,36,1687101735453878300
274,-88,40,1687101735612545600
295,-93,44,1687101735799525600
312,-97,48,1687101735972057900
323,-102,54,1687101736163399500
289,-103,58,1687101736352400400
289,-104,62,1687101736511291000
495,-55,0,1687101736701918100
497,-56,52,1687101736873113500
497,-66,40,1687101737029343300
317,-84,32,1687101737187458800
331,-76,20,1687101737362982000
331,-74,24,1687101737531266600
332,-80,28,1687101737704274900
330,-82,32,1687101737878665200
327,-86,36,1687101738033535800
328,-90,40,1687101738208496400
330,-95,44,1687101738381337000
329,-99,48,1687101738541195400
323,-103,54,1687101738712692100
323,-102,58,1687101738885052300
323,-102,62,1687101739055262600
396,-53,0,1687101739230287700
466,-53,56,1687101739386651800
466,-53,44,1687101739544513400
59,-85,32,1687101739730748500
302,-76,20,1687101739889076000
301,-74,24,1687101740057430300
301,-77,28,1687101740231023300
301,-82,32,1687101740416216300
302,-86,36,1687101740585826700
301,-90,40,1687101740770601500
302,-94,46,1687101740944603900
300,-98,50,1687101741115519700
261,-101,54,1687101741289756900
229,-105,58,1687101741463382200
229,-105,62,1687101741619704100
474,-57,0,1687101741807357500
484,-57,52,1687101741980388100
484,-84,40,1687101742138464300
321,-85,28,1687101742312529100
317,-74,20,1687101742487076100
322,-75,24,1687101742668867700
320,-80,30,1687101742854326100
323,-82,34,1687101743022599500
322,-87,38,1687101743192956600
322,-90,42,1687101743364527800
319,-95,46,1687101743542119200
319,-98,50,1687101743729313800
296,-100,56,1687101743896026100
261,-105,60,1687101744065486200
261,-105,0,1687101744219101300
459,-57,60,1687101744385939500
458,-57,52,1687101744539902900
458,-91,40,1687101744709752600
275,-85,28,1687101744878214000
282,-74,20,1687101745048903600
308,-76,24,1687101745215938100
322,-80,30,1687101745399375000
348,-83,34,1687101745601137900
355,-88,38,1687101745791827100
354,-92,44,1687101745964215400
354,-96,48,1687101746135841500
339,-99,52,1687101746304640400
343,-102,56,1687101746460652000
343,-103,60,1687101746618147300
343,-90,0,1687101746789452900
466,-56,60,1687101746962661600
466,-56,48,1687101747135719300
466,-87,36,1687101747326228000
303,-79,24,1687101747513887200
302,-74,22,1687101747671037700
302,-77,26,1687101747842197200
303,-81,30,1687101748018120500
299,-83,34,1687101748173745900
302,-88,40,1687101748362895700
302,-93,44,1687101748550726700
302,-99,48,1687101748720597000
297,-100,52,1687101748887472600
269,-103,56,1687101749063364300
269,-106,60,1687101749228534400
299,-53,0,1687101749412961000
463,-54,56,1687101749566674700
463,-54,44,1687101749720579700
463,-85,32,1687101749887987000
301,-78,24,1687101750045589700
299,-74,22,1687101750229355000
298,-78,26,1687101750398312000
298,-81,30,1687101750554646200
298,-84,34,1687101750723444100
299,-88,40,1687101750908553700
298,-92,44,1687101751079277400
298,-96,48,1687101751231965200
282,-99,52,1687101751385567500
255,-101,56,1687101751543609400
255,-104,60,1687101751714154000
255,-104,0,1687101751875997800
466,-55,60,1687101752044257700
465,-55,48,1687101752217345700
465,-82,40,1687101752373735400
304,-82,28,1687101752546563700
306,-73,20,1687101752719763300
301,-76,26,1687101752893963500
305,-80,30,1687101753065281200
