latency,RSSI,TIMESTAMP,Drop?
150,-103,1688598871694783700,0
65,-98,1688598871885228600,0
284,-97,1688598872017712200,0
293,-91,1688598872118173600,0
272,-88,1688598872260084200,0
239,-92,1688598872418844200,0
289,-98,1688598872550942300,0
267,-100,1688598872666350200,0
246,-103,1688598872797989900,0
213,-102,1688598872934698400,0
79,-103,1688598873051394200,0
0,-103,1688598873151149800,0
0,-103,1688598873252558500,0
99,-101,1688598873383577500,0
273,-96,1688598873506838200,0
292,-94,1688598873653576700,0
301,-90,1688598873786466800,0
273,-90,1688598873921141600,0
292,-94,1688598874036834000,0
272,-95,1688598874163033000,0
295,-98,1688598874289624600,0
247,-101,1688598874473531300,0
77,-103,1688598874622279000,0
0,-103,1688598874722322400,0
0,-101,1688598874822688400,0
88,-99,1688598874994356900,0
300,-95,1688598875122967700,0
285,-92,1688598875231387200,0
275,-89,1688598875375156000,0
277,-92,1688598875532985800,0
281,-94,1688598875675904700,0
276,-97,1688598875840622500,0
271,-101,1688598875976941100,0
163,-103,1688598876107328300,0
50,-103,1688598876212035400,0
0,-104,1688598876335998200,0
148,-101,1688598876476380100,0
277,-98,1688598876589123900,0
264,-94,1688598876703655800,0
294,-89,1688598876826554800,0
280,-89,1688598876930666400,0
272,-92,1688598877087057200,0
265,-94,1688598877243293100,0
272,-98,1688598877353078400,0
248,-101,1688598877516231900,0
148,-103,1688598877627681300,0
26,-103,1688598877744999900,0
0,-105,1688598877877039200,0
126,-100,1688598877997830400,0
265,-98,1688598878125865700,0
284,-93,1688598878264141600,0
298,-90,1688598878381009400,0
270,-89,1688598878503401500,0
262,-91,1688598878614758500,0
293,-94,1688598878772843500,0
288,-96,1688598878903793800,0
303,-101,1688598879040841300,0
166,-103,1688598879176754900,0
35,-104,1688598879310139400,0
0,-107,1688598879432270400,0
0,-99,1688598879532983100,0
283,-99,1688598879632942900,0
284,-95,1688598879733136500,0
285,-93,1688598879833107200,0
282,-90,1688598879933488900,0
277,-88,1688598880050021200,0
269,-92,1688598880185863600,0
271,-94,1688598880295238500,0
263,-96,1688598880402163400,0
265,-99,1688598880503578400,0
258,-101,1688598880613098700,0
154,-104,1688598880723050400,0
30,-103,1688598880866915200,0
0,-104,1688598880966884100,0
0,-102,1688598881092978100,0
260,-98,1688598881246336300,0
263,-94,1688598881377832300,0
286,-90,1688598881507558000,0
296,-91,1688598881652755900,0
263,-92,1688598881763166500,0
295,-96,1688598881889498100,0
270,-98,1688598881989790200,0
269,-101,1688598882099029800,0
206,-101,1688598882210245500,0
95,-103,1688598882338690100,0
0,-103,1688598882456626800,0
0,-104,1688598882571047600,0
185,-99,1688598882739328500,0
267,-95,1688598882866015000,0
287,-91,1688598882991940900,0
264,-89,1688598883123314000,0
287,-92,1688598883239753000,0
270,-94,1688598883372096400,0
284,-98,1688598883519480700,0
249,-101,1688598883629655400,0
244,-100,1688598883740398400,0
122,-102,1688598883857425700,0
4,-103,1688598883972379000,0
0,-102,1688598884088329500,0
211,-100,1688598884241129600,0
267,-97,1688598884372583300,0
295,-92,1688598884472561800,0
290,-89,1688598884604703800,0
257,-88,1688598884736933500,0
284,-91,1688598884842133500,0
300,-95,1688598884973351700,0
290,-97,1688598885090106400,0
276,-100,1688598885182262000,0
272,-102,1688598885326405400,0
137,-101,1688598885442367300,0
5,-103,1688598885599648900,0
0,-103,1688598885758064200,0
301,-97,1688598885873658200,0
295,-94,1688598885983725600,0
269,-91,1688598886099667800,0
268,-89,1688598886208644700,0
295,-92,1688598886321387500,0
273,-93,1688598886474304700,0
289,-97,1688598886576234500,0
287,-98,1688598886706671000,0
254,-102,1688598886832699500,0
127,-101,1688598886969498400,0
0,-101,1688598887101130800,0
0,-104,1688598887244383800,0
265,-100,1688598887386596300,0
282,-95,1688598887525026200,0
288,-92,1688598887644813100,0
262,-89,1688598887777564400,0
285,-91,1688598887913081700,0
260,-94,1688598888020832500,0
285,-96,1688598888161441600,0
296,-99,1688598888283853900,0
232,-102,1688598888409770100,0
102,-104,1688598888546451000,0
0,-103,1688598888677795300,0
0,-103,1688598888795374300,0
294,-99,1688598888947344700,0
257,-95,1688598889080027900,0
284,-92,1688598889211356100,0
298,-89,1688598889342810900,0
273,-91,1688598889464487700,0
300,-95,1688598889600326300,0
257,-97,1688598889710719900,0
294,-101,1688598889848189200,0
202,-101,1688598889979526200,0
67,-103,1688598890122273500,0
0,-103,1688598890252258500,0
0,-102,1688598890374363900,0
284,-98,1688598890532204200,0
284,-94,1688598890634917600,0
277,-91,1688598890765227800,0
293,-88,1688598890897846400,0
269,-91,1688598891007944200,0
296,-95,1688598891125137700,0
284,-97,1688598891259855700,0
289,-101,1688598891422512900,0
182,-101,1688598891550193400,0
59,-104,1688598891676194700,0
0,-103,1688598891781923000,0
0,-101,1688598891897441200,0
305,-99,1688598892042750500,0
258,-95,1688598892191962600,0
272,-91,1688598892307903200,0
294,-88,1688598892422341400,0
282,-91,1688598892529876100,0
278,-94,1688598892639620600,0
277,-95,1688598892750638600,0
300,-98,1688598892882043800,0
278,-101,1688598893019673000,0
185,-105,1688598893139766100,0
72,-105,1688598893267891900,0
0,-104,1688598893398944500,0
150,-101,1688598893541027200,0
272,-96,1688598893652507900,0
304,-94,1688598893809924600,0
300,-89,1688598893932453900,0
284,-90,1688598894052829100,0
262,-94,1688598894184630300,0
284,-96,1688598894284620200,0
268,-98,1688598894416925000,0
286,-100,1688598894550563700,0
168,-103,1688598894653941700,0
45,-103,1688598894802102200,0
0,-103,1688598894917675300,0
0,-102,1688598895049582400,0
261,-98,1688598895194493500,0
266,-93,1688598895329153200,0
285,-90,1688598895455570100,0
292,-90,1688598895587625200,0
272,-92,1688598895719108100,0
294,-95,1688598895845651700,0
270,-97,1688598895956604700,0
289,-101,1688598896082570600,0
172,-103,1688598896240803900,0
13,-102,1688598896389108600,0
0,-102,1688598896504676100,0
49,-100,1688598896641094000,0
264,-95,1688598896774157900,0
261,-93,1688598896915928500,0
288,-88,1688598897059360900,0
254,-91,1688598897158776100,0
290,-93,1688598897301275700,0
299,-97,1688598897433529700,0
275,-97,1688598897559172800,0
256,-102,1688598897676061900,0
133,-102,1688598897792679300,0
15,-102,1688598897940793800,0
0,-103,1688598898042791900,0
109,-98,1688598898160332400,0
298,-97,1688598898292266300,0
264,-94,1688598898425126200,0
285,-89,1688598898555978600,0
262,-89,1688598898692159100,0
272,-92,1688598898808060900,0
301,-94,1688598898941474400,0
276,-96,1688598899057703300,0
255,-102,1688598899207282500,0
154,-102,1688598899326110200,0
24,-102,1688598899458120300,0
0,-102,1688598899562682400,0
0,-100,1688598899694823000,0
274,-98,1688598899795070100,0
256,-95,1688598899926541100,0
292,-92,1688598900044843800,0
266,-89,1688598900163512400,0
295,-92,1688598900290757400,0
265,-93,1688598900440155900,0
271,-96,1688598900555319300,0
258,-99,1688598900664168300,0
243,-104,1688598900795710900,0
116,-103,1688598900900135100,0
22,-105,1688598900990551100,0
0,-103,1688598901094443900,0
0,-103,1688598901214138700,0
