latency,RSSI,TIMESTAMP,Drop?
271,-96,1688597580235750200,0
37,-102,1688597580388471100,0
0,-102,1688597580496181300,0
0,-104,1688597580635606200,0
264,-98,1688597580775318200,0
287,-95,1688597580910404000,0
296,-90,1688597581045352600,0
303,-89,1688597581205217400,0
297,-93,1688597581325885000,0
286,-94,1688597581465601500,0
289,-98,1688597581610534300,0
241,-102,1688597581745506300,0
120,-103,1688597581840327000,0
25,-104,1688597581940594100,0
0,-104,1688597582065482400,0
0,-102,1688597582215538700,0
295,-97,1688597582357002800,0
299,-93,1688597582485124300,0
269,-90,1688597582630981900,0
278,-90,1688597582740489300,0
272,-92,1688597582857855200,0
298,-95,1688597582965392700,0
289,-96,1688597583095861100,0
271,-100,1688597583225500600,0
279,-103,1688597583345581000,0
172,-104,1688597583470595100,0
43,-104,1688597583602633800,0
0,-103,1688597583715135500,0
297,-99,1688597583836114000,0
275,-96,1688597583970653100,0
295,-92,1688597584100288900,0
262,-89,1688597584237423600,0
268,-90,1688597584390483400,0
301,-95,1688597584537872500,0
273,-99,1688597584665180700,0
280,-99,1688597584810185500,0
146,-105,1688597584950168600,0
8,-103,1688597585095157800,0
0,-103,1688597585231165100,0
0,-101,1688597585365201500,0
280,-95,1688597585521173000,0
289,-92,1688597585660667900,0
294,-89,1688597585790686400,0
258,-91,1688597585940135400,0
267,-95,1688597586075492300,0
283,-98,1688597586185420800,0
282,-98,1688597586325332300,0
236,-102,1688597586455473400,0
112,-104,1688597586580472200,0
0,-104,1688597586690424800,0
0,-102,1688597586820434400,0
242,-99,1688597586920425800,0
277,-96,1688597587075329900,0
282,-91,1688597587230438300,0
271,-89,1688597587360290900,0
261,-91,1688597587480368400,0
280,-95,1688597587618962300,0
291,-97,1688597587773877800,0
285,-101,1688597587916526200,0
200,-103,1688597588017459300,0
68,-102,1688597588169847400,0
0,-102,1688597588285730300,0
12,-101,1688597588444289400,0
257,-96,1688597588560279000,0
286,-94,1688597588691693600,0
271,-89,1688597588810813800,0
294,-90,1688597588955228500,0
292,-93,1688597589071193400,0
281,-95,1688597589190809600,0
260,-97,1688597589297650200,0
258,-100,1688597589424476000,0
170,-104,1688597589578130800,0
35,-105,1688597589688531900,0
0,-105,1688597589815704100,0
0,-102,1688597589936390800,0
268,-99,1688597590073576300,0
279,-95,1688597590199498700,0
294,-90,1688597590348178700,0
258,-89,1688597590471827800,0
282,-92,1688597590617603400,0
284,-95,1688597590752144400,0
261,-97,1688597590898306700,0
235,-101,1688597591034712500,0
119,-103,1688597591169846600,0
0,-104,1688597591284464300,0
0,-104,1688597591420373500,0
0,-100,1688597591564996600,1
289,-96,1688597591687530300,1
275,-92,1688597591792931500,0
264,-89,1688597591915667000,0
293,-89,1688597592042302900,0
268,-91,1688597592167073400,0
295,-95,1688597592292164500,0
268,-98,1688597592417666800,0
288,-100,1688597592542755400,0
217,-103,1688597592667332800,0
94,-103,1688597592791216000,0
0,-103,1688597592919928200,0
0,-103,1688597593032452300,0
226,-99,1688597593155940100,1
305,-95,1688597593281554000,1
285,-92,1688597593397836800,0
268,-89,1688597593525260000,0
297,-91,1688597593637622600,0
283,-93,1688597593745240000,0
279,-95,1688597593856782800,0
258,-99,1688597593981963100,0
289,-101,1688597594093011800,0
228,-101,1688597594212691500,0
106,-101,1688597594329429500,0
0,-103,1688597594454893000,0
0,-101,1688597594566571900,0
199,-99,1688597594675623200,1
295,-96,1688597594786276500,1
279,-93,1688597594896803700,0
275,-90,1688597595009266800,0
262,-89,1688597595120244500,0
299,-91,1688597595238267800,0
276,-95,1688597595354268300,0
264,-97,1688597595479100500,0
285,-99,1688597595609384200,0
256,-102,1688597595719673600,0
149,-103,1688597595827794600,0
37,-103,1688597595938593000,0
0,-103,1688597596049596400,0
58,-99,1688597596174111400,0
295,-98,1688597596283974900,1
288,-95,1688597596396534900,0
269,-91,1688597596516490000,0
300,-90,1688597596641552400,0
277,-91,1688597596767715800,0
297,-93,1688597596877192100,0
293,-97,1688597596990090600,0
282,-99,1688597597102744800,0
264,-101,1688597597211878100,0
156,-102,1688597597320599800,0
48,-102,1688597597431497500,0
0,-102,1688597597541114200,0
0,-101,1688597597667200400,0
283,-98,1688597597793351600,1
275,-96,1688597597902471400,1
265,-93,1688597598028660400,0
279,-89,1688597598156775000,0
264,-90,1688597598266751400,0
293,-93,1688597598390895600,0
273,-96,1688597598504572100,0
261,-96,1688597598626429900,0
287,-99,1688597598736662200,0
182,-104,1688597598848267000,0
70,-103,1688597598953271100,0
0,-103,1688597599064424500,0
0,-102,1688597599186249200,0
123,-99,1688597599313277300,1
305,-97,1688597599422134400,1
289,-94,1688597599532482700,0
285,-90,1688597599657984000,0
302,-90,1688597599784375600,0
281,-91,1688597599902751700,0
262,-94,1688597600011440200,0
302,-97,1688597600137980900,0
280,-99,1688597600262781900,0
203,-102,1688597600371852000,0
95,-103,1688597600483951400,0
0,-103,1688597600595440100,0
0,-102,1688597600707574600,1
0,-101,1688597600829522200,1
275,-96,1688597600972072200,0
297,-94,1688597601086814200,0
283,-90,1688597601198015100,0
261,-89,1688597601321313000,0
293,-92,1688597601437085700,0
279,-94,1688597601544976300,0
272,-96,1688597601670053600,0
296,-98,1688597601780870700,0
237,-102,1688597601893300200,0
224,-102,1688597602017771300,0
96,-102,1688597602128429300,0
0,-104,1688597602258239300,1
100,-100,1688597602382547700,1
282,-97,1688597602505371700,1
260,-96,1688597602630337400,0
287,-90,1688597602761830400,0
304,-89,1688597602881838200,0
283,-91,1688597602989277300,0
280,-93,1688597603114176600,0
302,-98,1688597603228249400,0
291,-99,1688597603326150400,0
241,-101,1688597603438353200,0
130,-103,1688597603550502800,0
10,-104,1688597603676364900,0
0,-104,1688597603786416500,0
0,-101,1688597603922192400,1
240,-99,1688597604065105500,1
294,-96,1688597604189256100,0
274,-93,1688597604304696300,0
258,-91,1688597604431432000,0
280,-94,1688597604555592900,0
305,-97,1688597604680641800,0
277,-100,1688597604809319800,0
255,-100,1688597604918776800,0
196,-103,1688597605042339100,0
65,-103,1688597605172625100,0
0,-103,1688597605294305200,0
0,-103,1688597605403440200,0
141,-98,1688597605544926500,1
267,-96,1688597605673558100,1
290,-92,1688597605794652100,0
275,-89,1688597605905791700,0
265,-90,1688597606017520500,0
297,-93,1688597606132184900,0
275,-95,1688597606269454200,0
295,-98,1688597606383422900,0
277,-101,1688597606505242000,0
161,-104,1688597606612731200,0
57,-104,1688597606727209100,0
0,-104,1688597606836127000,0
0,-103,1688597606947242000,0
114,-98,1688597607073923000,1
288,-96,1688597607198727400,1
267,-92,1688597607315340700,1
302,-90,1688597607427441100,0
293,-90,1688597607538231300,0
269,-92,1688597607662047100,0
257,-93,1688597607787725900,0
282,-97,1688597607897996500,0
270,-100,1688597608008147200,0
213,-102,1688597608117089500,0
103,-105,1688597608239796200,0
0,-105,1688597608349040900,0
0,-103,1688597608459621300,0
48,-100,1688597608585610700,1
281,-97,1688597608693381600,1
278,-95,1688597608806197500,0
259,-91,1688597608915213400,0
304,-88,1688597609025949600,0
292,-91,1688597609150962900,0
269,-93,1688597609256770700,0
264,-95,1688597609379809800,0
291,-99,1688597609489794900,0
282,-100,1688597609600031000,0
220,-102,1688597609711549500,0
107,-104,1688597609837425500,0
0,-104,1688597609944967700,0
0,-103,1688597610058746600,0
53,-99,1688597610185384400,1
280,-96,1688597610301264700,1
264,-94,1688597610411490600,0
303,-89,1688597610519715000,0
298,-90,1688597610645760300,0
273,-92,1688597610757141500,0
