latency,RSSI,attn1,TIMESTAMP
271,-96,52,1688597580235750200
37,-102,55,1688597580388471100
0,-102,53,1688597580496181300
0,-104,47,1688597580635606200
264,-98,43,1688597580775318200
287,-95,39,1688597580910404000
296,-90,35,1688597581045352600
303,-89,36,1688597581205217400
297,-93,40,1688597581325885000
286,-94,44,1688597581465601500
289,-98,46,1688597581610534300
241,-102,50,1688597581745506300
120,-103,52,1688597581840327000
25,-104,55,1688597581940594100
0,-104,51,1688597582065482400
0,-102,47,1688597582215538700
295,-97,43,1688597582357002800
299,-93,37,1688597582485124300
269,-90,34,1688597582630981900
278,-90,36,1688597582740489300
272,-92,40,1688597582857855200
298,-95,42,1688597582965392700
289,-96,46,1688597583095861100
271,-100,48,1688597583225500600
279,-103,52,1688597583345581000
172,-104,54,1688597583470595100
43,-104,53,1688597583602633800
0,-103,49,1688597583715135500
297,-99,45,1688597583836114000
275,-96,39,1688597583970653100
295,-92,35,1688597584100288900
262,-89,36,1688597584237423600
268,-90,38,1688597584390483400
301,-95,42,1688597584537872500
273,-99,46,1688597584665180700
280,-99,50,1688597584810185500
146,-105,54,1688597584950168600
8,-103,55,1688597585095157800
0,-103,49,1688597585231165100
0,-101,45,1688597585365201500
280,-95,39,1688597585521173000
289,-92,35,1688597585660667900
294,-89,36,1688597585790686400
258,-91,40,1688597585940135400
267,-95,42,1688597586075492300
283,-98,46,1688597586185420800
282,-98,48,1688597586325332300
236,-102,52,1688597586455473400
112,-104,55,1688597586580472200
0,-104,53,1688597586690424800
0,-102,49,1688597586820434400
242,-99,45,1688597586920425800
277,-96,39,1688597587075329900
282,-91,35,1688597587230438300
271,-89,36,1688597587360290900
261,-91,38,1688597587480368400
280,-95,42,1688597587618962300
291,-97,46,1688597587773877800
285,-101,50,1688597587916526200
200,-103,52,1688597588017459300
68,-102,55,1688597588169847400
0,-102,51,1688597588285730300
12,-101,45,1688597588444289400
257,-96,41,1688597588560279000
286,-94,37,1688597588691693600
271,-89,34,1688597588810813800
294,-90,36,1688597588955228500
292,-93,40,1688597589071193400
281,-95,44,1688597589190809600
260,-97,46,1688597589297650200
258,-100,48,1688597589424476000
170,-104,52,1688597589578130800
35,-105,55,1688597589688531900
0,-105,51,1688597589815704100
0,-102,47,1688597589936390800
268,-99,43,1688597590073576300
279,-95,39,1688597590199498700
294,-90,34,1688597590348178700
258,-89,36,1688597590471827800
282,-92,40,1688597590617603400
284,-95,42,1688597590752144400
261,-97,46,1688597590898306700
235,-101,50,1688597591034712500
119,-103,54,1688597591169846600
0,-104,55,1688597591284464300
0,-104,49,1688597591420373500
0,-100,45,1688597591564996600
289,-96,41,1688597591687530300
275,-92,37,1688597591792931500
264,-89,34,1688597591915667000
293,-89,36,1688597592042302900
268,-91,40,1688597592167073400
295,-95,44,1688597592292164500
268,-98,46,1688597592417666800
288,-100,50,1688597592542755400
217,-103,52,1688597592667332800
94,-103,55,1688597592791216000
0,-103,51,1688597592919928200
0,-103,47,1688597593032452300
226,-99,43,1688597593155940100
305,-95,39,1688597593281554000
285,-92,35,1688597593397836800
268,-89,34,1688597593525260000
297,-91,38,1688597593637622600
283,-93,40,1688597593745240000
279,-95,44,1688597593856782800
258,-99,46,1688597593981963100
289,-101,50,1688597594093011800
228,-101,52,1688597594212691500
106,-101,55,1688597594329429500
0,-103,53,1688597594454893000
0,-101,49,1688597594566571900
199,-99,45,1688597594675623200
295,-96,41,1688597594786276500
279,-93,37,1688597594896803700
275,-90,34,1688597595009266800
262,-89,36,1688597595120244500
299,-91,40,1688597595238267800
276,-95,42,1688597595354268300
264,-97,46,1688597595479100500
285,-99,48,1688597595609384200
256,-102,52,1688597595719673600
149,-103,54,1688597595827794600
37,-103,55,1688597595938593000
0,-103,51,1688597596049596400
58,-99,47,1688597596174111400
295,-98,43,1688597596283974900
288,-95,39,1688597596396534900
269,-91,35,1688597596516490000
300,-90,36,1688597596641552400
277,-91,38,1688597596767715800
297,-93,42,1688597596877192100
293,-97,44,1688597596990090600
282,-99,46,1688597597102744800
264,-101,50,1688597597211878100
156,-102,52,1688597597320599800
48,-102,55,1688597597431497500
0,-102,53,1688597597541114200
0,-101,49,1688597597667200400
283,-98,45,1688597597793351600
275,-96,41,1688597597902471400
265,-93,37,1688597598028660400
279,-89,34,1688597598156775000
264,-90,38,1688597598266751400
293,-93,40,1688597598390895600
273,-96,44,1688597598504572100
261,-96,46,1688597598626429900
287,-99,50,1688597598736662200
182,-104,52,1688597598848267000
70,-103,54,1688597598953271100
0,-103,53,1688597599064424500
0,-102,49,1688597599186249200
123,-99,45,1688597599313277300
305,-97,41,1688597599422134400
289,-94,37,1688597599532482700
285,-90,34,1688597599657984000
302,-90,36,1688597599784375600
281,-91,40,1688597599902751700
262,-94,42,1688597600011440200
302,-97,46,1688597600137980900
280,-99,48,1688597600262781900
203,-102,52,1688597600371852000
95,-103,54,1688597600483951400
0,-103,55,1688597600595440100
0,-102,51,1688597600707574600
0,-101,47,1688597600829522200
275,-96,41,1688597600972072200
297,-94,37,1688597601086814200
283,-90,34,1688597601198015100
261,-89,36,1688597601321313000
293,-92,40,1688597601437085700
279,-94,42,1688597601544976300
272,-96,44,1688597601670053600
296,-98,48,1688597601780870700
237,-102,50,1688597601893300200
224,-102,54,1688597602017771300
96,-102,55,1688597602128429300
0,-104,51,1688597602258239300
100,-100,47,1688597602382547700
282,-97,43,1688597602505371700
260,-96,37,1688597602630337400
287,-90,34,1688597602761830400
304,-89,36,1688597602881838200
283,-91,40,1688597602989277300
280,-93,42,1688597603114176600
302,-98,44,1688597603228249400
291,-99,48,1688597603326150400
241,-101,50,1688597603438353200
