latency,RSSI,TIMESTAMP,Drop?
55822,-93,1692970233220625100,0
55973,-70,1692970233423492200,0
56122,-71,1692970233562892900,0
56269,-75,1692970233722454300,0
56269,-78,1692970233880228100,0
56413,-82,1692970234016545100,0
56555,-85,1692970234227909300,0
56636,-91,1692970234477499600,0
56636,-95,1692970234648867700,0
56631,-99,1692970234791742200,0
56631,-100,1692970234961311400,0
56039,-102,1692970235117351200,0
55397,-93,1692970235256570000,0
55397,-87,1692970235414191100,0
55525,-78,1692970235567923000,0
55525,-70,1692970235710768600,1
55681,-71,1692970235881023300,1
55812,-75,1692970236050669100,0
55812,-78,1692970236207049100,0
55963,-81,1692970236364408500,0
55963,-86,1692970236533802100,0
56112,-88,1692970236719166500,0
56259,-95,1692970236885832100,0
56259,-99,1692970237044073600,0
56208,-100,1692970237181618300,0
55833,-102,1692970237336534000,0
55833,-100,1692970237538684700,0
55538,-91,1692970237692867500,1
55538,-80,1692970237834190100,1
55678,-71,1692970237975290000,0
55832,-69,1692970238146144100,0
55983,-72,1692970238319873200,0
55983,-76,1692970238478241200,0
56132,-80,1692970238630647300,0
56132,-83,1692970238780640300,0
56278,-87,1692970238938045700,0
56422,-90,1692970239090559400,0
56422,-96,1692970239289710400,0
56468,-100,1692970239430312300,0
56468,-100,1692970239591170500,0
56243,-104,1692970239768877500,0
55753,-94,1692970239899448700,0
55753,-87,1692970240055296500,0
55857,-79,1692970240212054400,0
55857,-70,1692970240367695400,0
56008,-70,1692970240522369300,0
56156,-73,1692970240680595300,0
56156,-78,1692970240846246100,0
56302,-80,1692970241028549100,0
56446,-85,1692970241217359100,0
56588,-90,1692970241411243200,0
56588,-95,1692970241600365900,0
56637,-99,1692970241795610900,0
56423,-103,1692970241975798500,0
55571,-98,1692970242220946500,0
55673,-85,1692970242420784300,1
55673,-75,1692970242624305100,0
55827,-70,1692970242807671300,0
55978,-73,1692970243007512300,0
56127,-78,1692970243200683400,0
56127,-82,1692970243402041400,0
56274,-86,1692970243599288100,0
56418,-91,1692970243783193000,0
56560,-96,1692970243987120600,0
56560,-101,1692970244205441800,0
56446,-102,1692970244421069900,0
55565,-94,1692970244636765900,0
55599,-81,1692970244852504400,0
55754,-70,1692970245067980100,0
55906,-72,1692970245260689700,0
55906,-75,1692970245457437000,0
56056,-82,1692970245642657400,0
56204,-85,1692970245856434500,0
56349,-90,1692970246059204500,0
56349,-95,1692970246246965800,0
56492,-100,1692970246447308300,0
56354,-101,1692970246663006800,0
55880,-97,1692970246929145900,1
55754,-82,1692970247119806300,0
55906,-72,1692970247301326000,0
55906,-70,1692970247504641000,0
56034,-74,1692970247704182900,0
56182,-79,1692970247890920100,0
56328,-84,1692970248105045700,0
56450,-88,1692970248280350600,0
56450,-91,1692970248479729900,0
56561,-98,1692970248653834200,0
56346,-102,1692970248837764400,0
56346,-103,1692970249037716000,0
55902,-95,1692970249225973800,0
55727,-87,1692970249405165700,0
55727,-75,1692970249611856400,0
55880,-69,1692970249832273700,0
56030,-74,1692970250029601000,0
56178,-80,1692970250245827400,0
56324,-83,1692970250448362200,0
56341,-89,1692970250633015600,0
56341,-93,1692970250820367500,0
56414,-98,1692970251005891100,0
56378,-101,1692970251223120200,0
55498,-102,1692970251411171600,0
55080,-93,1692970251624733700,1
55080,-81,1692970251826356500,0
55243,-68,1692970252013847100,0
55403,-70,1692970252200252800,0
55561,-74,1692970252400313900,0
55561,-80,1692970252602263800,0
55716,-84,1692970252789154900,0
55869,-89,1692970252991150900,0
56020,-94,1692970253192130000,0
56020,-100,1692970253393814700,0
55938,-103,1692970253581614600,0
55648,-103,1692970253778902800,0
55387,-91,1692970253984780400,0
55387,-79,1692970254167680100,0
55545,-69,1692970254382960000,0
55701,-71,1692970254585509800,0
55854,-77,1692970254772136400,0
55854,-80,1692970254967727000,0
56005,-86,1692970255171883600,0
56135,-90,1692970255362154400,0
56223,-94,1692970255549126400,0
56223,-99,1692970255733699100,0
56107,-102,1692970255924655000,0
55887,-103,1692970256118854900,0
55887,-92,1692970256308140700,1
55706,-80,1692970256508147000,0
55842,-70,1692970256725662900,0
55993,-72,1692970256927017600,0
56142,-77,1692970257126570000,0
56142,-81,1692970257328931100,0
56288,-85,1692970257547517800,0
56432,-90,1692970257734915900,0
56574,-95,1692970257927628500,0
56476,-101,1692970258153417900,0
56476,-103,1692970258366527400,0
56070,-95,1692970258556051800,0
55857,-84,1692970258746957100,0
55989,-76,1692970258958849500,0
56138,-70,1692970259160397600,0
56138,-75,1692970259363395600,0
56284,-81,1692970259562057000,0
56428,-84,1692970259777888700,0
56552,-88,1692970259977532300,0
56672,-93,1692970260199018900,0
56672,-100,1692970260434311700,0
56573,-104,1692970260628287100,0
56273,-101,1692970260833985300,0
55959,-89,1692970261050872100,1
56108,-76,1692970261255326400,0
56108,-69,1692970261453047100,0
56255,-73,1692970261668511500,0
56400,-78,1692970261873268100,0
56542,-84,1692970262060311400,0
56615,-87,1692970262272591700,0
56735,-93,1692970262487839600,0
56735,-100,1692970262676793500,0
56688,-100,1692970262875617600,0
56389,-101,1692970263088356100,0
56103,-94,1692970263293821300,0
56103,-80,1692970263496432300,0
56214,-70,1692970263705633000,0
56359,-72,1692970263938649100,0
56502,-77,1692970264152760400,0
56643,-82,1692970264356618300,0
56727,-85,1692970264574143500,0
56727,-92,1692970264777018800,0
56864,-96,1692970264970995200,0
56735,-103,1692970265158847900,0
56432,-102,1692970265375286200,0
56432,-94,1692970265583633000,0
55962,-82,1692970265779988300,1
56111,-72,1692970266009482800,0
56258,-71,1692970266198383600,0
56402,-75,1692970266412495700,0
56544,-81,1692970266631240100,0
56544,-84,1692970266831718500,0
56684,-89,1692970267036680600,0
56801,-94,1692970267245195700,0
56761,-100,1692970267467065800,0
56544,-103,1692970267683016300,0
56138,-94,1692970267877988500,0
56138,-85,1692970268073987400,0
56284,-73,1692970268301289100,0
56428,-70,1692970268516818100,0
56570,-77,1692970268703249700,0
56710,-79,1692970268905338800,0
56710,-83,1692970269111074100,0
56847,-88,1692970269307151200,0
56962,-94,1692970269506971200,0
56971,-100,1692970269723418000,0
56660,-102,1692970269972935700,0
56221,-95,1692970270206136600,1
56221,-84,1692970270404502500,0
56366,-74,1692970270607882700,0
56509,-68,1692970270835527400,0
56650,-76,1692970271068106400,0
56768,-81,1692970271263594500,0
56904,-84,1692970271511793900,0
56980,-91,1692970271723708900,0
56971,-96,1692970271961280100,0
56971,-100,1692970272168092600,0
56711,-103,1692970272363100000,0
56237,-95,1692970272575916900,0
56370,-81,1692970272791372300,0
56370,-71,1692970272992317000,0
56513,-71,1692970273193433000,0
56653,-76,1692970273381101700,0
56773,-80,1692970273582976000,0
56909,-84,1692970273784366600,0
56909,-89,1692970273983539200,0
57023,-95,1692970274184713600,0
57063,-100,1692970274385062500,0
