latency,RSSI,TIMESTAMP,Drop?
350,-80,1691678536295555300,0
346,-89,1691678536498711500,0
350,-93,1691678536608915400,0
349,-94,1691678536734871700,0
345,-97,1691678536862290700,0
335,-100,1691678536985964500,0
335,-103,1691678537112799800,0
335,-102,1691678537223178100,0
335,-102,1691678537345971300,0
333,-98,1691678537519570700,0
350,-86,1691678537659320200,0
351,-80,1691678537771997600,0
352,-73,1691678537897626100,0
352,-71,1691678538005626100,0
352,-73,1691678538115440900,0
351,-75,1691678538227572600,0
353,-78,1691678538352073500,0
347,-82,1691678538464334200,0
352,-83,1691678538583530400,0
351,-86,1691678538687197900,0
348,-89,1691678538814911600,0
346,-92,1691678538938713700,0
351,-95,1691678539047667600,0
348,-97,1691678539156473400,0
330,-100,1691678539268949400,0
330,-102,1691678539378011800,0
330,-103,1691678539488286200,0
330,-103,1691678539585493700,0
330,-103,1691678539693492600,0
318,-96,1691678539852211600,1
349,-89,1691678539960516700,1
344,-82,1691678540069970900,0
347,-78,1691678540177138400,0
348,-71,1691678540285662300,0
345,-73,1691678540413779100,0
347,-75,1691678540539973100,0
340,-78,1691678540649046300,0
347,-81,1691678540785079000,0
347,-84,1691678540895898500,0
347,-87,1691678541005711600,0
341,-90,1691678541160641400,0
347,-93,1691678541272668300,0
346,-94,1691678541382618000,0
348,-99,1691678541491104000,0
269,-99,1691678541600852700,0
269,-101,1691678541710881800,0
269,-102,1691678541820371500,0
269,-102,1691678541929877700,0
269,-102,1691678542038156100,1
338,-98,1691678542197006500,1
347,-87,1691678542306122900,1
348,-83,1691678542416382000,1
343,-75,1691678542525997200,1
348,-71,1691678542636712400,0
347,-73,1691678542745904300,0
348,-75,1691678542856005800,0
342,-77,1691678542966843000,0
347,-81,1691678543077128300,0
347,-83,1691678543202471300,0
347,-85,1691678543316205100,0
348,-88,1691678543438107100,0
341,-90,1691678543548922800,0
348,-93,1691678543659821000,0
345,-96,1691678543774582600,0
323,-98,1691678543898734500,0
323,-102,1691678544030613700,0
323,-100,1691678544171050600,0
323,-100,1691678544316052200,1
334,-96,1691678544505117800,1
350,-90,1691678544663377000,0
350,-78,1691678544803993700,0
350,-70,1691678544962578900,0
351,-73,1691678545120754400,0
351,-77,1691678545260206000,0
349,-79,1691678545418054200,0
351,-83,1691678545559388600,0
351,-86,1691678545715200400,0
350,-91,1691678545858279600,0
350,-93,1691678546013623400,0
351,-99,1691678546155463400,0
351,-100,1691678546312937900,0
351,-103,1691678546454596300,0
351,-103,1691678546597108800,0
351,-102,1691678546739660200,1
348,-92,1691678546900551700,1
348,-85,1691678547040832200,1
348,-76,1691678547183393600,0
348,-71,1691678547325027600,0
348,-74,1691678547466099500,0
348,-77,1691678547609464700,0
348,-81,1691678547751114300,0
348,-84,1691678547892174100,0
347,-86,1691678548048395200,0
347,-90,1691678548189118600,0
348,-93,1691678548348025100,0
348,-98,1691678548489974100,0
330,-100,1691678548632734400,0
330,-103,1691678548811837600,0
330,-103,1691678548950972400,0
220,-99,1691678549093856500,1
327,-91,1691678549235454900,1
332,-84,1691678549377680700,0
331,-72,1691678549533738000,0
331,-71,1691678549674770600,0
331,-74,1691678549833260800,0
321,-78,1691678549988473000,0
326,-81,1691678550128831400,0
331,-84,1691678550303928700,0
331,-88,1691678550459493000,0
328,-92,1691678550617963900,0
331,-96,1691678550760628300,0
317,-98,1691678550914847100,0
317,-101,1691678551058234500,0
317,-103,1691678551200550900,0
317,-103,1691678551340272500,0
344,-93,1691678551562491700,1
350,-84,1691678551705895100,0
349,-73,1691678551846712800,0
348,-71,1691678552004729900,0
349,-74,1691678552177961300,0
349,-79,1691678552318791500,0
348,-82,1691678552475319700,0
350,-85,1691678552618010500,0
349,-88,1691678552759717800,0
341,-91,1691678552916782800,0
350,-96,1691678553059354800,0
347,-99,1691678553219030300,0
347,-102,1691678553358461300,0
347,-103,1691678553516303600,0
347,-103,1691678553657789700,0
305,-96,1691678553861771200,1
349,-86,1691678554002673300,1
349,-76,1691678554146605900,0
350,-70,1691678554286774400,0
349,-73,1691678554443905800,0
345,-77,1691678554587209300,0
343,-80,1691678554729735700,0
350,-82,1691678554887543500,0
348,-87,1691678555031067900,0
349,-90,1691678555170596700,0
349,-94,1691678555342879900,0
344,-96,1691678555503667900,0
339,-102,1691678555659422200,0
339,-101,1691678555817878100,0
339,-101,1691678555961123600,0
292,-99,1691678556167071200,1
350,-87,1691678556309620100,0
350,-78,1691678556464966700,0
350,-71,1691678556608712300,0
349,-73,1691678556767362500,0
349,-77,1691678556908477200,0
350,-79,1691678557068318600,0
349,-85,1691678557223623100,0
349,-86,1691678557381956100,0
349,-90,1691678557539768100,0
349,-92,1691678557680243600,0
350,-97,1691678557837895000,0
292,-100,1691678557980222200,0
292,-102,1691678558120681100,0
292,-102,1691678558262799100,0
250,-99,1691678558466504100,1
350,-91,1691678558608434100,0
351,-79,1691678558749592400,0
350,-71,1691678558892359500,0
349,-72,1691678559051077700,0
351,-75,1691678559207833500,0
351,-79,1691678559366052800,0
349,-82,1691678559524083000,0
350,-86,1691678559664933200,0
350,-90,1691678559809739800,0
350,-92,1691678559967217700,0
350,-98,1691678560107604800,0
349,-99,1691678560248916000,0
349,-101,1691678560406809900,0
349,-101,1691678560548024400,0
349,-102,1691678560688989600,1
348,-92,1691678560862847900,0
346,-84,1691678561019813300,0
349,-73,1691678561178725500,0
347,-71,1691678561333775100,0
340,-75,1691678561474034300,0
349,-77,1691678561631983500,0
349,-81,1691678561774970000,0
349,-84,1691678561918010700,0
349,-88,1691678562074093600,0
348,-91,1691678562216681500,0
349,-95,1691678562374928100,0
349,-99,1691678562533154900,0
321,-102,1691678562674362700,0
321,-101,1691678562816971200,0
321,-101,1691678562956429400,0
350,-94,1691678563194248400,0
350,-84,1691678563351078600,0
348,-72,1691678563526385700,0
349,-72,1691678563701179400,0
351,-75,1691678563843785600,0
350,-78,1691678563999401900,0
349,-82,1691678564157150100,0
349,-85,1691678564315755000,0
349,-89,1691678564474052800,0
350,-94,1691678564630209000,0
348,-97,1691678564788105400,0
345,-101,1691678564945806300,0
345,-101,1691678565087142100,0
345,-103,1691678565246288900,0
345,-100,1691678565388991200,0
346,-91,1691678565545095300,0
347,-83,1691678565686266500,0
344,-73,1691678565857335200,0
347,-71,1691678565998705700,0
348,-74,1691678566154449800,0
347,-78,1691678566295605500,0
348,-80,1691678566438779700,0
347,-84,1691678566580241700,0
347,-88,1691678566719821900,0
346,-90,1691678566875693500,0
347,-94,1691678567036004700,0
