dropout,return,DROPOUT TIMESTAMP,RETURN TIMESTAMP
1, ,1691683132008980400, 
 ,1, ,1691683132290726000
2, ,1691683134317517300, 
 ,2, ,1691683134536414500
3, ,1691683136678496500, 
 ,3, ,1691683136897060200
4, ,1691683138944137200, 
 ,4, ,1691683139134317600
5, ,1691683141321305700, 
 ,5, ,1691683141495709100
6, ,1691683143679986700, 
 ,6, ,1691683143901389000
7, ,1691683145963538700, 
 ,7, ,1691683146120817500
8, ,1691683148278975300, 
 ,8, ,1691683148496242000
9, ,1691683150582425200, 
 ,9, ,1691683150723582000
10, ,1691683152960093700, 
 ,10, ,1691683153134374400
11, ,1691683155328709200, 
 ,11, ,1691683155564181600
12, ,1691683157667520700, 
 ,12, ,1691683157808333600
13, ,1691683159906886900, 
 ,13, ,1691683160094796900
14, ,1691683162279925200, 
 ,14, ,1691683162420723100
15, ,1691683164425817500, 
 ,15, ,1691683164693651000
16, ,1691683166806801000, 
 ,16, ,1691683167026849500
17, ,1691683169293115300, 
 ,17, ,1691683169449565900
18, ,1691683171643911300, 
 ,18, ,1691683171802035900
19, ,1691683173984798100, 
 ,19, ,1691683174127726100
20, ,1691683176251190000, 
 ,20, ,1691683176454873800
21, ,1691683178592346300, 
 ,21, ,1691683178764667200
22, ,1691683180904973800, 
 ,22, ,1691683181046613100
23, ,1691683183255028300, 
 ,23, ,1691683183491045500
24, ,1691683185534127800, 
 ,24, ,1691683185691933800
25, ,1691683187917641600, 
 ,25, ,1691683188088610500
26, ,1691683190260606500, 
 ,26, ,1691683190416821100
27, ,1691683192507153300, 
 ,27, ,1691683192697945100
28, ,1691683194873339700, 
 ,28, ,1691683195093513300
29, ,1691683197299479800, 
 ,29, ,1691683197581594600
30, ,1691683199600709300, 
 ,30, ,1691683199994909300
31, ,1691683201924890500, 
 ,31, ,1691683202160816100
32, ,1691683204227857700, 
 ,32, ,1691683204416841700
33, ,1691683206613140400, 
 ,33, ,1691683206770583100
34, ,1691683208847162800, 
 ,34, ,1691683209020946300
35, ,1691683211197177900, 
 ,35, ,1691683211418029700
36, ,1691683213482259200, 
 ,36, ,1691683213686170600
37, ,1691683215904326800, 
 ,37, ,1691683216045409200
38, ,1691683218155203000, 
 ,38, ,1691683218296755800
39, ,1691683220556310000, 
 ,39, ,1691683220726960300
40, ,1691683222776938200, 
 ,40, ,1691683222965790500
41, ,1691683225114177300, 
 ,41, ,1691683225270121300
42, ,1691683227547601200, 
 ,42, ,1691683227736040100
43, ,1691683229840709800, 
 ,43, ,1691683230027974500
44, ,1691683232241105800, 
 ,44, ,1691683232414236200
45, ,1691683234576871500, 
 ,45, ,1691683234749256600
46, ,1691683236820908500, 
 ,46, ,1691683236993727000
47, ,1691683239175187800, 
 ,47, ,1691683239381999500
48, ,1691683241425399100, 
 ,48, ,1691683241646357300
49, ,1691683243893776000, 
 ,49, ,1691683244052475400
50, ,1691683246170534800, 
 ,50, ,1691683246341571200
51, ,1691683248441816500, 
 ,51, ,1691683248566978800
52, ,1691683250768243200, 
 ,52, ,1691683250924856500
53, ,1691683253173577200, 
 ,53, ,1691683253360920500
54, ,1691683255558477500, 
 ,54, ,1691683255683928600
55, ,1691683257844851900, 
 ,55, ,1691683258031258600
56, ,1691683260194400400, 
 ,56, ,1691683260319256200
57, ,1691683262515594700, 
 ,57, ,1691683262656049900
58, ,1691683264750345000, 
 ,58, ,1691683264955580200
59, ,1691683267156366500, 
 ,59, ,1691683267296919400
60, ,1691683269529044200, 
 ,60, ,1691683269686533100
61, ,1691683271779244000, 
 ,61, ,1691683271953927500
62, ,1691683274134984900, 
 ,62, ,1691683274275402400
63, ,1691683276476284000, 
 ,63, ,1691683276634251100
64, ,1691683278742085200, 
 ,64, ,1691683278865991200
65, ,1691683281024546800, 
 ,65, ,1691683281179768200
66, ,1691683283519835300, 
 ,66, ,1691683283677251800
67, ,1691683285718898100, 
 ,67, ,1691683285874752800
68, ,1691683288108829900, 
 ,68, ,1691683288235445100
69, ,1691683290462111000, 
 ,69, ,1691683290602198400
70, ,1691683292755775100, 
 ,70, ,1691683292895023600
71, ,1691683295073814300, 
 ,71, ,1691683295200162400
72, ,1691683297388742500, 
 ,72, ,1691683297559927000
73, ,1691683299713987600, 
 ,73, ,1691683299839493900
74, ,1691683302051382900, 
 ,74, ,1691683302207307500
75, ,1691683304392704500, 
 ,75, ,1691683304517679200
76, ,1691683306753170300, 
 ,76, ,1691683306895186100
77, ,1691683309033451200, 
 ,77, ,1691683309175047800
78, ,1691683311421013600, 
 ,78, ,1691683311561161200
79, ,1691683313798715300, 
 ,79, ,1691683313909584400
80, ,1691683316022176800, 
 ,80, ,1691683316195320900
81, ,1691683318091541800, 
 ,81, ,1691683318264325600
82, ,1691683320754442400, 
 ,82, ,1691683320879455700
83, ,1691683323028160600, 
 ,83, ,1691683323168980700
84, ,1691683325326906700, 
 ,84, ,1691683325497081200
85, ,1691683327761598600, 
 ,85, ,1691683327887349400
86, ,1691683330090078400, 
 ,86, ,1691683330231194700
87, ,1691683332316099900, 
 ,87, ,1691683332475082600
88, ,1691683334720589000, 
 ,88, ,1691683334861844200
89, ,1691683337060111000, 
 ,89, ,1691683337171546000
90, ,1691683339382597500, 
 ,90, ,1691683339540804200
91, ,1691683341709271500, 
 ,91, ,1691683341819290700
92, ,1691683344038483400, 
 ,92, ,1691683344179804900
93, ,1691683346284681300, 
 ,93, ,1691683346442500800
94, ,1691683348335934100, 
 ,94, ,1691683348476226300
