latency,RSSI,attn1,TIMESTAMP
680,-104,56,1691682139503664400
680,-98,44,1691682139668163300
416,-92,36,1691682139779513400
384,-88,28,1691682139890341300
399,-80,20,1691682140016401600
381,-77,22,1691682140156888900
414,-80,26,1691682140281421400
394,-83,28,1691682140406254200
407,-85,32,1691682140520392400
384,-89,34,1691682140641281100
395,-91,38,1691682140765425800
419,-93,40,1691682140888687500
418,-97,46,1691682141078645500
437,-100,48,1691682141203136700
503,-103,52,1691682141311897200
613,-103,54,1691682141421640100
680,-103,56,1691682141529843500
680,-103,60,1691682141638237700
680,-103,60,1691682141761804500
680,-103,52,1691682141871624400
680,-98,44,1691682141981140700
382,-92,36,1691682142108459800
412,-88,28,1691682142231882300
382,-79,20,1691682142359242700
402,-77,22,1691682142470183300
414,-79,24,1691682142577357200
379,-81,28,1691682142690960400
385,-85,30,1691682142797198200
395,-87,34,1691682142923392300
378,-90,36,1691682143048477400
398,-92,40,1691682143159366200
407,-95,42,1691682143270525800
387,-97,46,1691682143395366300
405,-99,48,1691682143521765100
472,-102,52,1691682143631289900
582,-103,54,1691682143742273500
680,-103,56,1691682143850611200
680,-103,60,1691682143977723400
680,-103,60,1691682144110220300
680,-103,52,1691682144229870000
680,-99,40,1691682144355258200
408,-90,36,1691682144466899000
418,-86,28,1691682144585145400
381,-78,20,1691682144704278300
402,-77,22,1691682144809713400
406,-79,24,1691682144917892000
411,-81,28,1691682145033874800
434,-84,30,1691682145155158200
414,-87,34,1691682145276023900
379,-91,36,1691682145399616000
395,-92,40,1691682145509689800
406,-96,42,1691682145620793900
422,-98,46,1691682145728473800
424,-99,48,1691682145844322400
499,-103,52,1691682145962557500
612,-104,54,1691682146089066400
680,-104,56,1691682146216069200
680,-104,60,1691682146323873700
680,-104,60,1691682146434680400
680,-104,52,1691682146542938200
680,-98,44,1691682146670929100
419,-93,36,1691682146796081700
395,-86,24,1691682146922159400
418,-79,20,1691682147033825000
384,-77,22,1691682147160774600
409,-79,26,1691682147279005000
408,-83,30,1691682147422553400
402,-87,34,1691682147580446300
412,-91,36,1691682147738415400
378,-93,40,1691682147894319000
428,-97,44,1691682148049455000
432,-103,48,1691682148207266100
537,-103,52,1691682148363228200
680,-103,56,1691682148516574000
680,-103,60,1691682148672306600
680,-103,56,1691682148829401300
680,-99,44,1691682149002123100
385,-91,32,1691682149157433200
397,-82,24,1691682149313665600
400,-77,22,1691682149485674400
375,-81,26,1691682149679030800
415,-85,32,1691682149848408600
385,-89,36,1691682150008659700
394,-93,40,1691682150166104900
392,-96,42,1691682150311140800
398,-99,48,1691682150478367100
510,-102,52,1691682150635561700
664,-102,56,1691682150791329700
680,-102,58,1691682150933303100
680,-102,60,1691682151075190400
680,-102,48,1691682151232941900
680,-94,40,1691682151389032400
416,-89,28,1691682151532728600
409,-80,20,1691682151688781400
416,-78,24,1691682151844810900
420,-81,28,1691682152002140900
387,-85,32,1691682152157499000
388,-89,34,1691682152314297100
391,-93,38,1691682152472937100
407,-96,42,1691682152628530500
408,-98,46,1691682152784263900
464,-104,50,1691682152940174100
623,-103,54,1691682153109342300
680,-103,58,1691682153262305700
680,-103,60,1691682153419618200
680,-102,48,1691682153576227900
655,-95,40,1691682153757731400
388,-86,28,1691682153905005500
387,-77,20,1691682154059047000
389,-80,24,1691682154216970300
397,-82,28,1691682154375215100
403,-86,32,1691682154516954400
400,-90,36,1691682154673487500
404,-93,40,1691682154831954100
409,-96,44,1691682154988838900
417,-100,48,1691682155146334200
528,-102,52,1691682155304336000
680,-102,56,1691682155461331600
