latency,RSSI,TIMESTAMP,Drop?
298,-90,1688597372008162700,1
267,-94,1688597372162924300,1
304,-97,1688597372265485500,1
296,-98,1688597372388826100,1
217,-102,1688597372521400300,1
92,-102,1688597372633854400,1
0,-102,1688597372765119600,1
0,-105,1688597372898652700,1
250,-100,1688597373023977200,1
287,-97,1688597373147649300,1
259,-94,1688597373270825400,1
290,-90,1688597373393886000,1
259,-90,1688597373527888000,1
285,-93,1688597373640450800,1
267,-94,1688597373763737900,1
288,-97,1688597373886300300,1
271,-101,1688597374008605500,1
143,-104,1688597374131290300,1
26,-104,1688597374253778200,1
0,-104,1688597374376464300,1
0,-101,1688597374518865200,1
284,-98,1688597374641824000,0
263,-95,1688597374784736900,0
278,-90,1688597374896265500,0
266,-88,1688597375017771400,0
295,-91,1688597375150406800,0
257,-95,1688597375261920300,0
293,-96,1688597375384355800,0
275,-99,1688597375506457400,0
246,-102,1688597375630730300,0
123,-104,1688597375753345600,0
4,-103,1688597375875752900,0
0,-102,1688597376087900900,0
264,-97,1688597376223012800,0
288,-93,1688597376345933300,0
266,-90,1688597376466952900,0
288,-90,1688597376588173500,0
269,-92,1688597376712671800,0
291,-94,1688597376855149100,0
302,-97,1688597376978192600,0
277,-100,1688597377100830900,0
198,-103,1688597377223175300,0
79,-104,1688597377345864500,0
0,-104,1688597377467150200,0
0,-103,1688597377591950800,0
269,-99,1688597377701691000,1
266,-95,1688597377816872500,1
296,-91,1688597377920898500,1
289,-89,1688597378044197200,1
268,-89,1688597378166984900,1
293,-93,1688597378290271100,1
264,-95,1688597378443890700,1
270,-98,1688597378558692500,1
250,-101,1688597378681699700,1
222,-103,1688597378804265200,1
105,-102,1688597378926921300,1
0,-104,1688597379091059500,1
227,-100,1688597379194367000,1
264,-97,1688597379320472200,1
290,-93,1688597379440881700,0
265,-89,1688597379583167000,0
270,-90,1688597379704863700,0
299,-93,1688597379827201200,0
278,-95,1688597379970836600,0
289,-98,1688597380093666100,0
262,-100,1688597380236168800,0
175,-103,1688597380359247600,0
47,-104,1688597380481939800,0
0,-104,1688597380604358700,0
43,-100,1688597380726398100,0
279,-97,1688597380870319600,1
288,-93,1688597380993410500,1
264,-89,1688597381116904600,1
284,-89,1688597381241658000,1
267,-91,1688597381366951700,1
291,-95,1688597381491920700,1
260,-96,1688597381615380200,1
286,-99,1688597381748701200,1
175,-104,1688597381934524600,1
0,-104,1688597382121342900,1
146,-98,1688597382287950800,1
259,-95,1688597382474005800,0
299,-90,1688597382659712200,0
261,-89,1688597382825182500,0
256,-93,1688597382992004400,0
286,-96,1688597383158376600,0
276,-101,1688597383304031600,0
179,-103,1688597383449153200,0
32,-104,1688597383616004000,0
0,-100,1688597383781942800,0
296,-97,1688597383946843300,1
286,-94,1688597384091614300,1
292,-88,1688597384237159300,1
294,-90,1688597384401424100,1
282,-93,1688597384566749600,1
304,-99,1688597384730980600,0
251,-100,1688597384896498400,0
85,-103,1688597385062313800,0
0,-102,1688597385228410200,0
98,-100,1688597385414819400,0
263,-94,1688597385580662200,1
297,-89,1688597385745960700,1
283,-89,1688597385910882700,0
269,-93,1688597386078072100,0
296,-96,1688597386244063300,0
283,-99,1688597386409921900,0
221,-103,1688597386554875300,0
55,-104,1688597386741661700,0
0,-101,1688597386907402300,0
273,-96,1688597387073293200,0
301,-91,1688597387239198700,1
283,-88,1688597387425799800,0
254,-91,1688597387591536100,0
290,-95,1688597387758013100,0
273,-97,1688597387924539400,0
255,-101,1688597388082931000,0
90,-102,1688597388246583200,0
0,-102,1688597388431884200,0
291,-97,1688597388597019900,1
277,-92,1688597388782833100,0
297,-88,1688597388948617700,0
280,-91,1688597389115002200,0
262,-94,1688597389281807600,0
294,-98,1688597389447456500,0
227,-101,1688597389613690600,0
65,-103,1688597389779529500,0
0,-102,1688597389945869300,0
277,-98,1688597390132552800,1
290,-93,1688597390319859800,0
293,-88,1688597390485385100,0
291,-91,1688597390651943400,0
275,-94,1688597390818505000,0
255,-97,1688597391005106500,0
257,-101,1688597391172001000,0
107,-102,1688597391339526300,0
0,-103,1688597391505936100,0
267,-98,1688597391692681600,1
282,-93,1688597391838850400,1
285,-89,1688597392004905500,0
268,-91,1688597392191350500,0
284,-95,1688597392357791800,0
262,-98,1688597392524202200,0
197,-102,1688597392690103700,0
32,-102,1688597392877228800,0
0,-103,1688597393045591000,1
279,-99,1688597393230996700,0
294,-94,1688597393376299500,0
294,-90,1688597393543515200,0
282,-92,1688597393710280500,0
265,-94,1688597393876862400,0
247,-99,1688597394047755100,0
233,-104,1688597394211137200,0
62,-103,1688597394377174300,0
0,-103,1688597394542823700,0
121,-100,1688597394707877500,1
262,-96,1688597394872851700,0
293,-91,1688597395058323100,0
268,-90,1688597395226584500,0
291,-95,1688597395392349700,0
280,-96,1688597395559551800,0
263,-101,1688597395747019100,0
76,-104,1688597395913530900,0
0,-104,1688597396101070000,0
0,-100,1688597396268956300,1
303,-95,1688597396431944100,0
287,-90,1688597396598510700,0
275,-90,1688597396764332100,0
263,-93,1688597396931098100,0
287,-97,1688597397097760300,0
276,-102,1688597397264780300,0
110,-102,1688597397430959900,0
0,-102,1688597397597996800,0
0,-100,1688597397763932600,1
260,-98,1688597397949901200,0
268,-91,1688597398115327100,0
258,-89,1688597398303130100,0
270,-94,1688597398470044500,0
300,-96,1688597398636222400,0
286,-101,1688597398822464800,0
104,-103,1688597398989100400,0
0,-103,1688597399175353500,1
0,-98,1688597399343997400,1
280,-96,1688597399505836600,0
270,-92,1688597399671757100,0
301,-90,1688597399840316000,0
282,-93,1688597400026009700,0
292,-98,1688597400211031800,0
260,-101,1688597400398431800,0
77,-103,1688597400564646100,0
0,-103,1688597400730881800,1
0,-100,1688597400896529300,0
273,-97,1688597401061628800,0
263,-92,1688597401228557700,0
293,-90,1688597401415687900,0
304,-92,1688597401581933300,0
288,-97,1688597401747208100,0
269,-101,1688597401913963700,0
108,-103,1688597402101828100,0
0,-104,1688597402289470900,1
273,-100,1688597402454183200,1
268,-96,1688597402640841900,0
280,-89,1688597402807771700,0
262,-90,1688597402974608900,0
279,-94,1688597403161297700,0
