latency,RSSI,TIMESTAMP,Drop?
346,-93,1691034710279923300,0
328,-102,1691034710438552500,0
328,-102,1691034710547761400,0
328,-103,1691034710672669300,0
328,-103,1691034710780272100,0
328,-103,1691034710891461700,0
328,-103,1691034711016535900,0
328,-103,1691034711127562700,0
220,-102,1691034711269796400,0
325,-95,1691034711386859700,0
325,-88,1691034711512694600,0
325,-90,1691034711637810000,0
314,-93,1691034711765025700,0
324,-94,1691034711890258800,0
319,-97,1691034712014320600,0
323,-101,1691034712124265900,0
312,-100,1691034712231432500,0
312,-104,1691034712338061500,1
312,-104,1691034712462603400,1
312,-104,1691034712571067200,1
312,-104,1691034712679616400,1
312,-104,1691034712788983200,1
312,-104,1691034712905565500,1
312,-104,1691034713023793000,1
345,-92,1691034713181205500,1
346,-88,1691034713302098300,1
346,-89,1691034713416922900,1
345,-92,1691034713536758700,1
346,-95,1691034713661597900,1
346,-96,1691034713785081500,1
343,-99,1691034713909218100,1
346,-102,1691034714020386300,1
346,-104,1691034714129491800,1
346,-105,1691034714238341800,1
346,-105,1691034714364591800,1
346,-105,1691034714488865500,1
346,-105,1691034714596522800,1
346,-105,1691034714719748800,1
279,-101,1691034714888171500,1
348,-93,1691034715013806000,1
346,-88,1691034715137643700,1
346,-92,1691034715281654500,1
347,-93,1691034715418081000,1
344,-96,1691034715544945100,1
345,-101,1691034715671722700,1
343,-103,1691034715798042100,1
343,-103,1691034715918164800,1
343,-103,1691034716044662700,1
343,-103,1691034716167053600,1
343,-103,1691034716276808400,1
343,-103,1691034716392968000,1
343,-103,1691034716493880700,1
226,-101,1691034716620227300,1
347,-94,1691034716746723200,1
342,-88,1691034716853432100,1
347,-91,1691034716965217500,1
345,-93,1691034717090120800,1
347,-95,1691034717216827600,1
347,-97,1691034717352680000,1
341,-100,1691034717463503000,1
338,-102,1691034717569930500,1
338,-102,1691034717685493500,1
338,-102,1691034717803974600,1
338,-102,1691034717914503300,1
338,-102,1691034718038147600,1
338,-102,1691034718158379100,1
338,-102,1691034718285946200,1
258,-100,1691034718424184100,1
344,-91,1691034718567454400,1
345,-87,1691034718687771900,1
346,-91,1691034718798886900,1
346,-94,1691034718939934200,1
345,-97,1691034719049134400,1
340,-100,1691034719156895500,1
340,-102,1691034719268623400,1
340,-103,1691034719390132900,1
340,-102,1691034719515047100,1
340,-102,1691034719632191200,1
340,-102,1691034719749950200,1
340,-102,1691034719872217100,1
340,-102,1691034719980234500,1
340,-104,1691034720102954300,1
298,-98,1691034720260133100,1
339,-92,1691034720383487000,1
341,-88,1691034720493783000,1
340,-90,1691034720609647400,1
341,-94,1691034720727357500,1
339,-95,1691034720866724600,1
341,-100,1691034720975319900,1
321,-101,1691034721126305900,1
321,-103,1691034721280764500,1
321,-104,1691034721436187200,1
321,-104,1691034721590641700,1
321,-104,1691034721730021200,1
321,-104,1691034721887256600,1
336,-94,1691034722075116000,1
346,-89,1691034722231406500,1
345,-90,1691034722407886700,1
346,-94,1691034722563041000,1
344,-97,1691034722720363900,1
333,-101,1691034722875655700,1
327,-102,1691034723035172600,1
327,-102,1691034723176288300,1
327,-102,1691034723319849700,1
327,-102,1691034723459127900,1
327,-102,1691034723597710600,1
233,-99,1691034723754734200,1
341,-92,1691034723910527600,1
346,-87,1691034724066885300,1
346,-93,1691034724224169500,1
346,-94,1691034724377189400,1
345,-98,1691034724532647700,1
337,-102,1691034724688756400,1
337,-101,1691034724842893700,1
337,-101,1691034724996157400,1
337,-101,1691034725148426100,1
337,-101,1691034725305139800,1
337,-101,1691034725474551500,1
339,-93,1691034725662078500,1
344,-87,1691034725818535800,1
341,-90,1691034725991457900,1
347,-94,1691034726147957900,1
346,-97,1691034726319569800,1
338,-101,1691034726489199100,1
338,-103,1691034726644002400,1
338,-103,1691034726797490700,1
338,-103,1691034726953656000,1
338,-103,1691034727110355200,1
338,-102,1691034727267828400,1
348,-93,1691034727440252600,1
344,-87,1691034727598058400,1
345,-89,1691034727754510400,1
347,-93,1691034727905939200,1
347,-97,1691034728066249400,1
342,-100,1691034728222261100,1
337,-104,1691034728377825100,1
337,-103,1691034728550722700,1
337,-103,1691034728705996200,1
337,-103,1691034728863783600,1
337,-103,1691034729016217500,1
344,-93,1691034729188386800,1
347,-86,1691034729344366800,1
348,-89,1691034729500965300,1
348,-92,1691034729670819200,1
344,-97,1691034729857404400,1
336,-100,1691034730031150900,1
336,-102,1691034730186493900,1
336,-102,1691034730341510900,1
336,-102,1691034730499021700,1
336,-102,1691034730656049400,1
336,-103,1691034730828093600,1
346,-94,1691034731016394800,1
343,-87,1691034731171972700,1
346,-90,1691034731346499200,1
344,-94,1691034731517178400,1
343,-98,1691034731689071100,1
334,-102,1691034731845964200,1
334,-104,1691034732000615500,1
334,-104,1691034732170463600,1
334,-104,1691034732342893100,1
334,-104,1691034732502099600,1
272,-98,1691034732720357200,1
346,-88,1691034732877003400,1
346,-90,1691034733047139900,1
346,-93,1691034733218739900,1
347,-97,1691034733404726000,1
340,-100,1691034733576067800,1
340,-104,1691034733747367100,1
340,-104,1691034733902771800,1
340,-104,1691034734056792000,1
340,-104,1691034734212518300,1
340,-104,1691034734367940000,1
343,-96,1691034734523335000,1
345,-87,1691034734677736200,1
346,-90,1691034734833970100,1
345,-93,1691034734991818700,1
345,-97,1691034735161946600,1
342,-101,1691034735320087100,1
333,-104,1691034735473029800,1
333,-104,1691034735630603700,1
333,-104,1691034735801361200,1
333,-104,1691034735958086500,1
333,-104,1691034736130445300,1
345,-95,1691034736329841100,1
347,-88,1691034736498260500,1
345,-91,1691034736670499700,1
348,-94,1691034736825920500,1
348,-97,1691034736983294900,1
329,-101,1691034737138817200,1
338,-104,1691034737311144200,1
338,-104,1691034737463051500,1
338,-104,1691034737636041100,1
338,-104,1691034737789473900,1
338,-103,1691034737946352900,1
346,-93,1691034738104526700,1
345,-86,1691034738260232800,1
346,-91,1691034738415240600,1
346,-93,1691034738586871900,1
346,-98,1691034738742097400,1
337,-101,1691034738913234700,1
331,-103,1691034739084392400,1
331,-103,1691034739256139900,1
331,-103,1691034739410654300,1
331,-103,1691034739566420800,1
331,-103,1691034739721611100,1
345,-95,1691034739910213400,1
344,-88,1691034740081369100,1
345,-90,1691034740236729600,1
345,-94,1691034740391706800,1
344,-98,1691034740566924700,1
335,-102,1691034740720463500,1
335,-105,1691034740877286600,1
335,-105,1691034741034449500,1
335,-105,1691034741188799200,1
335,-105,1691034741332357300,1
335,-104,1691034741489945200,1
342,-94,1691034741661415400,1
344,-87,1691034741803171800,1
345,-90,1691034741945053400,1
344,-92,1691034742100579000,1
336,-97,1691034742255909500,1
345,-99,1691034742409405900,1
325,-104,1691034742549453000,1
325,-103,1691034742691491600,1
325,-104,1691034742848679700,1
325,-104,1691034742988380200,1
325,-104,1691034743148376200,1
325,-102,1691034743301655400,1
348,-93,1691034743440330600,1
345,-88,1691034743598346800,1
346,-90,1691034743752875100,1
348,-93,1691034743924341300,1
345,-97,1691034744096549400,1
348,-100,1691034744251260600,1
