dropout,return,DROPOUT TIMESTAMP,RETURN TIMESTAMP
1, ,1689119907725070100, 
 ,1, ,1689119908314014900
2, ,1689119909330256500, 
 ,2, ,1689119909640320100
3, ,1689119910717829100, 
 ,3, ,1689119910920712700
4, ,1689119912322252800, 
 ,4, ,1689119912492040700
5, ,1689119915315923000, 
 ,5, ,1689119915441281400
6, ,1689119917173675500, 
 ,6, ,1689119917298709900
7, ,1689119918626432700, 
 ,7, ,1689119918767501100
8, ,1689119920547153000, 
 ,8, ,1689119920702067600
9, ,1689119922010658100, 
 ,9, ,1689119922182141900
10, ,1689119923323447000, 
 ,10, ,1689119923652480600
11, ,1689119924734075700, 
 ,11, ,1689119924904797500
12, ,1689119926354964800, 
 ,12, ,1689119926528278400
13, ,1689119929445921700, 
 ,13, ,1689119929666794100
14, ,1689119931300077700, 
 ,14, ,1689119931472670100
15, ,1689119932581121500, 
 ,15, ,1689119932784026400
16, ,1689119935685778600, 
 ,16, ,1689119935857289300
17, ,1689119936920330700, 
 ,17, ,1689119937110038700
18, ,1689119940560970000, 
 ,18, ,1689119940780073600
19, ,1689119942103065400, 
 ,19, ,1689119942227816900
20, ,1689119943680788300, 
 ,20, ,1689119943898215900
21, ,1689119946502391900, 
 ,21, ,1689119946688651600
22, ,1689119949738614700, 
 ,22, ,1689119949956218700
23, ,1689119952764205300, 
 ,23, ,1689119953043668600
24, ,1689119954461370900, 
 ,24, ,1689119954939890500
25, ,1689119956451695900, 
 ,25, ,1689119956670007600
26, ,1689119958089357400, 
 ,26, ,1689119958339289500
27, ,1689119970141758500, 
 ,27, ,1689119970329395500
28, ,1689119981437793600, 
 ,28, ,1689119981827540400
29, ,1689119993596255100, 
 ,29, ,1689119993849986400
30, ,1689119995050308500, 
 ,30, ,1689119995158588500
31, ,1689119996640682800, 
 ,31, ,1689119996825029900
32, ,1689120000019997400, 
 ,32, ,1689120000224166200
33, ,1689120002875644800, 
 ,33, ,1689120003250742800
34, ,1689120004616958400, 
 ,34, ,1689120004819653300
35, ,1689120006048130200, 
 ,35, ,1689120006204582400
36, ,1689120007518946300, 
 ,36, ,1689120007692348600
37, ,1689120009054851600, 
 ,37, ,1689120009241911800
38, ,1689120012103586300, 
 ,38, ,1689120012287939000
39, ,1689120013802033500, 
 ,39, ,1689120013956736000
40, ,1689120015266866500, 
 ,40, ,1689120015470881000
41, ,1689120018274158000, 
 ,41, ,1689120018525338200
42, ,1689120020044333800, 
 ,42, ,1689120020217653500
43, ,1689120021562130700, 
 ,43, ,1689120021732033000
44, ,1689120023141253700, 
 ,44, ,1689120023282356500
45, ,1689120024694425800, 
 ,45, ,1689120024913861400
46, ,1689120027697978800, 
 ,46, ,1689120027903136700
47, ,1689120029318554400, 
 ,47, ,1689120029505219800
48, ,1689120032317757800, 
 ,48, ,1689120032518395400
49, ,1689120035435362000, 
 ,49, ,1689120035685529900
50, ,1689120037228618500, 
 ,50, ,1689120037478892400
51, ,1689120038731201500, 
 ,51, ,1689120038904861400
52, ,1689120040270414400, 
 ,52, ,1689120040458654700
53, ,1689120041821050500, 
 ,53, ,1689120041992889400
54, ,1689120043398585500, 
 ,54, ,1689120043556214400
55, ,1689120044854893200, 
 ,55, ,1689120045040338300
56, ,1689120046445097200, 
 ,56, ,1689120046635504900
57, ,1689120047971264300, 
 ,57, ,1689120048114394500
58, ,1689120049611299900, 
 ,58, ,1689120049721539200
59, ,1689120051115983200, 
 ,59, ,1689120051334675100
60, ,1689120052779535700, 
 ,60, ,1689120052936086800
61, ,1689120054311609400, 
 ,61, ,1689120054559086900
62, ,1689120055761658700, 
 ,62, ,1689120055933274400
63, ,1689120057368360900, 
 ,63, ,1689120057587763900
64, ,1689120058985946500, 
 ,64, ,1689120059188396900
65, ,1689120060481919200, 
 ,65, ,1689120060653038100
66, ,1689120062122953800, 
 ,66, ,1689120062264026600
67, ,1689120063667316600, 
 ,67, ,1689120063853476200
68, ,1689120065214953900, 
 ,68, ,1689120065371219000
69, ,1689120066806996400, 
 ,69, ,1689120067039074900
70, ,1689120068289406800, 
 ,70, ,1689120068491371900
71, ,1689120069821311800, 
 ,71, ,1689120069962772100
72, ,1689120071458696200, 
 ,72, ,1689120071614867900
73, ,1689120073019216400, 
 ,73, ,1689120073174458100
74, ,1689120074613575500, 
 ,74, ,1689120074785401700
75, ,1689120075906110000, 
 ,75, ,1689120076061552600
76, ,1689120077236174300, 
 ,76, ,1689120077362400700
77, ,1689120078328892100, 
 ,77, ,1689120078533724800
78, ,1689120081029667300, 
 ,78, ,1689120081217381500
79, ,1689120082495295900, 
 ,79, ,1689120082701028600
80, ,1689120085297794600, 
 ,80, ,1689120085563192500
81, ,1689120088560765900, 
 ,81, ,1689120088761254600
82, ,1689120090287274000, 
 ,82, ,1689120090472152800
