latency,RSSI,attn1,TIMESTAMP
283,-102,54,1688597332331290700
1,-102,53,1688597332465719500
0,-103,49,1688597332570070800
229,-100,45,1688597332695455400
258,-97,41,1688597332820756400
291,-94,39,1688597332922834300
280,-90,34,1688597333049571200
299,-89,36,1688597333212478700
292,-93,40,1688597333339831700
269,-96,44,1688597333471968000
293,-98,46,1688597333588601600
276,-101,50,1688597333692973600
214,-101,52,1688597333817644700
96,-104,54,1688597333921975400
0,-104,53,1688597334045846000
0,-102,49,1688597334176602700
257,-98,43,1688597334314170200
