latency,RSSI,TIMESTAMP,Drop?
-100,207,1693393182577808500,0
-101,14,1693393182846824400,0
-99,32,1693393183082885000,0
-96,76,1693393183317734000,0
-97,13,1693393183532900200,0
-101,154,1693393183739895500,0
-103,57,1693393183932026000,0
-102,217,1693393184130443100,0
-102,154,1693393184333224600,0
-101,4,1693393184545031400,0
-100,220,1693393184770955400,0
-97,256,1693393185070762900,0
-95,314,1693393185323240400,0
-99,329,1693393185556235700,0
-100,328,1693393185773485600,0
-102,259,1693393186024124500,0
-100,94,1693393186275618500,0
-98,112,1693393186508730900,0
-95,151,1693393186758388900,0
-93,203,1693393186976498200,0
-98,192,1693393187193608900,0
-98,201,1693393187433468000,0
-101,196,1693393187647000500,0
-102,79,1693393187868533500,0
-101,10,1693393188116430000,0
-97,42,1693393188334297400,0
-95,64,1693393188567660300,0
-93,119,1693393188790059000,0
-96,97,1693393189001211800,0
-98,95,1693393189218581200,0
-102,89,1693393189413702600,0
-102,5,1693393189611154100,0
-101,221,1693393189844390600,0
-97,227,1693393190097077000,0
-95,289,1693393190347829000,0
-95,312,1693393190580778900,0
-98,322,1693393190827979900,0
-102,306,1693393191048235900,0
-104,293,1693393191270002500,0
-102,103,1693393191489422800,0
-100,102,1693393191741189500,0
-96,153,1693393192036686600,0
-98,194,1693393192270408200,0
-100,176,1693393192519834400,0
-99,160,1693393192755137300,0
-102,163,1693393192958557200,0
-102,28,1693393193190940500,0
-101,193,1693393193407720500,1
-100,169,1693393193628291100,0
-100,182,1693393193889035500,0
-99,233,1693393194167020700,0
-98,217,1693393194449748400,0
-102,210,1693393194729301100,0
-101,44,1693393195030499300,0
-97,67,1693393195315026900,0
-95,130,1693393195578359700,0
-95,145,1693393195861917800,0
-101,113,1693393196127388000,0
-102,140,1693393196362952600,1
-102,39,1693393196615853100,0
-99,193,1693393196869189200,0
-98,235,1693393197169906100,0
-98,281,1693393197467584500,0
-101,304,1693393197723255600,1
-101,253,1693393198005002400,0
-103,268,1693393198238697100,0
-99,79,1693393198504736200,0
-99,64,1693393198818292400,0
-95,126,1693393199115790200,0
-96,145,1693393199416426700,0
-98,162,1693393199699654900,0
-104,149,1693393199967681900,0
-101,218,1693393200233018900,0
-98,224,1693393200517656600,0
-96,279,1693393200818340500,0
-95,321,1693393201080350600,0
-101,308,1693393201348352400,1
-102,273,1693393201611124200,0
-101,112,1693393201877332700,0
-100,63,1693393202160462300,0
-95,119,1693393202427012500,0
-98,146,1693393202692394000,0
-100,149,1693393202973507800,0
-99,130,1693393203255987300,0
-102,91,1693393203489268200,0
-102,197,1693393203738549400,1
-99,204,1693393204020255400,0
-95,231,1693393204317972300,0
-96,279,1693393204581863000,0
-99,278,1693393204865320300,0
-100,222,1693393205115539900,0
-101,104,1693393205384839300,0
-99,22,1693393205690928100,1
-95,66,1693393205988613400,0
-95,126,1693393206239154100,0
-98,82,1693393206527379000,0
-101,111,1693393206807613600,0
-101,42,1693393207070958400,0
-99,145,1693393207338741900,1
-96,194,1693393207573959400,0
-98,202,1693393207839111600,0
-99,245,1693393208134703100,0
-99,199,1693393208414981200,0
-103,197,1693393208649770400,0
-102,55,1693393208949479700,1
-98,48,1693393209246362300,0
-95,102,1693393209530188600,0
