latency,RSSI,TIMESTAMP,Drop?
-99,289,1693395761526981500,0
-95,291,1693395761767196600,0
-91,289,1693395761975632900,0
-93,272,1693395762177408300,0
-93,267,1693395762383658700,0
-97,267,1693395762587628400,0
-98,299,1693395762808257600,0
-101,227,1693395763028660200,0
-102,76,1693395763233940800,0
-101,239,1693395763455383000,0
-99,296,1693395763657519000,0
-96,250,1693395763874723800,0
-94,284,1693395764062318700,0
-91,295,1693395764253190800,0
-93,250,1693395764457495800,0
-95,297,1693395764645815900,0
-97,257,1693395764851444300,0
-100,294,1693395765068567900,0
-101,181,1693395765273803200,0
-103,26,1693395765493615200,0
-100,53,1693395765715195200,0
-99,290,1693395765902677500,0
-96,292,1693395766101910400,0
-95,303,1693395766324040100,0
-92,286,1693395766516896000,0
-92,288,1693395766706170800,0
-94,301,1693395766894632600,0
-97,264,1693395767086428900,0
-99,272,1693395767292806400,0
-101,265,1693395767499181800,0
-104,59,1693395767702161400,0
-100,199,1693395767889333100,0
-99,292,1693395768113874900,0
-95,292,1693395768318286200,0
-94,289,1693395768520815100,0
-92,286,1693395768711821100,0
-92,292,1693395768914125500,0
-95,292,1693395769117888100,0
-97,269,1693395769346600300,0
-102,273,1693395769615698300,0
-103,108,1693395769849606000,0
-100,0,1693395770117766600,0
-98,299,1693395770367923900,1
-95,262,1693395770605281500,0
-94,267,1693395770856791300,0
-91,271,1693395771108580900,0
-94,271,1693395771330051800,0
-97,294,1693395771557750800,0
-101,267,1693395771798067800,0
-102,177,1693395772034308300,0
-102,0,1693395772305370100,0
-100,271,1693395772554062500,0
-97,273,1693395772805075800,1
-95,262,1693395773054134600,0
-91,270,1693395773285083700,0
-94,286,1693395773525283200,0
-98,294,1693395773795825400,0
-99,280,1693395774028038700,0
-102,247,1693395774264261200,0
-102,253,1693395774517125700,0
-99,259,1693395774753359500,0
-96,271,1693395774988170600,0
-94,282,1693395775222453300,1
-92,297,1693395775463026700,0
-93,261,1693395775692750000,0
-96,279,1693395775930202800,0
-98,292,1693395776165026500,0
-102,204,1693395776404502700,0
