dropout,return,DROPOUT TIMESTAMP,RETURN TIMESTAMP
1, ,1693395770215998300, 
 ,1, ,1693395770483946400
2, ,1693395772669241200, 
 ,2, ,1693395772948978500
3, ,1693395775070372300, 
 ,3, ,1693395775367712600
4, ,1693395779450721800, 
 ,4, ,1693395779705222800
5, ,1693395781494200700, 
 ,5, ,1693395781777847300
6, ,1693395786348306100, 
 ,6, ,1693395786599607200
7, ,1693395790375711700, 
 ,7, ,1693395790704457300
8, ,1693395794872898500, 
 ,8, ,1693395795219631100
9, ,1693395797285106000, 
 ,9, ,1693395797540993400
10, ,1693395801589055600, 
 ,10, ,1693395801904912200
11, ,1693395803806554000, 
 ,11, ,1693395804134040500
12, ,1693395813079701300, 
 ,12, ,1693395813362534700
13, ,1693395819754143200, 
 ,13, ,1693395820033512200
14, ,1693395826610653600, 
 ,14, ,1693395826907658600
15, ,1693395835396564900, 
 ,15, ,1693395835694298800
16, ,1693395846714854500, 
 ,16, ,1693395847044664000
17, ,1693395866541645400, 
 ,17, ,1693395866900008700
18, ,1693395879890837200, 
 ,18, ,1693395880238223000
19, ,1693395884621865500, 
 ,19, ,1693395884937231900
20, ,1693395890114469300, 
 ,20, ,1693395890461657700
21, ,1693395891484470100, 
 ,21, ,1693395891816710800
22, ,1693395895774819800, 
 ,22, ,1693395896104162500
23, ,1693395897963027200, 
 ,23, ,1693395898353515600
24, ,1693395902450535300, 
 ,24, ,1693395902831074300
25, ,1693395905107611900, 
 ,25, ,1693395905437861400
26, ,1693395913782379300, 
 ,26, ,1693395914079148000
27, ,1693395953985807100, 
 ,27, ,1693395954334676700
28, ,1693395967459022500, 
 ,28, ,1693395967774595800
29, ,1693395969736377700, 
 ,29, ,1693395970035934500
30, ,1693395971798366000, 
 ,30, ,1693395972115637000
31, ,1693395976384167400, 
 ,31, ,1693395976713114600
32, ,1693395978650491300, 
 ,32, ,1693395979016177800
33, ,1693395983179686900, 
 ,33, ,1693395983508586300
34, ,1693395985461547700, 
 ,34, ,1693395985773168500
35, ,1693395992338360300, 
 ,35, ,1693395992589258600
36, ,1693395996491473100, 
 ,36, ,1693395996773105500
37, ,1693395998111509900, 
 ,37, ,1693395998395338200
38, ,1693396000972225600, 
 ,38, ,1693396001286936000
39, ,1693396005497895000, 
 ,39, ,1693396005875206100
40, ,1693396019545581500, 
 ,40, ,1693396019843036300
41, ,1693396037282377900, 
 ,41, ,1693396037611669900
42, ,1693396039067008400, 
 ,42, ,1693396039413415900
43, ,1693396050406937400, 
 ,43, ,1693396050642183400
44, ,1693396054829372000, 
 ,44, ,1693396055176672200
45, ,1693396057129331200, 
 ,45, ,1693396057426132300
