latency,RSSI,attn1,TIMESTAMP
-99,289,46,1693395761526981500
-95,291,43,1693395761767196600
-91,289,42,1693395761975632900
-93,272,45,1693395762177408300
-93,267,47,1693395762383658700
-97,267,50,1693395762587628400
-98,299,52,1693395762808257600
-101,227,54,1693395763028660200
-102,76,52,1693395763233940800
-101,239,50,1693395763455383000
-99,296,47,1693395763657519000
-96,250,45,1693395763874723800
-94,284,42,1693395764062318700
-91,295,43,1693395764253190800
-93,250,45,1693395764457495800
-95,297,48,1693395764645815900
-97,257,50,1693395764851444300
-100,294,53,1693395765068567900
-101,181,54,1693395765273803200
-103,26,52,1693395765493615200
-100,53,50,1693395765715195200
-99,290,47,1693395765902677500
-96,292,45,1693395766101910400
-95,303,42,1693395766324040100
-92,286,43,1693395766516896000
-92,288,45,1693395766706170800
-94,301,48,1693395766894632600
-97,264,50,1693395767086428900
-99,272,52,1693395767292806400
-101,265,54,1693395767499181800
-104,59,53,1693395767702161400
-100,199,50,1693395767889333100
-99,292,48,1693395768113874900
-95,292,45,1693395768318286200
-94,289,43,1693395768520815100
-92,286,43,1693395768711821100
-92,292,45,1693395768914125500
-95,292,47,1693395769117888100
-97,269,50,1693395769346600300
-102,273,53,1693395769615698300
-103,108,54,1693395769849606000
-100,0,51,1693395770117766600
-98,299,48,1693395770367923900
-95,262,45,1693395770605281500
-94,267,42,1693395770856791300
-91,271,44,1693395771108580900
-94,271,47,1693395771330051800
-97,294,50,1693395771557750800
-101,267,53,1693395771798067800
-102,177,54,1693395772034308300
-102,0,51,1693395772305370100
-100,271,48,1693395772554062500
-97,273,45,1693395772805075800
-95,262,42,1693395773054134600
-91,270,44,1693395773285083700
-94,286,46,1693395773525283200
-98,294,49,1693395773795825400
-99,280,52,1693395774028038700
-102,247,54,1693395774264261200
-102,253,52,1693395774517125700
-99,259,49,1693395774753359500
-96,271,46,1693395774988170600
-94,282,43,1693395775222453300
-92,297,43,1693395775463026700
-93,261,46,1693395775692750000
-96,279,48,1693395775930202800
-98,292,51,1693395776165026500
-102,204,54,1693395776404502700
-102,70,53,1693395776651068000
-99,260,50,1693395776903705300
-97,268,47,1693395777157501900
-96,266,44,1693395777393733500
-92,274,42,1693395777629124700
-92,287,45,1693395777865889800
-96,296,48,1693395778117460400
-99,301,51,1693395778350723200
-101,223,53,1693395778587746300
-101,82,54,1693395778830302200
-101,0,51,1693395779082774500
-100,284,48,1693395779337141500
-97,285,45,1693395779575473300
-93,276,42,1693395779824828900
-93,287,44,1693395780061559000
-97,256,47,1693395780311274100
-98,268,50,1693395780545379900
-99,277,53,1693395780781175300
-101,145,54,1693395781018212700
-104,0,51,1693395781256335600
-100,269,49,1693395781491201100
-95,283,46,1693395781726539700
-94,297,43,1693395781964009500
-93,263,43,1693395782209207800
-94,263,46,1693395782442607600
-97,285,49,1693395782680424300
-99,299,52,1693395782912578900
-101,264,54,1693395783147116500
-101,131,53,1693395783381744900
-99,288,50,1693395783629461800
-99,296,47,1693395783881901500
-95,295,44,1693395784132538800
-91,295,42,1693395784382446700
-93,282,45,1693395784632788400
-96,294,48,1693395784869193400
-98,305,51,1693395785105125600
-101,273,54,1693395785339764000
-101,136,53,1693395785572619400
-101,42,50,1693395785824349300
-98,285,47,1693395786074961300
-95,298,45,1693395786311289200
-93,264,42,1693395786547506100
-93,278,45,1693395786814745400
-95,262,47,1693395787053498300
-98,272,50,1693395787290437200
-101,286,53,1693395787527073000
-102,245,54,1693395787763511600
-101,262,51,1693395787996361600
-102,279,48,1693395788231110000
-95,294,46,1693395788464662400
-94,258,43,1693395788700797600
-91,271,43,1693395788937029600
-94,288,46,1693395789170662400
-96,293,49,1693395789435768800
-98,287,52,1693395789653748000
-101,168,54,1693395789920605200
-103,0,52,1693395790154028200
-100,8,49,1693395790403276200
-100,170,46,1693395790653068400
-94,271,43,1693395790888905200
-90,284,42,1693395791124399700
-93,295,46,1693395791376388500
-96,248,49,1693395791643806500
-100,281,52,1693395791879414100
-103,244,54,1693395792116912700
-101,156,53,1693395792371549200
-101,249,50,1693395792619200900
-97,254,47,1693395792854946600
-95,267,44,1693395793090085300
-93,280,42,1693395793327502600
-93,289,45,1693395793576196300
-95,293,48,1693395793814065300
-99,256,51,1693395794050558500
-101,264,54,1693395794287475600
-103,84,54,1693395794523994400
-101,0,50,1693395794804374400
-100,265,47,1693395795058481200
-97,263,44,1693395795309190400
-94,262,42,1693395795559061000
-93,259,45,1693395795812113300
-96,260,48,1693395796064550200
-99,259,51,1693395796300638900
-101,266,54,1693395796553777300
-103,118,53,1693395796791393200
-101,25,50,1693395797028707500
-100,288,47,1693395797279105100
-96,291,45,1693395797517258600
-94,297,42,1693395797757059800
-92,262,44,1693395798006349100
-96,295,47,1693395798260755500
-99,259,50,1693395798495058100
-101,274,53,1693395798747743300
-101,221,54,1693395798993725500
-100,268,51,1693395799243112200
-97,276,47,1693395799513152200
-95,300,44,1693395799760837700
-92,256,42,1693395800011858700
-92,302,45,1693395800278205300
-95,296,48,1693395800513554900
-100,257,51,1693395800762734800
-102,259,54,1693395801002634700
-104,119,54,1693395801235313600
-101,0,51,1693395801484479400
-101,232,48,1693395801725784600
-96,296,45,1693395801964142100
-94,303,42,1693395802216788100
-93,302,44,1693395802468003200
-96,301,47,1693395802722058700
-99,292,50,1693395802988529900
-101,233,53,1693395803239075900
-102,81,54,1693395803479425700
-101,0,51,1693395803714871000
-99,252,48,1693395803958606600
-98,293,45,1693395804225820400
-93,294,42,1693395804460513600
-92,259,44,1693395804711981500
-96,303,47,1693395804978816100
-98,292,50,1693395805231375000
-101,290,53,1693395805481334000
