dropout,return,DROPOUT TIMESTAMP,RETURN TIMESTAMP
1, ,1693393189873782800, 
 ,1, ,1693393190063222200
2, ,1693393193203302200, 
 ,2, ,1693393193437217800
3, ,1693393197694149700, 
 ,3, ,1693393197901934200
4, ,1693393200253676200, 
 ,4, ,1693393200490462400
5, ,1693393201320123400, 
 ,5, ,1693393201600987100
6, ,1693393203695673700, 
 ,6, ,1693393203993127700
7, ,1693393205601604300, 
 ,7, ,1693393205852328400
8, ,1693393207091658700, 
 ,8, ,1693393207358569500
9, ,1693393208951488100, 
 ,9, ,1693393209219263300
10, ,1693393210526717900, 
 ,10, ,1693393210730392200
11, ,1693393212411995000, 
 ,11, ,1693393212634865100
12, ,1693393215895086700, 
 ,12, ,1693393216114142000
13, ,1693393219407268900, 
 ,13, ,1693393219657991000
14, ,1693393222848833700, 
 ,14, ,1693393223067519700
15, ,1693393226370697400, 
 ,15, ,1693393226574062000
16, ,1693393229765965100, 
 ,16, ,1693393230013650300
17, ,1693393233229974800, 
 ,17, ,1693393233494842700
18, ,1693393236770530600, 
 ,18, ,1693393236989870400
19, ,1693393238746851500, 
 ,19, ,1693393238965687600
20, ,1693393240564807300, 
 ,20, ,1693393240783783400
21, ,1693393242033944100, 
 ,21, ,1693393242331680100
22, ,1693393243726018500, 
 ,22, ,1693393243978587500
23, ,1693393245532226400, 
 ,23, ,1693393245813582700
24, ,1693393247413328300, 
 ,24, ,1693393247570582100
25, ,1693393249087287400, 
 ,25, ,1693393249320906000
26, ,1693393250688716000, 
 ,26, ,1693393250952540600
27, ,1693393254171938900, 
 ,27, ,1693393254418537100
28, ,1693393256324316600, 
 ,28, ,1693393256576970400
29, ,1693393257759697400, 
 ,29, ,1693393258086254200
30, ,1693393261163657900, 
 ,30, ,1693393261430565000
31, ,1693393264768688400, 
 ,31, ,1693393265052995300
32, ,1693393268127957500, 
 ,32, ,1693393268395399800
33, ,1693393271653441600, 
 ,33, ,1693393271918240000
34, ,1693393275200894000, 
 ,34, ,1693393275404070000
35, ,1693393277181453300, 
 ,35, ,1693393277384795400
36, ,1693393280356558300, 
 ,36, ,1693393280639910700
37, ,1693393282292778300, 
 ,37, ,1693393282558546900
38, ,1693393285624631200, 
 ,38, ,1693393285859358500
39, ,1693393289093128800, 
 ,39, ,1693393289343971600
40, ,1693393290867832200, 
 ,40, ,1693393291118763600
41, ,1693393294308974600, 
 ,41, ,1693393294609712500
42, ,1693393296222440900, 
 ,42, ,1693393296411831200
43, ,1693393299554853700, 
 ,43, ,1693393299776142600
44, ,1693393303071706200, 
 ,44, ,1693393303276262000
45, ,1693393306471612600, 
 ,45, ,1693393306756750000
46, ,1693393310124534500, 
 ,46, ,1693393310311898900
47, ,1693393311126278400, 
 ,47, ,1693393311299280800
48, ,1693393313472438000, 
 ,48, ,1693393313739823200
49, ,1693393317008886700, 
 ,49, ,1693393317197011700
50, ,1693393320486865200, 
 ,50, ,1693393320723695400
51, ,1693393324007070900, 
 ,51, ,1693393324275183800
52, ,1693393327328812000, 
 ,52, ,1693393327548410200
53, ,1693393330881323600, 
 ,53, ,1693393331131272700
54, ,1693393334353875900, 
 ,54, ,1693393334607936400
55, ,1693393336322935900, 
 ,55, ,1693393336512422100
56, ,1693393341391667600, 
 ,56, ,1693393341613392800
57, ,1693393344833540800, 
 ,57, ,1693393345038454200
58, ,1693393347064485700, 
 ,58, ,1693393347285416600
59, ,1693393348389679200, 
 ,59, ,1693393348625889800
60, ,1693393354039691000, 
 ,60, ,1693393354292525900
61, ,1693393358858948800, 
 ,61, ,1693393359141009600
62, ,1693393362586038800, 
 ,62, ,1693393362838410800
63, ,1693393369262624000, 
 ,63, ,1693393369548307500
64, ,1693393373276963600, 
 ,64, ,1693393373480351000
65, ,1693393376566019500, 
 ,65, ,1693393376802717300
66, ,1693393378660794900, 
 ,66, ,1693393378895859100
67, ,1693393380456165100, 
 ,67, ,1693393380692460900
68, ,1693393383213615600, 
 ,68, ,1693393383496623200
69, ,1693393385481225200, 
 ,69, ,1693393385652352700
70, ,1693393389127241000, 
 ,70, ,1693393389347463300
71, ,1693393390500637600, 
 ,71, ,1693393390752495200
72, ,1693393392246368800, 
 ,72, ,1693393392419799400
73, ,1693393395400797600, 
 ,73, ,1693393395680462600
74, ,1693393397590305200, 
 ,74, ,1693393397763840800
75, ,1693393401399757500, 
 ,75, ,1693393401637188800
76, ,1693393404562856700, 
 ,76, ,1693393404767697300
77, ,1693393408028570800, 
 ,77, ,1693393408283222200
78, ,1693393411459674200, 
 ,78, ,1693393411647230600
79, ,1693393414585124700, 
 ,79, ,1693393414838244600
80, ,1693393418442750800, 
 ,80, ,1693393418645453300
81, ,1693393420189008500, 
 ,81, ,1693393420394700600
82, ,1693393423359048800, 
 ,82, ,1693393423592088900
83, ,1693393425529643700, 
 ,83, ,1693393425764919200
84, ,1693393426831740800, 
 ,84, ,1693393427116881900
85, ,1693393430243318300, 
 ,85, ,1693393430463705300
86, ,1693393432116644500, 
 ,86, ,1693393432336456800
87, ,1693393433846975100, 
 ,87, ,1693393434096947800
88, ,1693393435848434700, 
 ,88, ,1693393436128659500
89, ,1693393439167784400, 
 ,89, ,1693393439420739300
90, ,1693393440754868600, 
 ,90, ,1693393441081750300
91, ,1693393444257915500, 
 ,91, ,1693393444557439200
92, ,1693393449514925700, 
 ,92, ,1693393449785408800
93, ,1693393453040988300, 
 ,93, ,1693393453247964200
94, ,1693393454646249300, 
 ,94, ,1693393454865299100
95, ,1693393456658214100, 
 ,95, ,1693393456907020200
96, ,1693393460002974100, 
 ,96, ,1693393460242409600
97, ,1693393463605551400, 
 ,97, ,1693393463825972200
98, ,1693393467033867700, 
 ,98, ,1693393467317615000
99, ,1693393470256302900, 
 ,99, ,1693393470552055000
100, ,1693393472213195100, 
 ,100, ,1693393472527967000
101, ,1693393473863710400, 
 ,101, ,1693393474100359500
102, ,1693393477441174500, 
 ,102, ,1693393477659491100
103, ,1693393480868514300, 
 ,103, ,1693393481136122100
104, ,1693393483785372700, 
 ,104, ,1693393483987568700
105, ,1693393486650094600, 
 ,105, ,1693393486869366500
106, ,1693393487902839000, 
 ,106, ,1693393488171234400
107, ,1693393491309574900, 
 ,107, ,1693393491561801900
108, ,1693393493233691500, 
 ,108, ,1693393493468223200
109, ,1693393494981846600, 
 ,109, ,1693393495217680700
110, ,1693393498058529600, 
 ,110, ,1693393498294956500
