latency,RSSI,attn1,TIMESTAMP
-100,207,52,1693393182577808500
-101,14,49,1693393182846824400
-99,32,46,1693393183082885000
-96,76,43,1693393183317734000
-97,13,45,1693393183532900200
-101,154,47,1693393183739895500
-103,57,49,1693393183932026000
-102,217,52,1693393184130443100
-102,154,52,1693393184333224600
-101,4,49,1693393184545031400
-100,220,46,1693393184770955400
-97,256,43,1693393185070762900
-95,314,45,1693393185323240400
-99,329,48,1693393185556235700
-100,328,51,1693393185773485600
-102,259,52,1693393186024124500
-100,94,49,1693393186275618500
-98,112,46,1693393186508730900
-95,151,43,1693393186758388900
-93,203,44,1693393186976498200
-98,192,47,1693393187193608900
-98,201,50,1693393187433468000
-101,196,52,1693393187647000500
-102,79,51,1693393187868533500
-101,10,48,1693393188116430000
-97,42,45,1693393188334297400
-95,64,43,1693393188567660300
-93,119,45,1693393188790059000
-96,97,48,1693393189001211800
-98,95,50,1693393189218581200
-102,89,52,1693393189413702600
-102,5,51,1693393189611154100
-101,221,48,1693393189844390600
-97,227,45,1693393190097077000
-95,289,43,1693393190347829000
-95,312,46,1693393190580778900
-98,322,49,1693393190827979900
-102,306,51,1693393191048235900
-104,293,52,1693393191270002500
-102,103,49,1693393191489422800
-100,102,46,1693393191741189500
-96,153,43,1693393192036686600
-98,194,45,1693393192270408200
-100,176,48,1693393192519834400
-99,160,51,1693393192755137300
-102,163,52,1693393192958557200
-102,28,50,1693393193190940500
-101,193,47,1693393193407720500
-100,169,45,1693393193628291100
-100,182,43,1693393193889035500
-99,233,47,1693393194167020700
-98,217,50,1693393194449748400
-102,210,52,1693393194729301100
-101,44,49,1693393195030499300
-97,67,45,1693393195315026900
-95,130,43,1693393195578359700
-95,145,46,1693393195861917800
-101,113,49,1693393196127388000
-102,140,52,1693393196362952600
-102,39,51,1693393196615853100
-99,193,48,1693393196869189200
-98,235,44,1693393197169906100
-98,281,44,1693393197467584500
-101,304,48,1693393197723255600
-101,253,51,1693393198005002400
-103,268,52,1693393198238697100
-99,79,49,1693393198504736200
-99,64,45,1693393198818292400
-95,126,43,1693393199115790200
-96,145,47,1693393199416426700
-98,162,50,1693393199699654900
-104,149,52,1693393199967681900
-101,218,49,1693393200233018900
-98,224,46,1693393200517656600
-96,279,43,1693393200818340500
-95,321,46,1693393201080350600
-101,308,49,1693393201348352400
-102,273,52,1693393201611124200
-101,112,50,1693393201877332700
-100,63,47,1693393202160462300
-95,119,44,1693393202427012500
-98,146,44,1693393202692394000
-100,149,48,1693393202973507800
-99,130,51,1693393203255987300
-102,91,52,1693393203489268200
-102,197,49,1693393203738549400
-99,204,46,1693393204020255400
-95,231,43,1693393204317972300
-96,279,46,1693393204581863000
-99,278,50,1693393204865320300
-100,222,52,1693393205115539900
-101,104,50,1693393205384839300
-99,22,46,1693393205690928100
-95,66,43,1693393205988613400
-95,126,45,1693393206239154100
-98,82,49,1693393206527379000
-101,111,52,1693393206807613600
-101,42,51,1693393207070958400
-99,145,48,1693393207338741900
-96,194,45,1693393207573959400
-98,202,43,1693393207839111600
-99,245,47,1693393208134703100
-99,199,50,1693393208414981200
-103,197,52,1693393208649770400
-102,55,49,1693393208949479700
-98,48,46,1693393209246362300
-95,102,43,1693393209530188600
-95,127,46,1693393209793436900
-100,125,49,1693393210036292200
-102,68,52,1693393210285636100
-103,181,51,1693393210538233500
-101,109,48,1693393210819285200
-97,135,44,1693393211102894500
-93,201,44,1693393211352380300
-96,209,47,1693393211607661400
-100,209,50,1693393211872698100
-102,190,52,1693393212138452300
-100,220,49,1693393212405974100
-100,221,46,1693393212677864000
-95,246,43,1693393212992300900
-96,308,46,1693393213260368100
-96,305,49,1693393213552780600
-102,300,52,1693393213820434800
-101,256,50,1693393214104797000
-100,93,47,1693393214383868400
-97,153,43,1693393214651933300
-94,188,45,1693393214934512400
-98,187,49,1693393215235571000
-101,177,52,1693393215498030600
-102,66,51,1693393215749932000
-101,189,48,1693393216015367800
-97,229,45,1693393216303545900
-94,298,44,1693393216576286100
-101,303,47,1693393216842970200
-99,278,50,1693393217125794400
-103,274,52,1693393217392029900
-100,116,49,1693393217673928700
-98,100,45,1693393217971036900
-95,168,43,1693393218250219000
-96,206,46,1693393218512227900
-99,205,49,1693393218778340100
-101,207,52,1693393219027887300
-103,95,50,1693393219308354300
-100,227,47,1693393219574746000
-96,281,43,1693393219888003700
-94,328,45,1693393220198633900
-97,333,49,1693393220465286200
-100,319,52,1693393220761188900
-101,201,51,1693393221029497300
-99,90,47,1693393221325537900
-96,141,44,1693393221608935700
-99,176,45,1693393221909033900
-98,153,48,1693393222173988700
-101,177,52,1693393222475545600
-102,127,51,1693393222736111800
-101,207,48,1693393222999463300
-97,227,44,1693393223296925300
-93,278,44,1693393223579558500
-98,306,47,1693393223846218700
-99,306,51,1693393224146709500
-103,185,52,1693393224395316500
-101,66,49,1693393224679118400
-96,108,45,1693393224962989500
-95,161,44,1693393225277574800
-95,164,47,1693393225557287500
-99,176,50,1693393225839129700
-101,139,52,1693393226084496500
-100,220,50,1693393226346421000
-98,226,47,1693393226601607200
-100,238,43,1693393226884955100
-99,281,45,1693393227151117800
-101,286,49,1693393227434235700
-99,297,52,1693393227702187600
-101,220,51,1693393227938543700
-101,62,48,1693393228206255200
-97,81,45,1693393228498509500
-95,139,44,1693393228773095100
-96,181,47,1693393229086300800
-100,176,50,1693393229336381400
-103,133,52,1693393229583415200
-102,145,49,1693393229866100400
-99,167,46,1693393230134980200
-95,226,43,1693393230415841200
-99,230,46,1693393230695487100
-100,199,50,1693393231013583100
-101,206,52,1693393231246892000
-100,91,50,1693393231498073400
-98,37,47,1693393231751118900
-96,54,44,1693393232062428000
-95,121,45,1693393232333336800
-97,141,48,1693393232630138700
-99,146,52,1693393232914117400
-102,113,52,1693393233148734400
-99,207,48,1693393233412615400
-97,244,45,1693393233708515700
-94,303,44,1693393233989328500
-95,320,47,1693393234287408600
-100,289,50,1693393234552444700
-101,278,52,1693393234821708900
-101,98,49,1693393235102777000
-98,132,45,1693393235401630600
-95,193,43,1693393235680319100
-99,185,46,1693393235961013100
-100,190,50,1693393236259680900
-101,175,52,1693393236529194200
-101,213,50,1693393236797535400
-100,206,47,1693393237047427300
-96,232,43,1693393237351040900
-94,305,45,1693393237597328400
-97,309,48,1693393237865241800
-99,306,51,1693393238131434400
-101,222,52,1693393238381257800
-99,126,48,1693393238710011200
-96,174,44,1693393238977765400
-94,223,44,1693393239275127600
-96,232,47,1693393239527146800
-99,201,50,1693393239792839100
-101,211,52,1693393240045928400
-101,18,49,1693393240349083800
-97,58,46,1693393240623840500
-95,116,43,1693393240871122900
-95,125,46,1693393241153160700
-97,130,49,1693393241417282900
-103,128,52,1693393241671841000
-100,14,51,1693393241917246700
-98,198,47,1693393242215600500
-97,209,44,1693393242467863000
-94,261,44,1693393242762247500
-96,276,47,1693393243030633100
-99,275,51,1693393243312766300
-103,212,52,1693393243547892500
