latency,RSSI,TIMESTAMP,Drop?
112,-94,0.0,0
137,-98,0.24313200000324287,0
178,-94,0.4260770000037155,0
100,-95,0.6288219999987632,0
82,-93,0.8309900000022026,0
69,-87,1.0132740000044578,0
85,-89,1.2163330000039423,0
83,-85,1.399040000003879,0
45,-89,1.5816649999978836,0
19,-93,1.7845220000017434,0
181,-93,1.9867549999980838,1
80,-97,2.169443999999203,1
220,-99,2.3618659999992815,1
220,-102,2.554485000000568,1
220,-98,2.747207000000344,1
118,-97,2.9576650000017253,1
16,-92,3.1804990000018734,0
3,-89,3.395062000003236,0
200,-91,3.6285550000029616,0
154,-93,3.84099000000424,0
92,-96,4.043068999999377,0
220,-101,4.275439000004553,0
125,-102,4.497512000001734,1
125,-102,4.697705999999016,1
125,-98,4.90807599999971,0
155,-98,5.112592999998014,0
97,-90,5.325274000002537,0
58,-91,5.507675000000745,0
54,-89,5.710017999997945,0
63,-92,5.918045999998867,0
54,-92,6.115793000004487,0
207,-95,6.318526000002748,1
164,-99,6.521037999998953,1
164,-100,6.702908999999636,1
220,-99,6.885243000004266,1
220,-97,7.088168000002042,1
87,-94,7.290828000004694,1
21,-92,7.4734800000005635,0
6,-88,7.69558600000164,0
213,-85,7.8981649999986985,0
174,-91,8.099885000003269,0
138,-92,8.302261000004364,0
98,-93,8.484905000004801,0
14,-97,8.666687000004458,0
123,-99,8.86937300000136,1
123,-101,9.049512999998115,1
220,-98,9.213728000002448,1
122,-94,9.416717000000062,1
31,-92,9.619688999999198,1
0,-90,9.821445000001404,0
197,-84,10.003669999998237,0
167,-87,10.185643000004347,0
151,-89,10.387891999998828,0
118,-97,10.572046000001137,0
28,-95,10.772491000003356,0
179,-97,10.975272000003315,1
44,-100,11.157832000004419,1
44,-99,11.341703999998572,1
150,-96,11.532587000001513,1
42,-95,11.714763000003586,1
204,-91,11.917296999999962,1
169,-86,12.100007000000915,0
137,-84,12.30218700000114,0
98,-85,12.494322999998985,0
73,-89,12.696446000001743,0
24,-96,12.917397000004712,0
166,-97,13.121929000000819,1
74,-99,13.324103999999352,1
40,-100,13.526056000002427,1
141,-97,13.70812300000398,1
38,-93,13.91088000000309,1
211,-91,14.113001999998232,1
162,-87,14.335288000002038,1
138,-85,14.537702000001445,0
79,-91,14.719959000001836,0
67,-92,14.92283000000316,0
18,-95,15.146002000001317,0
192,-96,15.348986000004516,1
125,-100,15.550374999998894,1
220,-98,15.752417000003334,1
46,-97,15.955394000004162,1
140,-92,16.177746000001207,1
54,-91,16.38053200000286,1
35,-85,16.58284000000276,0
43,-84,16.784920999998576,0
29,-89,16.99265700000251,0
217,-89,17.170311000001675,0
190,-93,17.372763999999734,0
122,-96,17.574921999999788,0
79,-99,17.78831000000355,1
220,-99,17.990262999999686,1
194,-95,18.172079000003578,1
133,-95,18.37433400000009,1
83,-93,18.607365000003483,1
20,-87,18.787559000003967,0
230,-84,18.99129499999981,0
225,-89,19.173845999997866,0
202,-90,19.376334000000497,0
118,-96,19.57884500000364,0
29,-97,19.780729999998584,0
163,-97,19.96329500000138,1
23,-100,20.165908000002673,1
135,-97,20.347749000000476,1
55,-93,20.549950000000536,0
193,-92,20.731747999998333,0
171,-91,20.93367600000056,0
143,-87,21.136194999999134,0
128,-91,21.31804700000066,0
85,-89,21.52058499999839,0
76,-91,21.722982999999658,0
2,-94,21.923478000004252,1
171,-98,22.10740600000281,1
26,-100,22.289027999999234,1
220,-98,22.471259999998438,1
91,-94,22.673404000001028,1
17,-93,22.867620000004536,1
213,-93,23.058110999998462,0
145,-90,23.26053800000227,0
137,-83,23.46413300000131,0
141,-89,23.67719400000351,0
104,-93,23.87924500000372,0
46,-94,24.083403000004182,0
19,-98,24.28554399999848,1
160,-98,24.467984000002616,1
3,-98,24.669824000004155,1
188,-99,24.852911000001768,1
112,-92,25.05578300000343,1
65,-90,25.257808000002115,0
17,-89,25.480405000002065,0
8,-89,25.68287599999894,0
185,-88,25.864824000003864,0
153,-91,26.07417400000122,0
82,-92,26.27048900000227,0
19,-98,26.454091999999946,0
220,-98,26.656506999999692,1
89,-97,26.85910700000386,1
120,-97,27.061418000004778,1
42,-92,27.263848000002326,1
218,-92,27.466302000000724,0
189,-92,27.668761000000814,0
173,-87,27.890964999998687,0
143,-89,28.11366100000305,0
89,-93,28.315581000002567,0
8,-92,28.517874000004667,1
225,-96,28.720251999999164,1
109,-100,28.92255400000431,1
109,-97,29.144955000003392,1
107,-94,29.348196999999345,1
37,-90,29.54922400000214,1
213,-91,29.749222999998892,1
166,-86,29.953840000001946,0
163,-85,30.176745000004303,0
123,-88,30.369912000001932,0
97,-92,30.693832000004477,0
