latency,RSSI,filtered latency,TIMESTAMP,Drop?
265,-103,7046,0.0,0
203,-99,6677,0.4609619999973802,1
138,-92,6401,0.8462119999967399,1
143,-98,6082,1.2457479999939096,1
320,-104,6778,1.651161999994656,0
241,-95,7077,2.0593489999955636,0
108,-95,6690,2.4671049999960815,0
156,-103,6447,2.833452999999281,1
344,-99,6649,3.2408879999929923,1
282,-94,7133,3.6666109999932814,0
143,-99,6785,4.095071999996435,0
210,-104,6504,4.428911999995762,0
143,-94,6283,4.839510999998311,0
345,-96,6204,5.459397999999055,1
289,-97,6733,5.923341999994591,0
258,-98,6430,6.384149999998044,0
137,-99,6231,6.865115999993577,0
344,-102,6833,7.34721599999466,1
277,-103,6748,7.795950999992783,0
198,-98,6375,8.23465899999428,0
133,-94,6029,8.700316999995266,1
336,-97,5867,9.291917999995349,1
136,-99,6863,9.691725999997288,0
260,-104,6761,10.070126999999047,0
157,-98,6562,10.451456999995571,0
312,-94,6419,10.885695999997552,1
325,-100,7085,11.350596999996924,0
242,-103,6920,11.834835999994539,0
141,-102,6731,12.256954999997106,0
341,-101,6867,12.687680999995791,1
245,-91,7627,13.167041999993671,0
146,-95,7108,13.674228999996558,0
194,-98,6681,14.14514799999597,0
343,-105,7019,14.5553249999939,0
307,-102,7060,14.983935999996902,0
248,-93,6589,15.41986299999553,0
144,-94,6207,15.903845999993791,0
169,-101,5906,16.403644999998505,0
337,-105,6427,16.835087999999814,0
256,-103,6456,17.302962999994634,0
209,-98,6136,17.749947999996948,0
91,-95,5820,18.169393999996828,0
162,-101,5577,18.568724999997357,0
325,-103,6165,18.9870099999971,1
281,-95,6661,19.38808599999902,0
174,-93,6358,19.894777999994403,0
169,-100,6136,20.3012149999995,0
328,-104,6513,20.706891999994696,0
299,-100,6588,21.11596499999723,0
246,-92,6188,21.53564099999494,0
227,-97,5767,21.973431999998866,0
145,-103,5583,22.398107999993954,0
342,-100,5833,22.825152999997954,1
283,-97,6512,23.298895999992965,0
207,-93,6251,23.769405999999435,0
199,-102,6017,24.17504899999767,0
125,-103,5851,24.572399999997288,1
347,-95,6066,24.97228599999653,0
253,-95,7089,25.403707999998005,0
265,-103,6793,25.776432999999088,0
189,-101,6599,26.183251999995264,0
341,-93,6432,26.596855999996478,0
